,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,899.13600,154.62100,35.66800,86.41200,1175.83700,1951.14700,388.05500,21.93900,88.12400,5751.66700,6927.50400,921.88000,43.81600,3637.60100,4559.48100,0.37300,4828.24800,-7.88800,2368.02300,6927.50400
2022-09-30,783.90100,183.34000,33.75200,76.43900,1077.43200,1871.62300,442.62000,21.93900,94.77200,5740.00500,6817.43700,817.85700,41.72300,3672.19900,4490.05600,0.37300,4604.52100,-8.89600,2327.38100,6817.43700
2022-06-30,761.61700,181.51000,29.45600,73.71600,1046.29900,1813.34800,359.91100,21.93900,93.90500,5499.03700,6545.33600,831.62300,39.85200,3559.51400,4391.13700,0.37300,4347.38300,-6.63900,2154.19900,6545.33600
2022-03-31,856.24190,139.99600,29.85200,70.40300,1096.49300,1779.52100,333.08800,21.93900,89.15500,5370.76400,6467.25700,833.73800,40.51100,3499.55900,4333.29700,0.37300,4087.44100,-5.15900,2133.96000,6467.25700
2021-12-31,1076.31900,193.66300,32.82600,78.75600,1381.56400,1769.27800,274.31100,21.93900,87.57200,5271.39400,6652.95800,873.68200,38.53600,3481.90200,4355.58400,0.37100,3929.14700,-5.35400,2297.37400,6652.95800
2021-09-30,1022.64300,394.69200,28.45000,72.82100,1518.60600,1719.22400,188.34400,21.93900,85.40900,5108.96100,6627.56700,850.96400,42.42500,3465.69500,4316.65900,0.37100,3795.67200,-5.14300,2310.90800,6627.56700
2021-06-30,990.72900,360.30900,25.15900,71.61300,1447.81000,1666.18400,150.81400,21.93900,87.79500,4872.64400,6320.45400,835.48600,42.74500,3310.81000,4146.29600,0.37000,3591.23800,-4.18700,2174.15800,6320.45400
2021-03-31,1058.36100,312.57100,24.30400,61.61500,1456.85100,1613.67000,110.92800,21.93900,87.32600,4692.20800,6149.05900,834.00400,41.41900,3217.52400,4051.52800,0.36900,3403.26400,-4.49200,2097.53100,6149.05900
2020-12-31,951.60300,387.28300,26.44500,54.90600,1420.23700,1584.31100,102.32800,21.93900,86.89600,4562.65900,5982.89600,822.19900,38.84400,3140.56200,3962.76100,0.36700,3276.16300,-4.22900,2020.13500,5982.89600
2020-09-30,1005.22000,129.80200,25.46400,50.79400,1211.28000,1547.21700,61.47400,21.93900,81.51200,4420.36000,5631.64000,801.71700,37.97600,3024.33700,3826.05400,0.36700,3085.20400,-5.44400,1805.58600,5631.64000
