,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,621.62800,823.54000,1445.16800,21763.16000,8146.72000,31069.18000,33011.27000,1491.58300,24960.29000,2237.56100,27410.08000,29399.62000,0.03400,-5926.97400,-164.87300,3611.65200,33011.27000
2022-09-30,601.52000,794.59900,1396.11900,21737.26000,7989.64100,30901.75000,32795.36000,1421.44300,24640.37000,2196.79200,27396.64000,29318.28000,0.03400,-6046.98100,-160.54900,3477.07900,32795.36000
2022-06-30,541.24000,828.87600,1370.11600,21907.69000,8115.82400,31209.22000,33079.04000,1337.98400,24885.97000,2255.64200,27707.69000,29548.11000,0.03400,-6012.75700,-167.89500,3530.92200,33079.04000
2022-03-31,514.92900,819.82900,1334.75800,22098.87000,8385.13900,31614.76000,33451.43000,1208.64300,25169.84000,2277.39100,28005.53000,29718.86000,0.03400,-5948.26100,-170.09400,3732.56700,33451.43000
2021-12-31,533.93600,919.65400,1453.59000,22311.24000,8387.42000,31819.67000,33777.38000,1433.21600,25321.02000,2115.48500,27984.25000,29924.39000,0.03400,-5823.70800,-185.18600,3852.98500,33777.38000
2021-09-30,438.42300,935.05300,1373.47600,22574.62000,8386.07600,32066.43000,33946.14000,1324.60300,25584.37000,2100.37600,28237.77000,30071.45000,0.03400,-5789.32900,-191.27400,3874.69200,33946.14000
2021-06-30,1290.79900,952.73100,2243.53000,22761.39000,8213.81900,32075.95000,34827.86000,1230.59500,26231.70000,2639.49300,29378.61000,31120.42000,0.03400,-5931.11900,-188.30700,3707.43900,34827.86000
2021-03-31,935.83700,1016.90200,1952.73900,22904.89000,7945.22900,31948.12000,34411.50000,1195.85100,26156.52000,2518.24800,29186.46000,30895.67000,0.03400,-6087.01300,-183.86600,3515.83600,34411.50000
2020-12-31,1011.61300,1236.73400,2248.34700,23158.26000,7785.15800,32025.59000,34786.85000,1311.92500,26723.36000,2577.83000,29487.08000,31314.50000,0.03400,-6102.31400,-188.67500,3472.34600,34786.85000
2020-09-30,1082.31300,1452.29500,2534.60800,23381.91000,4091.01500,28611.96000,31661.57000,1299.06200,25139.68000,2501.96800,27828.84000,29645.36000,0.03200,-5953.16600,-180.46800,2016.21600,31661.57000
