,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,2985.00000,3003.00000,2664.00000,1088.00000,9740.00000,2055.00000,1151.00000,10930.00000,207.00000,15610.00000,25350.00000,6013.00000,8670.00000,1737.00000,11874.00000,17887.00000,9.00000,5876.00000,-2405.00000,,7463.00000,25350.00000
2022-06-30,3017.00000,2823.00000,2350.00000,1086.00000,9276.00000,1805.00000,1671.00000,9525.00000,193.00000,14386.00000,23662.00000,5546.00000,8298.00000,1635.00000,11124.00000,16670.00000,9.00000,4564.00000,-1775.00000,,6992.00000,23662.00000
2022-03-31,3604.00000,2599.00000,2358.00000,1041.00000,9602.00000,1825.00000,1638.00000,9776.00000,202.00000,14591.00000,24193.00000,5531.00000,8305.00000,1694.00000,11232.00000,16763.00000,9.00000,4244.00000,-1297.00000,,7430.00000,24193.00000
2021-12-31,2987.00000,2403.00000,1970.00000,879.00000,11407.00000,1826.00000,1593.00000,9858.00000,242.00000,14765.00000,26172.00000,6627.00000,9513.00000,1677.00000,12451.00000,19078.00000,9.00000,2865.00000,-989.00000,,7094.00000,26172.00000
2021-09-30,2671.00000,2669.00000,1926.00000,886.00000,11300.00000,1764.00000,1619.00000,9718.00000,280.00000,14488.00000,25788.00000,6068.00000,9558.00000,1678.00000,12498.00000,18566.00000,9.00000,2774.00000,-991.00000,,7222.00000,25788.00000
2021-06-30,2630.00000,3128.00000,1885.00000,1111.00000,8754.00000,1837.00000,1572.00000,11350.00000,343.00000,16984.00000,25738.00000,5604.00000,9600.00000,1712.00000,13014.00000,18618.00000,9.00000,2305.00000,-794.00000,,7120.00000,25738.00000
2021-03-31,2599.00000,2831.00000,1854.00000,1044.00000,8328.00000,1777.00000,1530.00000,11079.00000,316.00000,16540.00000,24868.00000,5138.00000,9577.00000,1730.00000,12912.00000,18050.00000,9.00000,2027.00000,-859.00000,,6818.00000,24868.00000
2020-12-31,3115.00000,2781.00000,1629.00000,999.00000,8524.00000,1810.00000,1513.00000,11176.00000,279.00000,16569.00000,25093.00000,5110.00000,10036.00000,1724.00000,13405.00000,18515.00000,9.00000,1643.00000,-745.00000,,6578.00000,25093.00000
2020-09-30,3848.00000,2872.00000,1581.00000,1033.00000,9334.00000,1676.00000,1696.00000,10930.00000,256.00000,16394.00000,25728.00000,5182.00000,11751.00000,1738.00000,15109.00000,20291.00000,9.00000,932.00000,-1172.00000,,5437.00000,25728.00000
2020-06-30,2704.00000,2665.00000,1639.00000,1045.00000,8053.00000,1651.00000,1697.00000,10759.00000,233.00000,16123.00000,24176.00000,4789.00000,11728.00000,1698.00000,15021.00000,19810.00000,9.00000,191.00000,-1479.00000,,4366.00000,24176.00000
2020-03-31,768.00000,2674.00000,1556.00000,970.00000,5968.00000,1638.00000,1664.00000,10662.00000,277.00000,16033.00000,22001.00000,4451.00000,11029.00000,1170.00000,14524.00000,18975.00000,,,-1736.00000,4433.00000,3026.00000,22001.00000
2019-12-31,952.00000,2726.00000,1332.00000,949.00000,5959.00000,1663.00000,1739.00000,10967.00000,256.00000,16447.00000,22406.00000,4469.00000,82.00000,1183.00000,3502.00000,7971.00000,,,-1253.00000,15355.00000,14435.00000,22406.00000
2019-09-30,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2019-06-30,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2019-03-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2018-12-31,1129.00000,2673.00000,1363.00000,944.00000,6109.00000,,1770.00000,11063.00000,744.00000,13975.00000,21737.00000,4466.00000,,1722.00000,3002.00000,7468.00000,0.00000,,,14269.00000,14269.00000,21737.00000
2017-12-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
