,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,551.60000,1188.80000,844.50000,658.80000,3260.50000,411.80000,4549.50000,1404.30000,6365.60000,9626.10000,2356.90000,3725.10000,545.10000,4270.20000,6627.10000,110.10000,4297.80000,-324.90000,2999.00000,9626.10000
2022-06-30,628.20000,870.50000,867.50000,719.20000,3085.40000,409.90000,4640.10000,1367.60000,6417.60000,9503.00000,2158.20000,3739.00000,570.00000,4332.00000,6490.20000,110.10000,4265.90000,-259.60000,3012.80000,9503.00000
2022-03-31,1057.90000,931.70000,644.30000,621.40000,3255.30000,422.60000,4555.90000,1284.90000,6263.40000,9518.70000,2043.00000,3737.90000,633.60000,4395.00000,6438.00000,110.10000,4220.90000,-246.90000,3080.70000,9518.70000
2021-12-31,1019.20000,1500.40000,552.10000,656.40000,3728.10000,421.10000,4591.60000,1297.00000,6309.70000,10037.80000,2455.90000,3824.20000,670.70000,4518.80000,6974.70000,110.10000,4257.80000,-235.30000,3063.10000,10037.80000
2021-09-30,1181.20000,1476.60000,544.10000,528.50000,3730.40000,441.90000,4629.70000,1428.40000,6500.00000,10230.40000,2450.40000,3977.40000,722.50000,4722.80000,7173.20000,110.10000,4269.60000,-208.60000,3057.20000,10230.40000
2021-06-30,1228.20000,865.90000,499.60000,543.20000,3616.40000,466.20000,4669.10000,1350.50000,6485.80000,10102.20000,2045.60000,4388.70000,753.00000,5166.20000,7211.80000,110.10000,4110.30000,-183.50000,2890.40000,10102.20000
2021-03-31,1430.40000,810.40000,429.20000,566.00000,3236.00000,482.70000,5204.40000,1266.00000,6953.10000,10189.10000,1753.40000,4674.10000,777.70000,5475.80000,7229.20000,110.10000,4226.80000,-206.40000,2959.90000,10189.10000
2020-12-31,1449.70000,1391.70000,395.60000,609.60000,3846.60000,489.00000,5222.50000,1260.30000,6971.80000,10818.40000,2403.30000,4660.00000,794.00000,5478.40000,7881.70000,110.10000,4204.20000,-195.00000,2936.70000,10818.40000
2020-09-30,1132.40000,1438.40000,540.00000,648.20000,3759.00000,477.20000,5190.90000,1276.10000,6944.20100,10703.20000,2315.60000,4777.80000,778.50000,5579.20000,7894.80000,110.10000,4192.40000,-280.30000,2808.40000,10703.20000
2020-06-30,1038.00000,911.30000,564.20000,672.20000,3185.70000,482.20000,5225.10000,1329.10000,7036.40000,10222.10000,1981.60000,4802.50000,771.70000,5598.30000,7579.90000,110.10000,4064.80000,-308.10000,2642.20000,10222.10000
