,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2018-09-30,1269.00000,141.00000,1410.00000,9775.00000,970.00000,10745.00000,12155.00000,265.00000,4079.00000,246.00000,4495.00000,4760.00000,7.00000,-728.00000,-65.00000,7395.00000,12155.00000
2018-06-30,646.00000,161.00000,807.00000,10377.00000,891.00000,11268.00000,12075.00000,242.00000,4228.00000,266.00000,4667.00000,4909.00000,7.00000,-901.00000,-68.00000,7166.00000,12075.00000
2018-03-31,323.00000,146.00000,469.00000,10650.00000,945.00000,11595.00000,12064.00000,233.00000,4266.00000,281.00000,4703.00000,4936.00000,7.00000,-962.00000,-55.00000,7128.00000,12064.00000
2017-12-31,913.00000,79.00000,992.00000,9692.00000,1009.00000,10701.00000,11693.00000,283.00000,3954.00000,287.00000,4408.00000,4691.00000,7.00000,-1071.00000,-60.00000,7002.00000,11693.00000
2017-09-30,789.00000,116.00000,905.00000,10014.00000,852.00000,10866.00000,11771.00000,250.00000,3961.00000,295.00000,4413.00000,4663.00000,7.00000,-974.00000,-57.00000,7108.00000,11771.00000
2017-06-30,646.00000,120.00000,766.00000,10251.00000,837.00000,11088.00000,11854.00000,221.00000,3992.00000,344.00000,4492.00000,4713.00000,7.00000,-931.00000,-77.00000,7141.00000,11854.00000
2017-03-31,413.00000,133.00000,546.00000,10382.00000,848.00000,11230.00000,11776.00000,218.00000,3988.00000,343.00000,4492.00000,4710.00000,7.00000,-992.00000,-78.00000,7066.00000,11776.00000
2016-12-31,374.00000,55.00000,429.00000,10145.00000,834.00000,10979.00000,11408.00000,278.00000,3649.00000,283.00000,4097.00000,4375.00000,7.00000,-1007.00000,-83.00000,7033.00000,11408.00000
2016-09-30,342.00000,106.00000,448.00000,10379.00000,715.00000,11094.00000,11542.00000,242.00000,3752.00000,280.00000,4170.00000,4412.00000,7.00000,-948.00000,-79.00000,7130.00000,11542.00000
2016-06-30,269.00000,114.00000,383.00000,10452.00000,757.00000,11209.00000,11592.00000,228.00000,3715.00000,288.00000,4150.00000,4378.00000,7.00000,-907.00000,-71.00000,7214.00000,11592.00000
2016-03-31,249.00000,135.00000,384.00000,10551.00000,755.00000,11306.00000,11690.00000,215.00000,3961.00000,297.00000,4414.00000,4629.00000,7.00000,-1107.00000,-94.00000,7061.00000,11690.00000
2015-12-31,236.00000,56.00000,292.00000,10583.00000,781.00000,11364.00000,11656.00000,243.00000,3867.00000,299.00000,4309.00000,4552.00000,8.00000,-1139.00000,-107.00000,7104.00000,11656.00000
2015-09-30,279.00000,130.00000,409.00000,10683.00000,856.00000,11571.00000,11980.00000,248.00000,4278.00000,318.00000,4744.00000,4992.00000,7.00000,-1152.00000,-119.00000,6988.00000,11980.00000
2015-06-30,265.00000,135.00000,400.00000,10776.00000,834.00000,11641.00000,12041.00000,230.00000,4053.00000,310.00000,4549.00000,4779.00000,7.00000,-1089.00000,-84.00000,7262.00000,12041.00000
2015-03-31,485.00000,149.00000,634.00000,10495.00000,848.00000,11376.00000,12010.00000,224.00000,3968.00000,304.00000,4463.00000,4687.00000,8.00000,-1151.00000,-87.00000,7323.00000,12010.00000
2014-12-31,684.00000,70.00000,754.00000,10575.00000,843.00000,11418.00000,12172.00000,298.00000,3957.00000,324.00000,4506.00000,4804.00000,8.00000,-1098.00000,-50.00000,7368.00000,12172.00000
2014-09-30,418.00000,156.00000,574.00000,10629.00000,895.00000,11561.00000,12135.00000,244.00000,4012.00000,325.00000,4541.00000,4785.00000,8.00000,-1155.00000,-32.00000,7350.00000,12135.00000
2014-06-30,473.00000,129.00000,602.00000,10749.00000,825.00000,11613.00000,12215.00000,202.00000,4030.00000,388.00000,4629.00000,4831.00000,8.00000,-1148.00000,3.00000,7384.00000,12215.00000
2014-03-31,425.00000,111.00000,536.00000,10817.00000,817.00000,11673.00000,12209.00000,185.00000,4093.00000,386.00000,4675.00000,4860.00000,8.00000,-1189.00000,-2.00000,7349.00000,12209.00000
2013-12-31,893.00000,52.00000,945.00000,10995.00000,832.00000,11869.00000,12814.00000,214.00000,4759.00000,389.00000,5338.00000,5552.00000,8.00000,-1263.00000,-9.00000,7262.00000,12814.00000
2013-09-30,390.00000,85.00000,475.00000,11110.00000,935.00000,12088.00000,12563.00000,193.00000,4560.00000,373.00000,5108.00000,5301.00000,8.00000,-1288.00000,,7262.00000,12563.00000
2013-06-30,428.00000,130.00000,558.00000,11201.00000,860.00000,12107.00000,12665.00000,175.00000,4724.00000,384.00000,5276.00000,5451.00000,7.00000,-1216.00000,-12.00000,7214.00000,12665.00000
2013-03-31,1110.00000,96.00000,1206.00000,11284.00000,794.00000,12131.00000,13337.00000,165.00000,5534.00000,353.00000,6062.00000,6227.00000,7.00000,-1253.00000,14.00000,7110.00000,13337.00000
2012-12-31,453.00000,80.00000,533.00000,11588.00000,820.00000,12461.00000,12994.00000,194.00000,5411.00000,372.00000,5941.00000,6135.00000,7.00000,-1234.00000,12.00000,6859.00000,12994.00000
2012-09-30,289.00000,98.00000,387.00000,11731.00000,867.00000,12655.00000,13042.00000,105.00000,5495.00000,341.00000,6003.00000,6108.00000,7.00000,-1126.00000,9.00000,6934.00000,13042.00000
