,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,6439.00000,65994.00000,400.00000,19012.00000,19412.00000,85406.00000,77201.00000,3024.00000,3024.00000,80225.00000,1141.00000,11258.00000,-3742.00000,5181.00000,85406.00000
2022-09-30,6129.00000,64279.00000,412.00000,19452.00000,19864.00000,84143.00000,76058.00000,3016.00000,3016.00000,79074.00000,1141.00000,11005.00000,-3587.00000,5069.00000,84143.00000
2022-06-30,7693.00000,65638.00000,422.00000,20829.00000,21251.00000,86889.00000,77824.00000,2630.00000,2630.00000,80454.00000,1141.00000,10752.00000,-1954.00000,6435.00000,86889.00000
2022-03-31,13731.00000,69911.00000,444.00000,18810.00000,19254.00000,89165.00000,79447.00000,2682.00000,2682.00000,82129.00000,1141.00000,10585.00000,-1173.00000,7036.00000,89165.00000
2021-12-31,22876.00000,77176.00000,454.00000,16986.00000,17440.00000,94616.00000,83923.00000,2796.00000,2796.00000,86719.00000,1141.00000,10494.00000,-212.00000,7897.00000,94616.00000
2021-09-30,23776.00000,77236.00000,447.00000,16846.00000,17293.00000,94529.00000,83889.00000,2837.00000,2837.00000,86726.00000,1141.00000,10366.00000,-207.00000,7803.00000,94529.00000
2021-06-30,16684.00000,72064.00000,454.00000,15837.00000,16291.00000,88355.00000,77570.00000,2854.00000,2854.00000,80424.00000,1141.00000,10202.00000,-120.00000,7931.00000,88355.00000
2021-03-31,15047.00000,70240.00000,456.00000,15595.00000,16051.00000,86291.00000,75287.00000,2852.00000,2852.00000,78139.00000,1141.00000,9975.00000,-105.00000,8152.00000,86291.00000
2020-12-31,15939.00000,72642.00000,459.00000,15028.00000,15487.00000,88129.00000,74351.00000,5728.00000,5728.00000,80079.00000,1141.00000,9727.00000,64.00000,8050.00000,88129.00000
2020-09-30,11301.00000,68085.00000,456.00000,15090.00000,15546.00000,83631.00000,70003.00000,5754.00000,5754.00000,75757.00000,1141.00000,9511.00000,116.00000,7874.00000,83631.00000
2020-06-30,13464.00000,71188.00000,450.00000,12759.00000,13209.00000,84397.00000,70074.00000,6521.00000,6521.00000,76595.00000,1141.00000,9404.00000,158.00000,7802.00000,84397.00000
2020-03-31,4993.00000,62842.00000,454.00000,13041.00000,13495.00000,76337.00000,61501.00000,7434.00000,7434.00000,68935.00000,1141.00000,9389.00000,174.00000,7402.00000,76337.00000
2019-12-31,5973.00000,60547.00000,457.00000,12398.00000,12855.00000,73402.00000,58806.00000,7269.00000,7269.00000,66075.00000,1141.00000,9538.00000,-235.00000,7327.00000,73402.00000
2019-09-30,4263.00000,59952.00000,467.00000,12429.00000,12896.00000,72848.00000,58337.00000,7311.00000,7311.00000,65648.00000,1141.00000,9369.00000,-336.00000,7200.00000,72848.00000
2019-06-30,3721.00000,59729.00000,470.00000,12338.00000,12808.00000,72537.00000,58656.00000,6558.00000,6558.00000,65214.00000,1141.00000,9176.00000,-382.00000,7323.00000,72537.00000
2019-03-31,3617.00000,58004.00000,474.00000,12212.00000,12686.00000,70690.00000,56433.00000,6848.00000,6848.00000,63281.00000,1141.00000,8979.00000,-513.00000,7409.00000,70690.00000
2018-12-31,4695.00000,58298.00000,475.00000,12045.00000,12520.00000,70818.00000,56848.00000,6463.00000,6463.00000,63311.00000,1141.00000,8781.00000,-609.00000,7507.00000,70818.00000
2018-09-30,5975.00000,59114.00000,472.00000,11862.00000,12334.00000,71448.00000,57244.00000,6418.00000,6418.00000,63662.00000,1141.00000,8587.00000,-611.00000,7786.00000,71448.00000
2018-06-30,5794.00000,59605.00000,467.00000,11915.00000,12382.00000,71987.00000,58325.00000,5583.00000,5583.00000,63908.00000,1141.00000,8374.00000,-589.00000,8079.00000,71987.00000
2018-03-31,6969.00000,59896.00000,468.00000,11971.00000,12439.00000,72335.00000,58741.00000,5594.00000,5594.00000,64335.00000,1141.00000,8110.00000,-553.00000,8000.00000,72335.00000
2017-12-31,5941.00000,58897.00000,466.00000,12204.00000,12670.00000,71567.00000,58982.00000,4622.00000,4622.00000,63604.00000,1141.00000,7887.00000,-451.00000,7963.00000,71567.00000
2017-09-30,6296.00000,59208.00000,467.00000,12342.00000,12809.00000,72017.00000,59346.00000,4637.00000,4637.00000,63983.00000,1141.00000,7746.00000,-359.00000,8034.00000,72017.00000
2017-06-30,5721.00000,58589.00000,484.00000,12374.00000,12858.00000,71447.00000,58319.00000,5143.00000,5143.00000,63462.00000,2110.00000,7580.00000,-361.00000,7985.00000,71447.00000
2017-03-31,8411.00000,60150.00000,488.00000,12338.00000,12826.00000,72976.00000,59893.00000,5153.00000,5153.00000,65046.00000,1141.00000,7431.00000,-379.00000,7930.00000,72976.00000
2016-12-31,7310.00000,60108.00000,501.00000,12369.00000,12870.00000,72978.00000,60022.00000,5160.00000,5160.00000,65182.00000,1141.00000,7331.00000,-383.00000,7796.00000,72978.00000
2016-09-30,8132.00000,61112.00000,528.00000,12484.00000,13012.00000,74124.00000,60507.00000,5890.00000,5890.00000,66397.00000,1141.00000,7262.00000,-292.00000,7727.00000,74124.00000
2016-06-30,4210.00000,58217.00000,544.00000,12519.00000,13063.00000,71280.00000,57665.00000,5921.00000,5921.00000,63586.00000,1141.00000,7157.00000,-295.00000,7694.00000,71280.00000
2016-03-31,3096.00000,55952.00000,541.00000,12514.00000,13055.00000,69007.00000,58254.00000,3109.00000,3109.00000,61363.00000,1141.00000,7097.00000,-328.00000,7644.00000,69007.00000
2015-12-31,6260.00000,58827.00000,550.00000,12500.00000,13050.00000,71877.00000,61259.00000,3058.00000,3058.00000,64317.00000,1141.00000,7084.00000,-429.00000,7560.00000,71877.00000
2015-09-30,7307.00000,59859.00000,541.00000,10612.00000,11153.00000,71012.00000,60290.00000,3100.00000,3100.00000,63390.00000,1141.00000,7007.00000,-345.00000,7622.00000,71012.00000
2015-06-30,6084.00000,59185.00000,541.00000,10219.00000,10760.00000,69945.00000,59581.00000,2841.00000,2841.00000,62422.00000,1141.00000,6908.00000,-396.00000,7523.00000,69945.00000
2015-03-31,6063.00000,58720.00000,531.00000,10085.00000,10616.00000,69336.00000,59150.00000,2686.00000,2686.00000,61836.00000,1141.00000,6841.00000,-370.00000,7500.00000,69336.00000
2014-12-31,6170.00000,58603.00000,532.00000,10051.00000,10583.00000,69186.00000,59109.00000,2675.00000,2675.00000,61784.00000,1141.00000,6744.00000,-412.00000,7402.00000,69186.00000
2014-09-30,7899.00000,58895.00000,524.00000,9468.00000,9992.00000,68887.00000,58785.00000,2669.00000,2669.00000,61454.00000,1141.00000,6631.00000,-317.00000,7433.00000,68887.00000
2014-06-30,4003.00000,55229.00000,562.00000,9534.00000,10096.00000,65325.00000,55336.00000,2620.00000,2620.00000,57956.00000,1141.00000,6520.00000,-304.00000,7369.00000,65325.00000
2014-03-31,5725.00000,55611.00000,583.00000,9487.00000,10070.00000,65681.00000,54864.00000,3534.00000,3534.00000,58398.00000,1141.00000,6414.00000,-325.00000,7283.00000,65681.00000
2013-12-31,6563.00000,55323.00000,594.00000,9307.00000,9901.00000,65224.00000,54531.00000,3543.00000,3543.00000,58074.00000,1141.00000,6318.00000,-391.00000,7150.00000,65224.00000
2013-09-30,7194.00000,54578.00000,604.00000,9488.00000,10092.00000,64670.00000,54136.00000,3565.00000,3565.00000,57701.00000,1141.00000,6239.00000,-541.00000,6969.00000,64670.00000
2013-06-30,4044.00000,52712.00000,604.00000,9631.00000,10235.00000,62947.00000,52435.00000,3601.00000,3601.00000,56036.00000,1141.00000,6127.00000,-538.00000,6911.00000,62947.00000
2013-03-31,5712.00000,53981.00000,618.00000,10286.00000,10904.00000,64885.00000,53198.00000,4699.00000,4699.00000,57897.00000,1141.00000,6020.00000,-410.00000,6988.00000,64885.00000
2012-12-31,4659.00000,54150.00000,622.00000,10297.00000,10919.00000,65069.00000,53407.00000,4720.00000,4720.00000,58127.00000,1141.00000,5931.00000,-413.00000,6942.00000,65069.00000
2012-09-30,4084.00000,52120.00000,625.00000,10569.00000,11194.00000,63314.00000,51490.00000,4740.00000,4740.00000,56230.00000,1141.00000,5831.00000,-253.00000,7084.00000,63314.00000
