,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,111428.00000,146915.00000,2315.00000,105279.00000,9039.00000,37902.00000,154535.00000,301450.00000,261263.00000,14996.00000,14996.00000,276259.00000,504.00000,27028.00000,-3711.00000,25191.00000,301450.00000
2022-09-30,103940.00000,143482.00000,2283.00000,106218.00000,8919.00000,42666.00000,160086.00000,303568.00000,263921.00000,13999.00000,13999.00000,277920.00000,504.00000,26552.00000,-4268.00000,25648.00000,303568.00000
2022-06-30,100806.00000,137679.00000,2240.00000,109715.00000,9119.00000,41470.00000,162544.00000,300223.00000,260926.00000,13530.00000,13530.00000,274456.00000,504.00000,26115.00000,-3687.00000,25767.00000,300223.00000
2022-03-31,108543.00000,147044.00000,2229.00000,119551.00000,9326.00000,44200.00000,175306.00000,322350.00000,282204.00000,13922.00000,13922.00000,296126.00000,504.00000,25612.00000,-2698.00000,26224.00000,322350.00000
2021-12-31,113759.00000,149482.00000,2261.00000,115829.00000,9437.00000,37615.00000,165142.00000,314624.00000,273786.00000,13475.00000,13475.00000,287261.00000,504.00000,25238.00000,-1133.00000,27363.00000,314624.00000
2021-09-30,115726.00000,151835.00000,2191.00000,113625.00000,9537.00000,45951.00000,171304.00000,323139.00000,282847.00000,12978.00000,12978.00000,295825.00000,504.00000,24785.00000,-682.00000,27314.00000,323139.00000
2021-06-30,122684.00000,156646.00000,2169.00000,112679.00000,9562.00000,45472.00000,169882.00000,326528.00000,288329.00000,13032.00000,13032.00000,301361.00000,504.00000,24300.00000,-422.00000,25167.00000,326528.00000
2021-03-31,118130.00000,152899.00000,2143.00000,106974.00000,9636.00000,45233.00000,163986.00000,316885.00000,278044.00000,13836.00000,13836.00000,291880.00000,504.00000,23751.00000,-418.00000,25005.00000,316885.00000
2020-12-31,124348.00000,155256.00000,2154.00000,111276.00000,9510.00000,36510.00000,159450.00000,314706.00000,274701.00000,13805.00000,13805.00000,288506.00000,504.00000,23442.00000,187.00000,26200.00000,314706.00000
2020-09-30,86154.00000,116346.00000,2193.00000,111998.00000,9477.00000,32061.00000,155729.00000,272075.00000,232664.00000,13853.00000,13853.00000,246517.00000,504.00000,23128.00000,-111.00000,25558.00000,272075.00000
