,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,230.10000,1013.20000,1708.00000,8.10000,165.40000,3124.80000,1010.00000,,170.80000,1423.80000,4548.60000,789.80000,353.20000,3.50000,595.60000,1385.40000,5.70000,3218.70000,-64.80000,3163.20000,4548.60000
2022-09-30,231.50000,1110.60000,1678.10000,3.20000,172.20000,3195.60000,1008.50000,,173.50000,1431.80000,4627.40000,802.60000,404.70000,4.80000,663.60000,1466.20000,5.80000,3239.70000,-87.10000,3161.20000,4627.40000
2022-06-30,247.90000,1103.90000,1665.20000,6.50000,129.20000,3152.70000,1008.70000,,176.10000,1439.60000,4592.30000,849.00000,310.00000,,564.60000,1413.60000,5.80000,3171.60000,-54.40000,3178.70000,4592.30000
2022-03-31,234.20000,1071.60000,1600.80000,0.00000,127.40000,3034.00000,1008.40000,,178.30000,1432.70000,4466.70000,745.50000,330.00000,,579.20000,1324.70000,5.80000,3063.00000,-28.40000,3142.00000,4466.70000
2021-12-31,236.20000,900.20000,1523.60000,8.50000,188.10000,2856.60000,1019.20000,,180.90000,1442.40000,4299.00000,682.20000,330.00000,,574.60000,1256.80000,5.80000,2970.90000,-30.70000,3042.20000,4299.00000
2021-09-30,250.50000,949.40000,1401.10000,6.70000,162.60000,2770.30000,1019.20000,,183.30000,1452.20000,4222.50000,662.50000,330.00000,,595.30000,1257.80000,2.90000,2900.80000,-29.60000,2964.70000,4222.50000
2021-06-30,321.80000,908.90000,1327.90000,0.00000,146.70000,2705.30000,1015.80000,,185.90000,1461.30000,4166.60000,650.20000,365.00000,,635.60000,1285.80000,2.90000,2818.30000,-18.80000,2880.80000,4166.60000
2021-03-31,333.90000,851.00000,1305.30000,0.00000,124.00000,2614.20000,1022.00000,,188.60000,1460.20000,4074.40000,661.20000,365.00000,,626.50000,1287.70000,2.90000,2739.40000,-25.60000,2786.70000,4074.40000
2020-12-31,245.70000,769.40000,1337.50000,6.70000,140.30000,2499.60000,1030.70000,,191.40000,1465.10000,3964.70000,612.70000,365.00000,,618.80000,1231.50000,5.70000,2689.60000,-21.20000,2733.20000,3964.70000
2020-09-30,331.80000,834.50000,1342.60000,14.60000,123.20000,2646.70000,1023.70000,,193.80000,1461.90000,4108.60000,603.00000,365.00000,,620.00000,1223.00000,2.90000,2866.70000,-41.80000,2885.60000,4108.60000
