,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,42527.00000,30731.00000,5657.00000,4022.00000,82937.00000,9469.00000,41557.00000,94689.00000,14412.00000,160127.00000,243064.00000,100935.00000,45438.00000,12111.00000,64065.00000,165000.00000,10.00000,83722.00000,-9086.00000,78064.00000,243064.00000
2022-06-30,27964.00000,31157.00000,5218.00000,4017.00000,68356.00000,9421.00000,42427.00000,95444.00000,14524.00000,161816.00000,230172.00000,88698.00000,45799.00000,11967.00000,65269.00000,153967.00000,10.00000,80540.00000,-7730.00000,76205.00000,230172.00000
2022-03-31,28396.00000,30865.00000,5613.00000,4155.00000,69029.00000,9183.00000,42353.00000,87466.00000,13207.00000,152209.00000,221238.00000,88170.00000,40796.00000,11671.00000,56940.00000,145110.00000,10.00000,78782.00000,-6026.00000,76128.00000,221238.00000
2021-12-31,23907.00000,28082.00000,5320.00000,4449.00000,61758.00000,8969.00000,43114.00000,85839.00000,12526.00000,150448.00000,212206.00000,78292.00000,42383.00000,11787.00000,58869.00000,137161.00000,10.00000,77134.00000,-5384.00000,75045.00000,212206.00000
2021-09-30,23871.00000,28232.00000,5203.00000,4304.00000,61610.00000,8730.00000,44777.00000,85871.00000,12057.00000,151435.00000,213045.00000,79575.00000,43345.00000,11844.00000,60211.00000,139786.00000,10.00000,75124.00000,-4856.00000,73259.00000,213045.00000
2021-06-30,22561.00000,27217.00000,4940.00000,4198.00000,58916.00000,8735.00000,44061.00000,86633.00000,11947.00000,151376.00000,210292.00000,76557.00000,44348.00000,12425.00000,61713.00000,138270.00000,10.00000,73090.00000,-4086.00000,72022.00000,210292.00000
2021-03-31,22917.00000,27526.00000,4971.00000,4094.00000,59508.00000,8496.00000,42406.00000,83004.00000,11757.00000,145663.00000,205171.00000,80641.00000,37420.00000,12926.00000,55217.00000,135858.00000,10.00000,71220.00000,-4826.00000,69313.00000,205171.00000
2020-12-31,19781.00000,25404.00000,4457.00000,4076.00000,53718.00000,8626.00000,41242.00000,82193.00000,11510.00000,143571.00000,197289.00000,72420.00000,38648.00000,12315.00000,56541.00000,128961.00000,10.00000,69295.00000,-3814.00000,68328.00000,197289.00000
2020-09-30,20809.00000,25402.00000,4822.00000,3788.00000,54821.00000,8151.00000,39184.00000,78461.00000,10352.00000,136148.00000,190969.00000,66597.00000,39895.00000,11186.00000,56268.00000,122865.00000,10.00000,69715.00000,-4494.00000,68104.00000,190969.00000
2020-06-30,25593.00000,23976.00000,5932.00000,3417.00000,58918.00000,8126.00000,36778.00000,78424.00000,10237.00000,133565.00000,192483.00000,69883.00000,39901.00000,11056.00000,56085.00000,125968.00000,10.00000,67776.00000,-4550.00000,66515.00000,192483.00000
2020-03-31,24445.00000,24888.00000,6608.00000,2866.00000,58807.00000,8173.00000,36578.00000,75501.00000,10008.00000,130260.00000,189067.00000,78606.00000,35779.00000,10048.00000,50598.00000,129204.00000,10.00000,62327.00000,-5360.00000,59863.00000,189067.00000
2019-12-31,14245.00000,21462.00000,3851.00000,3076.00000,42634.00000,8704.00000,37209.00000,76008.00000,9334.00000,131255.00000,173889.00000,61782.00000,36808.00000,10144.00000,51671.00000,113453.00000,9.00000,61178.00000,-3578.00000,60436.00000,173889.00000
2019-09-30,15818.00000,21116.00000,3556.00000,3051.00000,43541.00000,8501.00000,36840.00000,75726.00000,9101.00000,130168.00000,173709.00000,62641.00000,38507.00000,9912.00000,53312.00000,115953.00000,9.00000,58696.00000,-3709.00000,57756.00000,173709.00000
2019-06-30,17269.00000,18175.00000,3651.00000,2943.00000,42038.00000,8681.00000,35696.00000,71999.00000,8786.00000,125162.00000,167200.00000,62328.00000,34473.00000,9435.00000,49018.00000,111346.00000,9.00000,56367.00000,-3273.00000,55854.00000,167200.00000
