,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,992.60000,764.10000,1273.30000,384.30000,3414.30000,1562.70000,,3549.70000,122.60000,5533.10000,8947.40000,1225.50000,1690.30000,279.20000,2172.00000,3397.50000,39.70000,5511.90000,-5.60000,5549.90000,8947.40000
2022-09-30,586.30000,1094.00000,1212.10000,337.50000,3229.90000,1604.80000,0.50000,3621.40000,141.50000,5643.90000,8873.80000,1226.90000,1689.90000,281.10000,2177.90000,3404.80000,40.00000,5421.90000,-4.80000,5469.00000,8873.80000
2022-06-30,659.20000,785.60000,1102.00000,361.20000,2908.00000,1607.40000,3.00000,3718.50000,147.90000,5786.60000,8694.60000,1226.10000,1689.40000,295.00000,2173.90000,3400.00000,40.10000,5885.10000,-4.80000,5294.60000,8694.60000
2022-03-31,774.80000,798.10000,928.20000,274.40000,2775.50000,1578.40000,3.40000,3742.50000,96.20000,5736.10000,8511.60000,696.60000,2187.30000,240.20000,2626.40000,3323.00000,40.40000,5707.80000,-5.00000,5188.60000,8511.60000
2021-12-31,1013.40000,774.00000,838.50000,237.50000,2863.40000,1547.60000,3.50000,3808.30000,101.00000,5755.10000,8618.50000,681.90000,2186.50000,248.80000,2602.40000,3284.30000,41.10000,5493.20000,-4.70000,5334.20000,8618.50000
2021-09-30,1020.10000,756.20000,885.00000,204.10000,2865.40000,1501.60000,7.10000,3875.30000,55.70000,5725.30000,8590.70000,658.50000,2235.60000,255.00000,2635.10000,3293.60000,41.30000,5185.80000,-7.90000,5297.10000,8590.70000
2021-06-30,2974.20000,570.50000,808.70000,168.50000,4521.90000,1452.20000,3.90000,1224.50000,63.10000,2964.30000,7486.20000,578.30000,1487.10000,275.30000,1905.10000,2483.40000,41.30000,4952.10000,-8.00000,5002.80000,7486.20000
2021-03-31,1419.60000,499.00000,739.80000,146.30000,2804.70000,1396.60000,4.00000,1228.90000,73.20000,2929.70000,5734.40000,538.40000,,335.40000,483.70000,1022.10000,41.30000,5489.10000,-7.80000,4712.30000,5734.40000
2020-12-31,1018.60000,689.90000,718.50000,148.20000,2575.20000,1305.40000,0.70000,1236.20000,73.50000,2844.60000,5419.80000,507.60000,,342.40000,497.30000,1004.90000,41.20000,5246.70000,-7.70000,4414.90000,5419.80000
2020-09-30,974.80000,358.50000,806.00000,178.40000,2317.60000,1249.50000,5.20000,1243.30000,67.90000,2789.10000,5106.70000,448.40000,,343.40000,494.10000,942.50000,41.40000,4820.40000,-7.80000,4164.20000,5106.70000
2020-06-30,1138.30000,346.10000,698.20000,154.80000,2337.40000,1206.90000,24.10000,1252.70000,36.00000,2735.00000,5072.40000,401.10000,,333.10000,488.90000,890.00000,41.80000,4657.00000,-7.60000,4182.40000,5072.40000
2020-03-31,1073.90000,367.60000,648.90000,130.40000,2220.80000,1207.90000,34.10000,1275.20000,33.00000,2761.10000,4981.90000,362.20000,,325.00000,476.90000,839.10000,41.90000,4600.80000,-7.50000,4142.80000,4981.90000
2019-12-31,1190.40000,426.80000,604.40000,124.90000,2346.50000,1190.80000,38.20000,1286.30000,31.00000,2745.30000,5091.80000,333.20000,,340.40000,491.30000,824.50000,42.60000,4494.60000,-8.00000,4267.30000,5091.80000
2019-09-30,1054.60000,465.30000,609.70000,105.00000,2234.60000,1205.60000,27.60000,1297.70000,33.30000,2605.00000,4839.60000,374.00000,,343.30000,343.30000,717.30000,42.50000,4312.60000,-7.90000,4122.30000,4839.60000
2019-06-30,935.00000,557.80000,580.80000,132.70000,2206.30000,1230.10000,35.10000,1303.90000,33.20000,2636.00000,4842.30000,396.50000,,345.90000,345.90000,742.40000,42.90000,4177.10000,-7.80000,4099.90000,4842.30000
2019-03-31,957.40000,543.80000,555.00000,103.90000,2160.10000,1169.80000,33.90000,1319.70000,32.80000,2605.40000,4765.50000,338.30000,,346.30000,346.30000,684.60000,43.20000,4098.70000,-8.10000,4080.90000,4765.50000
2018-12-31,1099.10000,524.40000,493.10000,91.90000,2208.50000,1140.60000,2.70000,1319.90000,32.50000,2530.40000,4738.90000,357.30000,,343.30000,343.30000,700.60000,43.50000,3950.70000,-8.20000,4038.30000,4738.90000
2018-09-30,1027.40000,655.80000,490.20000,88.80000,2262.20000,1140.90000,22.80000,1333.50000,33.00000,2566.70000,4828.90000,389.70000,,342.20000,342.20000,731.90000,44.40000,3732.90000,-8.80000,4097.00000,4828.90000
2018-06-30,1542.50000,468.40000,502.80000,117.70000,2631.40000,1034.60000,106.30000,942.90000,37.20000,2151.90000,4783.30000,358.30000,,342.10000,342.10000,700.40000,44.90000,3515.40000,-8.80000,4082.90000,4783.30000
2018-03-31,1881.30000,367.20000,466.40000,96.00000,2810.90000,907.10000,,945.70000,40.20000,1934.20000,4745.10000,318.50000,,356.40000,356.40000,674.90000,45.50000,3286.80000,-8.80000,4070.20000,4745.10000
2017-12-31,1681.50000,458.80000,458.60000,87.70000,2686.60000,869.10000,,951.20000,42.10000,1907.70000,4594.30000,321.50000,,372.30000,372.30000,693.80000,45.60000,3069.30000,-8.50000,3900.50000,4594.30000
2017-09-30,1616.80000,454.70000,493.50000,68.70000,2633.70000,882.30000,,950.80000,40.30000,1939.90000,4573.60000,387.90000,,120.00000,120.00000,507.90000,45.80000,3059.60000,-8.50000,4065.70000,4573.60000
2017-06-30,1444.00000,397.40000,482.50000,88.10000,2412.00000,857.70000,,942.60000,46.50000,1898.20000,4310.20000,300.80000,,111.60000,111.60000,412.40000,45.90000,2837.20000,-9.20000,3897.80000,4310.20000
2017-03-31,1406.90000,368.80000,444.50000,87.90000,2308.10000,800.40000,,949.70000,55.40000,1858.70000,4166.80000,266.90000,,108.10000,108.10000,375.00000,46.10000,2642.60000,-9.30000,3791.80000,4166.80000
2016-12-31,1350.50000,368.40000,422.80000,56.80000,2198.50000,801.50000,,955.30000,56.00000,1867.20000,4065.70000,303.40000,,102.00000,102.00000,405.40000,46.20000,2469.50000,-9.00000,3660.30000,4065.70000
2016-09-30,1083.80000,416.60000,424.00000,77.70000,2002.10000,806.30000,,940.30000,52.60000,1853.30000,3855.40000,210.20000,,103.80000,103.80000,314.00000,46.20000,2263.60000,-10.90000,3541.40000,3855.40000
2016-06-30,973.70000,570.00000,437.60000,96.80000,2078.10000,844.50000,,934.00000,44.40000,1877.60000,3955.70000,347.00000,,94.40000,94.40000,441.40000,46.90000,2068.90000,-9.00000,3514.30000,3955.70000
2016-03-31,1177.50000,538.50000,333.70000,77.30000,2127.00000,837.70000,,893.70000,43.20000,1831.20000,3958.20000,324.70000,,90.20000,90.20000,414.90000,47.50000,1933.50000,-8.50000,3543.30000,3958.20000
2015-12-31,1233.20000,527.60000,276.40000,77.50000,2114.70000,847.90000,,893.30000,20.30000,1815.80000,3930.50000,367.90000,,80.00000,80.00000,447.90000,47.90000,1774.70000,-8.20000,3482.60000,3930.50000
2015-09-30,1043.60000,538.00000,267.90000,65.20000,1914.70000,826.40000,,901.70000,20.30000,1804.70000,3719.40000,463.90000,,96.30000,96.30000,560.20000,47.60000,1469.20000,-8.20000,3159.20000,3719.40000
2015-06-30,1106.00000,381.70000,272.70000,57.70000,1818.10000,721.60000,,908.00000,15.10000,1700.20000,3518.30000,319.00000,,157.30000,157.30000,476.30000,47.80000,1289.60000,-7.90000,3042.00000,3518.30000
2015-03-31,1054.20000,277.10000,276.20000,71.40000,1678.90000,655.80000,,909.20000,14.70000,1634.30000,3313.20000,298.60000,,151.10000,151.10000,449.70000,47.80000,1106.90000,-7.90000,2863.50000,3313.20000
2014-12-31,1049.90000,242.30000,273.80000,24.40000,1590.40000,610.40000,,917.50000,14.50000,1600.60000,3191.00000,332.90000,,148.00000,148.00000,480.90000,47.70000,965.30000,-8.70000,2710.10000,3191.00000
2014-09-30,805.80000,317.60000,270.80000,35.00000,1429.20000,555.90000,,926.00000,11.90000,1544.60000,2973.80000,297.60000,41.60000,102.20000,143.80000,441.40000,47.30000,794.90000,-4.90000,2532.40000,2973.80000
