,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,467.00000,806.00000,183.00000,50.00000,1240.00000,2746.00000,3198.00000,3637.00000,394.00000,8111.00000,10857.00000,2895.00000,2506.00000,829.00000,4473.00000,7368.00000,1.00000,4276.00000,-599.00000,,3489.00000,10857.00000
2022-09-30,117.00000,901.00000,174.00000,61.00000,1564.00000,2817.00000,3136.00000,3672.00000,399.00000,7798.00000,10615.00000,2892.00000,2605.00000,840.00000,4675.00000,7567.00000,1.00000,4203.00000,-970.00000,,3048.00000,10615.00000
2022-06-30,375.00000,809.00000,196.00000,74.00000,1366.00000,2820.00000,3102.00000,3723.00000,401.00000,7766.00000,10586.00000,2447.00000,3102.00000,852.00000,5187.00000,7634.00000,1.00000,4113.00000,-978.00000,,2952.00000,10586.00000
2022-03-31,330.00000,842.00000,188.00000,77.00000,1349.00000,2786.00000,3094.00000,3752.00000,415.00000,7771.00000,10557.00000,2421.00000,3200.00000,869.00000,5314.00000,7735.00000,1.00000,3982.00000,-987.00000,,2822.00000,10557.00000
2021-12-31,627.00000,642.00000,161.00000,50.00000,1310.00000,2790.00000,3107.00000,3787.00000,421.00000,7837.00000,10627.00000,2427.00000,3298.00000,868.00000,5392.00000,7819.00000,1.00000,3891.00000,-923.00000,,2808.00000,10627.00000
2021-09-30,555.00000,667.00000,143.00000,66.00000,1363.00000,2794.00000,3043.00000,3871.00000,436.00000,7606.00000,10400.00000,2444.00000,3321.00000,882.00000,5767.00000,8211.00000,1.00000,3819.00000,-1470.00000,,2189.00000,10400.00000
2021-06-30,348.00000,584.00000,139.00000,64.00000,1182.00000,2317.00000,3004.00000,2103.00000,414.00000,5815.00000,8132.00000,2123.00000,1689.00000,837.00000,3942.00000,6065.00000,1.00000,3718.00000,-1501.00000,,2067.00000,8132.00000
2021-03-31,407.00000,540.00000,142.00000,66.00000,1288.00000,2443.00000,2988.00000,2116.00000,377.00000,5771.00000,8214.00000,2290.00000,1688.00000,832.00000,3945.00000,6235.00000,1.00000,3635.00000,-1523.00000,,1979.00000,8214.00000
2020-12-31,512.00000,568.00000,137.00000,45.00000,1182.00000,2444.00000,2978.00000,2129.00000,281.00000,5713.00000,8157.00000,2226.00000,1686.00000,826.00000,4030.00000,6256.00000,1.00000,3533.00000,-1547.00000,,1901.00000,8157.00000
2020-09-30,744.00000,655.00000,152.00000,42.00000,1288.00000,2881.00000,2907.00000,2104.00000,269.00000,5564.00000,8445.00000,2233.00000,2278.00000,799.00000,4332.00000,6565.00000,1.00000,3330.00000,-1357.00000,,1880.00000,8445.00000
2020-06-30,631.00000,598.00000,160.00000,43.00000,1307.00000,2739.00000,2879.00000,2118.00000,245.00000,5494.00000,8233.00000,2114.00000,2276.00000,760.00000,4441.00000,6555.00000,1.00000,3150.00000,-1376.00000,,1678.00000,8233.00000
2020-03-31,28.00000,526.00000,154.00000,40.00000,1389.00000,2137.00000,2848.00000,2129.00000,231.00000,5478.00000,7615.00000,2080.00000,1667.00000,753.00000,3892.00000,5972.00000,1.00000,3139.00000,-1394.00000,,1643.00000,7615.00000
2019-12-31,75.00000,466.00000,136.00000,24.00000,1084.00000,1785.00000,2832.00000,1865.00000,240.00000,5246.00000,7031.00000,1890.00000,1286.00000,748.00000,3553.00000,5443.00000,1.00000,3009.00000,-1409.00000,,1588.00000,7031.00000
2019-09-30,32.00000,489.00000,139.00000,147.00000,1218.00000,2025.00000,2700.00000,1908.00000,241.00000,5159.00000,7184.00000,1950.00000,1549.00000,714.00000,3529.00000,5479.00000,1.00000,2902.00000,-1232.00000,,1705.00000,7184.00000
2019-06-30,29.00000,564.00000,126.00000,145.00000,1259.00000,2123.00000,2626.00000,1921.00000,224.00000,5107.00000,7230.00000,1902.00000,1698.00000,714.00000,3700.00000,5602.00000,1.00000,2783.00000,-1251.00000,,1628.00000,7230.00000
2019-03-31,51.00000,375.00000,127.00000,119.00000,1250.00000,1922.00000,2569.00000,1932.00000,217.00000,5078.00000,7000.00000,1960.00000,1496.00000,684.00000,3477.00000,5437.00000,1.00000,2691.00000,-1269.00000,,1563.00000,7000.00000
2018-12-31,240.00000,346.00000,128.00000,27.00000,1004.00000,1745.00000,2517.00000,1755.00000,203.00000,4638.00000,6383.00000,1829.00000,1283.00000,643.00000,3038.00000,4867.00000,1.00000,2609.00000,-1288.00000,,1516.00000,6383.00000
2018-09-30,68.00000,472.00000,180.00000,100.00000,1039.00000,1859.00000,2332.00000,1697.00000,213.00000,4340.00000,6199.00000,1631.00000,1282.00000,612.00000,2743.00000,4374.00000,1.00000,2434.00000,-1070.00000,,1825.00000,6199.00000
2018-06-30,398.00000,364.00000,174.00000,138.00000,1078.00000,2152.00000,2258.00000,1707.00000,166.00000,4223.00000,6375.00000,1509.00000,1281.00000,636.00000,3167.00000,4676.00000,1.00000,2236.00000,-1085.00000,,1699.00000,6375.00000
2018-03-31,528.00000,343.00000,188.00000,87.00000,1064.00000,2210.00000,2219.00000,1716.00000,129.00000,4166.00000,6376.00000,1463.00000,1280.00000,614.00000,3195.00000,4658.00000,1.00000,2029.00000,-1098.00000,,1718.00000,6376.00000
2017-12-31,701.00000,429.00000,183.00000,123.00000,759.00000,2195.00000,2215.00000,1725.00000,125.00000,4179.00000,6374.00000,1391.00000,1279.00000,610.00000,3225.00000,4616.00000,1.00000,1687.00000,-900.00000,,1758.00000,6374.00000
2017-09-30,499.00000,1200.00000,183.00000,57.00000,,1939.00000,2093.00000,1735.00000,117.00000,4233.00000,6172.00000,1275.00000,1282.00000,547.00000,3185.00000,4460.00000,1.00000,1656.00000,-949.00000,,1712.00000,6172.00000
2017-06-30,553.00000,1201.00000,204.00000,75.00000,,2033.00000,2034.00000,1746.00000,110.00000,4157.00000,6190.00000,1247.00000,1281.00000,538.00000,3293.00000,4540.00000,1.00000,1534.00000,-919.00000,,1650.00000,6190.00000
2017-03-31,608.00000,1178.00000,230.00000,47.00000,,2063.00000,1986.00000,1771.00000,122.00000,4171.00000,6234.00000,1273.00000,1280.00000,532.00000,3323.00000,4596.00000,1.00000,1414.00000,-935.00000,,1638.00000,6234.00000
2016-12-31,720.00000,1164.00000,210.00000,48.00000,,2142.00000,1986.00000,1782.00000,128.00000,4210.00000,6352.00000,1343.00000,1278.00000,531.00000,3356.00000,4699.00000,1.00000,1323.00000,-951.00000,,1653.00000,6352.00000
2016-09-30,957.00000,1046.00000,268.00000,73.00000,,2344.00000,1841.00000,1435.00000,135.00000,3664.00000,6008.00000,1228.00000,1277.00000,561.00000,3128.00000,4356.00000,1.00000,1154.00000,-808.00000,,1652.00000,6008.00000
2016-06-30,852.00000,1022.00000,280.00000,43.00000,,2197.00000,1813.00000,1440.00000,127.00000,3662.00000,5859.00000,1141.00000,1276.00000,550.00000,3106.00000,4247.00000,1.00000,1069.00000,-821.00000,,1612.00000,5859.00000
2016-03-31,793.00000,1086.00000,283.00000,41.00000,,2203.00000,1809.00000,1446.00000,125.00000,3693.00000,5896.00000,1155.00000,1275.00000,562.00000,3220.00000,4375.00000,1.00000,960.00000,-833.00000,,1521.00000,5896.00000
2015-12-31,894.00000,1074.00000,285.00000,31.00000,,2284.00000,1827.00000,1451.00000,126.00000,3740.00000,6024.00000,1274.00000,1273.00000,563.00000,3260.00000,4534.00000,1.00000,848.00000,-845.00000,,1490.00000,6024.00000
2015-09-30,671.00000,1278.00000,308.00000,36.00000,,2419.00000,1750.00000,1501.00000,156.00000,3623.00000,6042.00000,1294.00000,1305.00000,561.00000,3258.00000,4552.00000,1.00000,821.00000,-826.00000,,1490.00000,6042.00000
2015-06-30,960.00000,1244.00000,319.00000,39.00000,,2694.00000,1757.00000,1507.00000,125.00000,3618.00000,6312.00000,1589.00000,1305.00000,556.00000,3238.00000,4827.00000,1.00000,729.00000,-836.00000,,1485.00000,6312.00000
2015-03-31,904.00000,1219.00000,336.00000,37.00000,,2628.00000,1768.00000,1572.00000,127.00000,3691.00000,6319.00000,1332.00000,1592.00000,557.00000,3607.00000,4939.00000,1.00000,593.00000,-849.00000,,1380.00000,6319.00000
2014-12-31,990.00000,1038.00000,339.00000,50.00000,,2417.00000,1792.00000,1573.00000,99.00000,3822.00000,6239.00000,1312.00000,1562.00000,554.00000,3562.00000,4874.00000,1.00000,525.00000,-862.00000,,1365.00000,6239.00000
2014-09-30,769.00000,1144.00000,272.00000,28.00000,,2380.00000,1852.00000,1637.00000,127.00000,3745.00000,6125.00000,1234.00000,1650.00000,523.00000,3229.00000,4463.00000,1.00000,492.00000,-506.00000,,1662.00000,6125.00000
2014-06-30,592.00000,1216.00000,294.00000,46.00000,,2327.00000,1850.00000,1646.00000,130.00000,3753.00000,6080.00000,1267.00000,1679.00000,534.00000,3244.00000,4511.00000,1.00000,406.00000,-509.00000,,1569.00000,6080.00000
2014-03-31,742.00000,1299.00000,315.00000,25.00000,,2544.00000,1856.00000,1450.00000,131.00000,3563.00000,6107.00000,1240.00000,1700.00000,528.00000,3306.00000,4546.00000,1.00000,316.00000,-515.00000,,1561.00000,6107.00000
2013-12-31,1043.00000,1123.00000,311.00000,29.00000,,2676.00000,1897.00000,1409.00000,119.00000,3549.00000,6225.00000,1392.00000,1700.00000,523.00000,3312.00000,4704.00000,1.00000,236.00000,-521.00000,,1521.00000,6225.00000
2013-09-30,895.00000,1055.00000,340.00000,23.00000,,2531.00000,1964.00000,1413.00000,123.00000,3748.00000,6279.00000,1402.00000,1743.00000,461.00000,3942.00000,5344.00000,1.00000,155.00000,-1078.00000,,935.00000,6279.00000
