,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,43.00000,2182.00000,942.00000,,1013.00000,4180.00000,28767.00000,2155.00000,2159.00000,670.00000,38414.00000,42683.00000,5173.00000,16873.00000,6927.00000,27109.00000,32282.00000,6651.00000,3808.00000,-62.00000,,10401.00000,42683.00000
2022-09-30,51.00000,1980.00000,1048.00000,,1231.00000,4310.00000,28099.00000,2090.00000,2163.00000,666.00000,37553.00000,41954.00000,5466.00000,17442.00000,6877.00000,27502.00000,32968.00000,5337.00000,3741.00000,-98.00000,,8986.00000,41954.00000
2022-06-30,82.00000,2158.00000,855.00000,,998.00000,4093.00000,27735.00000,2166.00000,2164.00000,628.00000,37127.00000,41314.00000,6895.00000,15608.00000,7096.00000,25840.00000,32735.00000,5323.00000,3355.00000,-104.00000,,8579.00000,41314.00000
2022-03-31,156.00000,1812.00000,729.00000,,913.00000,3610.00000,27266.00000,2359.00000,2168.00000,617.00000,36657.00000,40360.00000,5680.00000,15629.00000,7058.00000,25813.00000,31493.00000,5310.00000,3662.00000,-109.00000,4.00000,8867.00000,40360.00000
2021-12-31,35.00000,1830.00000,858.00000,,594.00000,3317.00000,26944.00000,2452.00000,2170.00000,579.00000,36305.00000,39719.00000,6346.00000,14531.00000,7037.00000,24660.00000,31006.00000,5379.00000,3438.00000,-112.00000,,8713.00000,39719.00000
2021-09-30,56.00000,1692.00000,915.00000,,831.00000,3494.00000,26157.00000,2380.00000,2174.00000,536.00000,35841.00000,39435.00000,3433.00000,16924.00000,7029.00000,27423.00000,30856.00000,5366.00000,3317.00000,-116.00000,,8579.00000,39435.00000
2021-06-30,3450.00000,1707.00000,766.00000,,479.00000,6402.00000,29140.00000,4070.00000,4762.00000,520.00000,43096.00000,49636.00000,3737.00000,21891.00000,7111.00000,33360.00000,37097.00000,5361.00000,7149.00000,-132.00000,,12539.00000,49636.00000
2021-03-31,1570.00000,1685.00000,664.00000,,457.00000,4376.00000,28272.00000,3977.00000,4784.00000,499.00000,42178.00000,46699.00000,2595.00000,19993.00000,7061.00000,31390.00000,33985.00000,5344.00000,7342.00000,-134.00000,,12714.00000,46699.00000
2020-12-31,474.00000,1669.00000,708.00000,,430.00000,3498.00000,24499.00000,2228.00000,2192.00000,427.00000,41891.00000,45496.00000,2691.00000,19001.00000,6861.00000,30216.00000,32907.00000,5406.00000,7156.00000,-137.00000,,12589.00000,45496.00000
2020-09-30,962.00000,1559.00000,815.00000,,485.00000,3821.00000,27159.00000,3715.00000,4823.00000,452.00000,40461.00000,44439.00000,3417.00000,18219.00000,6618.00000,28534.00000,31951.00000,5369.00000,7092.00000,-138.00000,,12488.00000,44439.00000
