,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1090.76500,859.62900,320.90300,229.28300,2500.58000,1199.88000,50.25600,469.32700,52.14400,3412.22200,5912.80200,1809.40300,312.08300,408.77700,2218.18000,0.00800,2674.66100,-40.74500,3694.62200,5912.80200
2022-06-30,899.63900,931.85400,310.04600,235.26500,2376.80400,1182.44400,77.55100,483.91700,52.84300,3433.31500,5810.11900,1804.41400,308.29200,406.62400,2211.03800,0.00800,2601.96100,-19.77000,3599.08100,5810.11900
2022-03-31,1012.86800,950.89200,275.66900,241.33900,2480.76800,1140.92200,107.69500,515.46400,57.69300,3462.64600,5943.41400,1863.64700,307.93200,412.91500,2276.56200,0.00800,2680.27000,-5.71300,3666.85200,5943.41400
2021-12-31,1171.34200,897.19800,230.23000,195.30500,2494.07500,1081.92600,125.32000,528.25600,57.50900,3448.03500,5942.11000,1924.07100,292.66900,395.32500,2319.39600,0.00800,2619.37400,4.32600,3622.71400,5942.11000
2021-09-30,1237.82200,855.03700,207.11600,155.33200,2455.30700,1002.76900,,542.38800,54.66800,3194.80200,5650.10900,1790.31500,268.68000,343.03200,2133.34700,0.00800,2526.70500,17.59900,3516.76200,5650.10900
2021-06-30,1086.35700,808.07900,178.75100,158.63800,2231.82500,960.85200,,549.90000,47.28100,3163.74300,5395.56800,1696.58100,240.39300,314.57700,2011.15800,0.00800,2458.95500,29.61600,3384.41000,5395.56800
2021-03-31,1131.69800,718.95700,150.64300,114.25700,2115.55500,763.87000,,548.04000,37.96000,2954.22700,5069.78200,1393.84200,218.51900,282.36400,1676.20600,0.00800,2416.17600,29.03000,3393.57600,5069.78200
2020-12-31,960.84300,657.70400,139.23700,91.75400,1849.53800,734.72100,,574.88900,35.15100,2980.14500,4829.68300,1325.60100,205.77200,270.21700,1595.81800,0.00800,2215.80000,43.50100,3233.86500,4829.68300
2020-09-30,615.53200,626.04600,123.09300,108.57600,1473.24700,703.65700,,555.94600,32.62800,2941.84400,4415.09100,1121.79400,194.30800,259.82600,1381.62000,0.00800,2056.81200,24.91100,3033.47100,4415.09100
2020-06-30,404.35900,473.31400,131.27600,140.29500,1149.24400,668.95100,,543.21100,27.58000,2876.61300,4025.85700,941.59200,188.60100,239.22000,1180.81200,0.00800,1917.44100,9.10100,2845.04500,4025.85700
2020-03-31,790.69600,533.00400,120.97700,131.84800,1576.52500,663.49100,,73.75100,29.56600,2388.31500,3964.84000,910.68600,147.42000,201.16500,1111.85100,0.00800,1958.04300,-0.19300,2852.98900,3964.84000
2019-12-31,868.62700,550.29100,112.05100,102.45000,1633.41900,631.73000,,75.69200,39.61000,867.28300,2500.70200,970.97000,140.10000,183.56300,1154.53300,0.00800,439.91200,-0.68800,1346.16900,2500.70200
2019-09-30,782.37300,531.81600,94.79500,96.59500,1505.57900,606.58100,,77.01200,44.13500,844.80100,2350.38000,870.14400,131.32200,174.68700,1044.83100,0.00800,415.15900,-1.92700,1305.54900,2350.38000
