,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1303.00000,2398.00000,1464.00000,4688.00000,9853.00000,19705.00000,193.00000,3389.00000,36763.00000,46616.00000,7887.00000,4480.00000,18936.00000,27560.00000,35447.00000,13255.00000,-483.00000,-1969.00000,,11169.00000,46616.00000
2022-06-30,926.00000,2119.00000,1383.00000,3662.00000,8090.00000,19739.00000,211.00000,3258.00000,37243.00000,45333.00000,5878.00000,4507.00000,19160.00000,28066.00000,33944.00000,13241.00000,-249.00000,-1992.00000,,11389.00000,45333.00000
2022-03-31,1696.00000,2270.00000,1211.00000,3590.00000,8767.00000,19837.00000,217.00000,2717.00000,38079.00000,46846.00000,6434.00000,4548.00000,19528.00000,28907.00000,35341.00000,13212.00000,-91.00000,-2016.00000,,11505.00000,46846.00000
2021-12-31,576.00000,2421.00000,1288.00000,3696.00000,7981.00000,19612.00000,174.00000,2666.00000,40105.00000,48086.00000,7996.00000,4894.00000,19032.00000,28476.00000,36472.00000,,,-31.00000,11250.00000,11614.00000,48086.00000
2021-09-30,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2021-06-30,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2021-03-31,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2020-12-31,315.00000,1803.00000,1211.00000,3618.00000,6947.00000,,184.00000,4279.00000,18933.00000,48094.00000,5219.00000,5890.00000,18653.00000,28199.00000,33418.00000,0.00000,2805.00000,,11871.00000,14676.00000,48094.00000
2019-12-31,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
