,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2033.20000,2355.30000,4388.50000,239.90000,34.40000,8269.40000,826.40000,9370.10100,13973.50000,2332.00000,3691.50000,2563.50000,6839.00000,9366.90000,30.30000,4553.00000,-148.40000,4606.60000,13973.50000
2022-09-30,1850.80000,2370.30000,4221.10000,239.20000,35.20000,8110.30000,838.00000,9222.70000,13658.30000,2243.90000,4040.40000,2299.70000,6912.39900,9347.70000,30.30000,4440.40000,-315.50000,4310.60000,13658.30000
2022-06-30,3287.50000,1420.10000,4707.60000,214.60000,38.60000,6294.70000,821.10000,7369.00000,12279.90000,1211.30000,4156.30000,1999.90000,6599.30000,7996.50000,30.20000,4308.30000,-142.80000,4283.40000,12279.90000
2022-03-31,2426.10000,1358.00000,3784.10000,214.50000,42.60000,6311.90000,715.60000,7284.60000,11272.90000,1001.20000,3497.10000,1821.50000,5750.60000,6937.50000,30.20000,4192.10000,-12.40000,4335.40000,11272.90000
2021-12-31,1470.20000,1279.40000,2749.60000,212.00000,43.90000,5818.30000,774.60000,6848.80000,9795.40000,1196.70000,1980.40000,1854.60000,4221.80000,5598.50000,30.10000,4000.70000,-9.40000,4196.90000,9795.40000
2021-09-30,1425.89100,1426.08500,2851.97600,208.34300,45.77700,5610.43600,724.80600,6589.36200,9629.16600,2889.14100,1755.48700,330.75300,2460.83500,5521.54700,30.09300,3927.91200,-6.55000,4107.61900,9629.16600
2021-06-30,1351.02000,1301.89700,2652.91700,209.27900,45.70200,5558.96900,711.52600,6525.47600,9357.89500,2800.92200,1762.29400,313.54200,2446.89000,5411.89300,30.01000,3807.68400,-3.54900,3946.00200,9357.89500
2021-03-31,1140.72400,1179.36100,2320.08500,205.76600,43.66000,5533.40600,626.93000,6409.76200,8910.79300,2240.98200,2009.10000,303.08800,2671.81700,5079.79600,30.02200,3694.45700,-4.99000,3830.99700,8910.79300
2020-12-31,1271.91500,1142.71700,2414.63200,201.11500,43.30300,5445.57800,674.86600,6364.86200,8966.49200,2354.35200,2025.90600,314.85400,2684.98200,5212.26900,29.96900,3520.68300,,3754.22300,8966.49200
2020-09-30,1501.84100,1127.98600,2629.82700,187.61100,42.95400,5101.14500,647.53800,5979.24800,8795.37900,2240.39100,2042.67400,304.82300,2680.39700,5093.36900,29.93700,3451.88000,,3702.01000,8795.37900
2020-06-30,1062.20400,1126.10600,2188.31000,174.37600,39.70300,4988.66200,619.68500,5822.42600,8201.05800,2258.27600,1566.40900,295.58000,2185.54700,4617.54000,29.91500,3341.99000,,3583.51800,8201.05800
2020-03-31,775.17800,1033.67600,1808.85400,159.36100,39.93500,4814.45000,566.15400,5579.90000,7582.34500,1890.61900,1483.35500,228.37800,2035.13700,4102.50400,29.89300,3269.35900,,3479.84100,7582.34500
2019-12-31,962.97500,1001.33900,1964.31400,148.62700,39.70300,4662.86200,623.02700,5474.21900,7622.82100,2045.36100,1500.34300,230.70600,2059.32600,4272.54200,29.71100,3140.76200,,3350.27900,7622.82100
2019-09-30,874.59500,1205.39900,2079.99400,128.88900,38.07200,4625.68300,614.60700,5407.25100,7680.66400,2148.92400,1513.56000,204.53600,2040.12000,4366.14100,29.71400,3088.17400,,3314.52300,7680.66400
2019-06-30,814.78100,991.24500,1806.02600,122.51100,35.43800,4451.24400,565.52100,5174.71400,7164.76700,1907.11000,1426.77700,170.18400,1907.47100,3984.13600,29.58200,2995.20600,,3180.63100,7164.76700
2019-03-31,624.88700,898.48800,1523.37500,117.36400,28.04600,4420.85600,542.06800,5108.33400,6806.28900,1647.07300,1439.99800,160.10700,1900.96200,3707.85800,29.58400,2925.17000,,3098.43100,6806.28900
2018-12-31,777.59600,910.21100,1687.80700,100.39500,30.26200,4331.59300,538.61100,5000.86100,6688.66800,1782.98600,1456.99000,132.39200,1905.11400,3688.10000,29.33800,2833.62200,,3000.56800,6688.66800
2018-09-30,724.68700,834.89400,1559.58100,89.77200,29.99500,3609.86000,513.59800,4243.22500,5802.80600,1632.72700,832.36100,113.98000,1230.67100,2863.39800,29.01100,2782.50400,,2939.40800,5802.80600
2018-06-30,787.15900,825.45700,1612.61600,85.21300,31.25300,3486.40800,486.06700,4088.94100,5701.55700,1656.70700,841.95900,87.10000,1213.36800,2870.07500,28.70800,2697.39600,,2831.48200,5701.55700
2018-03-31,826.37700,842.31500,1668.69200,81.13100,38.39800,3377.72900,449.13300,3946.39100,5615.08300,1634.63200,851.54800,69.65700,1209.85800,2844.49000,28.69600,2644.19100,,2770.59300,5615.08300
2017-12-31,824.08800,1024.22200,1848.31000,77.08600,38.91400,3357.08400,426.15600,3899.24000,5747.55000,1987.47400,856.14100,65.05100,1177.37700,3164.85100,28.68900,2456.59900,,2582.69900,5747.55000
2017-09-30,823.20700,2686.22900,3509.43600,71.29600,43.24100,3357.54200,432.76200,3904.84100,7414.27700,3631.51400,860.74100,56.14700,1299.11600,4930.63000,14.88400,2290.01400,,2483.64700,7414.27700
2017-06-30,876.93000,522.14900,1399.07900,72.74700,41.04000,3363.97800,402.16500,3879.93000,5279.00900,1419.53700,965.39100,62.75900,1401.23900,2820.77600,14.82600,2233.05600,,2458.23300,5279.00900
2017-03-31,826.08900,525.53000,1351.61900,72.60700,37.77500,3361.35000,374.09300,3845.82500,5197.44400,1337.90800,1005.04400,70.37300,1443.74000,2781.64800,14.82800,2185.90200,,2415.79600,5197.44400
2016-12-31,781.28300,580.56500,1361.84800,75.80700,38.09600,3382.85600,404.12700,3900.88600,5262.73400,1445.15700,1018.37200,81.30800,1457.36600,2902.52300,14.81100,2134.64000,,2360.21100,5262.73400
2016-09-30,766.96200,801.45600,1568.41800,77.77100,39.59400,3398.50500,420.77800,3953.60900,5522.02700,1701.73500,1031.69300,87.16900,1495.52000,3197.25500,14.81100,2095.95800,,2324.77200,5522.02700
