,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-11-30,5903.79800,12610.35000,2158.30900,20672.46000,1634.07400,324.38200,13790.69000,2834.59700,26443.31000,47115.77000,16460.25000,45.12200,1722.18200,6989.57900,23449.82000,0.07200,16981.43000,-2055.67200,2167.43700,23665.95000,47115.77000
2022-08-31,7893.80600,11776.78000,1940.29000,21610.87000,1659.14000,317.97200,13133.29000,2714.43900,25652.52000,47263.39000,17523.50000,45.89300,1660.37200,6992.80600,24516.30000,0.07200,18203.84000,-2190.34200,2091.38200,22747.09000,47263.39000
2022-05-31,6707.89000,12219.07000,2080.77600,21007.74000,1665.47800,331.50300,12499.44000,2573.26700,25087.46000,46095.20000,16562.59000,51.54600,1649.89700,7520.88300,24083.48000,0.07200,17177.36000,-1954.14600,1753.93000,22011.72000,46095.20000
2022-02-28,5472.14700,11590.88000,2122.10700,19185.13000,1656.79200,336.87600,12427.82000,2610.94100,25132.71000,44317.84000,15540.12000,52.15200,1673.35100,7620.73600,23160.86000,0.07200,16028.40000,-1675.48500,1438.59600,21156.98000,44317.84000
2021-11-30,5644.08500,11120.40000,1857.16600,18621.65000,1654.06500,325.71400,12395.90000,2731.83900,25053.09000,43674.74000,15232.01000,55.88400,1706.93900,7504.07800,22736.09000,0.07200,15110.69000,-1707.23600,1931.36600,20938.66000,43674.74000
2021-08-31,8172.46800,9728.21200,1765.83100,19666.51000,1639.10500,329.52600,11125.86000,2493.74600,23509.33000,43175.84000,15708.87000,53.47300,1659.73500,7369.86200,23078.73000,0.07200,13988.75000,-1419.49700,1750.78400,20097.11000,43175.84000
2021-05-31,10013.81000,9473.44100,1657.60400,21144.86000,1538.77800,327.49700,9144.31300,1843.55300,20980.03000,42124.88000,14929.56000,61.62900,1674.78500,7301.36100,22230.92000,0.07200,15004.28000,-1260.75700,1482.35700,19893.96000,42124.88000
2021-02-28,9170.09600,8725.39200,1665.23200,19560.72000,1500.78100,306.16200,8752.11900,1825.50000,20424.68000,39985.40000,14090.67000,59.32300,1474.54300,7052.30600,21142.97000,0.07200,14035.80000,-1410.43800,1207.16100,18842.43000,39985.40000
2020-11-30,8677.15100,8547.71100,1401.23200,18626.09000,1506.82500,298.90600,8127.41100,1714.33500,19642.22000,38268.31000,12819.10000,59.88100,1590.31100,7022.99600,19842.09000,0.07200,13276.70000,-1479.20200,1721.68100,18426.22000,38268.31000
2020-08-31,8509.63900,7846.89200,1393.22500,17749.76000,1545.56800,324.51400,7709.82000,1689.27500,19328.84000,37078.59000,12662.59000,54.05200,1465.11600,6916.83000,19579.42000,0.07200,12375.53000,-1561.83700,1585.30200,17499.17000,37078.59000
2020-05-31,6445.93700,8345.60100,1354.69800,16146.24000,1445.18300,270.98400,7334.59400,1690.72500,18911.08000,35057.32000,11828.28000,60.34200,1313.13400,6745.39300,18573.68000,0.07200,12565.86000,-1993.81900,1337.76100,16483.64000,35057.32000
2020-02-29,5440.09900,8517.94900,1447.24500,15405.29000,1425.43200,284.26100,6698.69000,1562.83000,18098.14000,33503.43000,11177.58000,13.18290,1132.00800,6405.04900,17582.62000,0.07200,11867.51000,-1802.25700,1095.56000,15920.81000,33503.43000
2019-11-30,5813.84000,8577.38600,1214.87800,15606.10000,1386.44000,278.76500,6300.00400,1452.26200,17564.61000,33170.71000,11199.41000,15.93510,1188.20300,6370.09600,17569.50000,0.07200,11236.28000,-1779.96800,1525.89800,15601.21000,33170.71000
2019-08-31,6130.16600,8095.07100,1225.36400,15450.60000,1391.16600,240.31300,6205.55000,1471.29400,14339.28000,29789.88000,11061.90000,16.24700,1419.67600,3900.29300,14962.19000,0.07200,10421.54000,-1840.57700,1411.90300,14827.69000,29789.88000
2019-05-31,4772.49600,8134.14700,1235.01700,14141.66000,1341.54800,235.28600,6078.81600,1451.43400,14014.70000,28156.36000,10551.99000,19.85500,1301.40400,3461.41500,14013.40000,0.07200,11709.32000,-1466.50900,1195.98300,14142.96000,28156.36000
