,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1286.00000,1327.00000,,105.00000,152.00000,2870.00000,280.00000,,10033.00000,1463.00000,12642.00000,15512.00000,3372.00000,8708.00000,1977.00000,13238.00000,16610.00000,3.00000,-5190.00000,-706.00000,,-1098.00000,15512.00000
2022-09-30,1362.00000,1278.00000,,139.00000,197.00000,2976.00000,254.00000,,9962.00000,1479.00000,12532.00000,15508.00000,3365.00000,8692.00000,1940.00000,13057.00000,16422.00000,3.00000,-5477.00000,-685.00000,,-914.00000,15508.00000
2022-06-30,1254.00000,1289.00000,,128.00000,169.00000,2840.00000,271.00000,,10044.00000,1404.00000,12542.00000,15382.00000,3195.00000,8702.00000,1939.00000,12976.00000,16171.00000,3.00000,-5783.00000,-714.00000,,-789.00000,15382.00000
2022-03-31,1510.00000,1054.00000,,165.00000,132.00000,2861.00000,290.00000,,10114.00000,1322.00000,12598.00000,15459.00000,3085.00000,8720.00000,1963.00000,13071.00000,16156.00000,3.00000,-6110.00000,-720.00000,,-697.00000,15459.00000
2021-12-31,1512.00000,1068.00000,,89.00000,202.00000,2871.00000,305.00000,,10148.00000,1210.00000,12570.00000,15441.00000,3019.00000,8712.00000,2063.00000,13241.00000,16260.00000,3.00000,-6322.00000,-779.00000,,-819.00000,15441.00000
2021-09-30,1387.00000,1012.00000,,124.00000,171.00000,2694.00000,303.00000,,10176.00000,1178.00000,12620.00000,15314.00000,2622.00000,8713.00000,2700.00000,13820.00000,16442.00000,3.00000,-6469.00000,-869.00000,,-1128.00000,15314.00000
2021-06-30,1127.00000,952.00000,,116.00000,184.00000,2379.00000,318.00000,,10213.00000,1165.00000,12711.00000,15090.00000,2779.00000,8716.00000,2573.00000,13727.00000,16506.00000,3.00000,-6710.00000,-866.00000,,-1416.00000,15090.00000
2021-03-31,2447.00000,797.00000,,104.00000,120.00000,3468.00000,327.00000,,10220.00000,1002.00000,12506.00000,15974.00000,2476.00000,9908.00000,2694.00000,15118.00000,17594.00000,3.00000,-6840.00000,-880.00000,,-1620.00000,15974.00000
2020-12-31,3263.00000,771.00000,,70.00000,98.00000,4202.00000,346.00000,,10265.00000,976.00000,12553.00000,16755.00000,2431.00000,10431.00000,2755.00000,15810.00000,18241.00000,3.00000,-6732.00000,-860.00000,,-1486.00000,16755.00000
2020-09-30,3468.00000,890.00000,,113.00000,113.00000,4584.00000,349.00000,,10340.00000,967.00000,12545.00000,17129.00000,2299.00000,10439.00000,2688.00000,16149.00000,18448.00000,3.00000,-6508.00000,-853.00000,,-1319.00000,17129.00000
2020-06-30,3575.00000,827.00000,,91.00000,84.00000,4577.00000,355.00000,,10344.00000,992.00000,12549.00000,17126.00000,2306.00000,10437.00000,2634.00000,16111.00000,18417.00000,3.00000,-6429.00000,-881.00000,,-1291.00000,17126.00000
2020-03-31,1805.00000,1111.00000,,138.00000,95.00000,3149.00000,356.00000,,10366.00000,1031.00000,12639.00000,15788.00000,2220.00000,9455.00000,2372.00000,14472.00000,16692.00000,3.00000,-5999.00000,-899.00000,,-904.00000,15788.00000
2019-12-31,630.00000,1261.00000,,130.00000,72.00000,2093.00000,380.00000,,10457.00000,1060.00000,12864.00000,14957.00000,2871.00000,7956.00000,1943.00000,12558.00000,15429.00000,3.00000,-5965.00000,-840.00000,,-472.00000,14957.00000
2019-09-30,809.00000,1193.00000,,115.00000,138.00000,2255.00000,380.00000,,10405.00000,1042.00000,12812.00000,15067.00000,2900.00000,7767.00000,1888.00000,12366.00000,15266.00000,3.00000,-6097.00000,-848.00000,,-199.00000,15067.00000
2019-06-30,718.00000,1190.00000,,117.00000,190.00000,2215.00000,418.00000,,10431.00000,1039.00000,12925.00000,15140.00000,2780.00000,7772.00000,1862.00000,12383.00000,15163.00000,3.00000,-6342.00000,-806.00000,,-23.00000,15140.00000
2019-03-31,461.00000,1102.00000,,140.00000,173.00000,1876.00000,412.00000,,10442.00000,1061.00000,12977.00000,14853.00000,2794.00000,7330.00000,1838.00000,11951.00000,14745.00000,3.00000,-6558.00000,-798.00000,,108.00000,14853.00000
2018-12-31,484.00000,1150.00000,,160.00000,189.00000,1983.00000,367.00000,,10444.00000,1111.00000,12012.00000,13995.00000,2615.00000,7266.00000,1832.00000,10822.00000,13437.00000,3.00000,-6417.00000,-782.00000,,558.00000,13995.00000
2018-09-30,700.00000,1090.00000,,166.00000,79.00000,2035.00000,361.00000,,10463.00000,1173.00000,12108.00000,14143.00000,2413.00000,7559.00000,1797.00000,11150.00000,13563.00000,3.00000,-6580.00000,-746.00000,,580.00000,14143.00000
