,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,5393.13600,2191.07000,1674.74000,149.83900,9408.78500,1048.61900,1666.73200,814.49900,3529.85000,12938.63000,2105.66100,5043.93100,1239.89000,6283.82100,8389.48200,0.14500,10991.05000,-112.67600,11.54600,4549.15300,12938.63000
2019-12-31,4683.75400,2030.49000,1528.62000,212.10100,8454.96500,1047.25400,1677.94000,733.96300,3459.15700,11914.12000,2565.50100,3786.06700,1144.82100,4930.88800,7496.38900,0.14200,10584.00000,-60.24700,38.30400,4417.73300,11914.12000
2019-09-30,5590.83200,1635.64300,1483.38500,124.75500,8834.61500,1030.16800,1690.64800,788.07100,3508.88700,12343.50000,2457.68200,3788.08900,1118.78500,4906.87400,7364.55600,0.14500,10233.00000,-72.56000,42.55300,4978.94600,12343.50000
2019-06-30,5431.20300,1455.52200,1540.14000,133.54400,8560.40900,1059.07700,1701.54700,680.30000,3440.92400,12001.33000,2371.65000,3822.76800,1083.61100,4906.37900,7278.02900,0.14400,9930.91900,-64.03000,49.43900,4723.30400,12001.33000
2019-03-31,6140.92600,1522.27300,1622.24200,156.80000,9442.24100,1040.32900,1707.93000,704.76200,3453.02100,12895.26000,2805.62800,3801.51400,947.14100,4748.65500,7554.28300,0.15000,9547.96100,-62.66000,49.78300,5340.97700,12895.26000
2018-12-31,3635.46300,1868.84200,1703.30700,148.23300,7355.84500,1013.30600,1736.46800,662.83900,3412.61300,10768.46000,2166.83700,1813.19000,947.05900,2760.24900,4927.08600,0.15400,9165.44500,-64.69200,57.00900,5841.37200,10768.46000
2018-09-30,3618.94800,1846.84500,1874.19400,175.88600,7515.87300,951.37600,1767.56200,722.76600,3441.70400,10957.58000,2824.96500,1805.09100,945.88400,2750.97500,5575.94000,0.15300,8767.78600,-57.72900,58.81200,5381.63700,10957.58000
2018-06-30,4949.59500,2176.93600,1876.16200,147.21800,9149.91100,902.54700,1802.74000,624.28000,3329.56700,12479.48000,3150.30800,1806.56200,942.56500,2749.12700,5899.43500,0.15700,8261.19400,-57.44900,78.19200,6580.04300,12479.48000
2018-03-31,6484.97100,2082.63200,1693.12800,165.06600,10425.80000,826.50000,1825.89100,585.31100,3237.70200,13663.50000,3948.42000,1781.73100,1049.32000,2831.05100,6779.47100,0.16400,7414.39500,-65.43100,80.97300,6884.02800,13663.50000
2017-12-31,5699.69900,2279.04400,1507.43500,179.94400,9666.12200,807.34000,1866.15900,572.64400,3246.14300,12912.26000,3911.69500,1789.95800,937.05700,2727.01500,6638.71000,0.15900,6717.62100,-64.16000,130.42400,6273.55500,12912.26000
2017-09-30,6182.38700,1530.76200,1328.29700,187.33400,9228.78000,745.60000,1904.38900,519.85700,3169.84600,12398.63000,2788.63100,1793.47700,408.34400,2201.82100,4990.45200,0.16200,6808.17400,-52.78700,136.99600,7408.17400,12398.63000
2017-06-30,6041.16200,1673.39800,1232.91600,195.02200,9142.49800,685.59500,1796.66800,498.00400,2980.26700,12122.76000,2950.11500,1784.97400,400.36400,2185.33800,5135.45300,0.16200,6249.69100,-61.70000,169.86100,6987.31200,12122.76000
2017-03-31,5883.60600,1636.09000,1133.19600,223.05600,8875.94800,675.70700,1835.15000,488.38100,2999.23800,11875.19000,2756.73900,1777.29700,419.78800,2197.08500,4953.82400,0.16400,5795.76000,-75.60200,175.10800,6921.36200,11875.19000
2016-12-31,5833.38500,1426.30700,1018.89100,225.29100,8503.87400,672.55300,1873.58100,471.05100,3017.18500,11521.06000,2658.01800,1768.71300,501.31900,2270.03200,4928.05000,0.16200,5295.00000,-70.07700,197.31300,6593.00900,11521.06000
2016-09-30,7214.47600,1290.31700,931.58100,162.62800,9599.00200,649.58700,1912.43100,475.34200,3037.36000,12636.36000,2486.25200,3378.17900,384.58100,3762.76000,6249.01200,0.16200,5035.54700,-57.00000,202.46700,6387.35000,12636.36000
2016-06-30,6827.93400,1262.14500,971.91100,151.16000,9213.15000,639.60800,1951.19700,460.36000,3051.16500,12264.32000,2418.04100,3378.12900,366.07600,3744.20500,6162.24600,0.16000,4820.10900,-69.33300,207.55200,6102.06900,12264.32000
2016-03-31,4538.73900,1236.61700,934.93200,231.27700,6941.56500,664.42400,1999.33800,418.93500,3082.69700,10024.26000,2342.18600,1407.25000,403.69800,1810.94800,4153.13400,0.15900,4609.22100,-55.89000,178.78900,5871.12800,10024.26000
2015-12-31,4475.48000,1089.85000,879.82100,225.04600,6670.19700,643.74600,2039.21300,397.26500,3080.22400,9750.42100,2222.98000,1404.68300,392.80500,1797.48800,4020.46800,0.15900,4513.56100,-68.78100,177.66200,5729.95300,9750.42100
2015-09-30,4331.79900,1088.94200,916.68300,178.55700,6515.98100,636.76900,2076.16400,365.51700,3078.45000,9594.43100,2281.94100,1400.61500,375.05500,1775.67000,4057.61100,0.15800,4337.69700,-62.95800,178.66500,5536.82000,9594.43100
2015-06-30,4076.48600,1093.58200,943.34600,157.43500,6270.84900,621.41800,2115.64900,356.73200,3093.79900,9364.64800,2631.36100,1001.38200,386.95300,1388.33500,4019.69600,0.15900,4096.85500,-57.79600,241.80800,5344.95200,9364.64800
2015-03-31,3949.13100,1046.80000,919.67900,145.35700,6060.96700,579.82400,2242.97700,354.77300,3177.57400,9238.54100,1734.99600,2011.66300,394.82700,2406.49000,4141.48600,0.15800,4013.22200,-63.24000,,5097.05500,9238.54100
2014-12-31,2883.67700,944.01400,913.39000,173.73100,4914.81200,585.37200,2282.00600,328.49900,3195.87700,8110.68900,1708.65600,1012.38500,389.21300,1401.59800,3110.25400,0.15900,3835.65200,-45.39100,,5000.43500,8110.68900
2014-09-30,2887.34600,864.40300,815.61200,123.61500,4690.97600,555.65800,2322.15300,325.04100,3202.85200,7893.82800,1599.62500,1006.70100,396.82900,1403.53000,3003.15500,0.15900,3687.43700,-38.73200,,4890.67300,7893.82800
2014-06-30,3065.64400,800.61600,740.50300,176.89900,4783.66200,543.49600,2360.30300,305.84500,3209.64400,7993.30600,1582.00100,1000.55100,381.01900,1381.57000,2963.57100,0.16200,3575.73700,-28.65500,,5029.73500,7993.30600
2014-03-31,2754.47200,818.39000,717.35600,157.13100,4447.34900,552.59100,2408.91300,298.51400,3260.01800,7707.36700,1542.70500,994.94400,362.42600,1357.37000,2900.07500,0.16200,3371.58200,-27.07100,,4807.29200,7707.36700
2013-12-31,2522.29000,909.72000,661.57200,138.35900,4249.03600,546.19300,2453.06600,307.50300,3306.76200,7555.79800,1522.57200,988.43000,378.70600,1367.13600,2889.70800,0.16200,3207.18600,-15.52100,,4666.09000,7555.79800
2013-09-30,2456.21500,713.52400,614.79000,110.63300,3924.25200,564.84500,2484.90000,316.34800,3366.09300,7290.34500,1402.89000,982.41500,377.76800,1360.18300,2763.07300,0.16200,3058.19400,-23.35500,,4527.27200,7290.34500
2013-06-30,2497.21800,602.62400,559.31700,134.67000,3793.82900,603.91000,2526.54100,326.03500,3456.48600,7250.31500,1404.47500,976.17600,380.79200,1356.96800,2761.44300,0.16300,2972.68800,-28.69300,,4488.87200,7250.31500
2013-03-31,2356.92800,544.07000,545.03600,86.15600,3669.91900,594.91600,2562.98600,318.48100,3476.38300,7146.30200,801.01300,1294.59900,508.49000,1803.08900,2604.10200,0.16200,2886.98100,-23.74500,,4542.20000,7146.30200
2012-12-31,2520.68700,590.92500,530.27200,65.22400,3846.40800,590.54700,2608.22100,317.64400,3516.75600,7363.16400,825.48200,1286.72900,554.36300,1841.09200,2666.57400,0.16600,2867.98500,-24.48400,,4696.59000,7363.16400
2012-09-30,2724.23300,640.21700,567.92000,100.49000,4169.41600,593.20200,2642.77000,318.95800,3554.93000,7724.34600,854.25700,1278.79200,579.65100,1858.44300,2712.70000,0.17500,2861.57700,-33.90700,,5011.64600,7724.34600
2012-06-30,2862.68300,765.81800,632.85300,105.97300,4415.10900,584.59600,2686.73000,318.21700,3589.54300,8004.65200,1426.92800,952.12600,493.81700,1445.94300,2872.87100,0.18700,2858.80900,-33.81800,,5131.78100,8004.65200
2012-03-31,2403.96300,471.77600,376.12600,93.32500,3423.90900,279.95500,203.27600,286.12300,769.35400,4193.26300,651.65500,755.42700,177.03900,932.46600,1584.12100,0.12000,2840.74000,-16.18800,,2609.14200,4193.26300
2011-12-31,2219.78400,462.24300,373.13000,79.21500,3212.85100,272.40900,207.56800,281.13500,765.29600,3978.14700,593.60500,749.07800,172.72000,921.79800,1515.40300,0.12000,2795.13600,-33.13000,,2462.74400,3978.14700
2011-09-30,2052.40500,523.24000,396.30100,84.35300,3134.62900,266.41100,212.08700,283.10900,766.32500,3900.95400,594.59400,743.25200,173.22600,916.47800,1511.07200,0.12200,2761.92400,-16.43400,,2389.88200,3900.95400
2011-06-30,2122.24700,590.56800,396.60700,85.40800,3273.26500,270.45800,216.61600,289.63600,780.60200,4053.86700,680.75900,738.48800,164.77500,903.26290,1584.02200,0.12400,2690.08600,9.76100,,2469.84500,4053.86700
2011-03-31,1255.58900,637.79500,355.73400,77.72200,2372.77400,251.95400,221.14600,273.04300,775.72100,3148.49500,667.39100,15.94900,141.99900,157.94800,825.33900,0.12400,2564.15600,-0.19800,,2323.15600,3148.49500
2010-12-31,1032.09800,689.40000,333.87400,76.99300,2179.74500,229.76900,225.67100,270.00200,753.47200,2933.21700,689.87100,16.52400,142.04300,158.56700,848.43800,0.12300,2381.91600,-24.66800,,2084.77900,2933.21700
2010-09-30,933.27300,526.90400,338.33500,74.72800,1919.43100,206.23800,231.68800,267.97100,732.86500,2652.29600,612.39700,15.07700,138.19400,153.27100,765.66800,0.12300,2160.06000,-39.86600,,1886.62800,2652.29600
2010-06-30,826.45700,499.89000,318.47900,65.67700,1756.66100,200.33600,236.90600,267.27100,730.73100,2487.39200,558.65700,17.64500,142.95500,160.60000,719.25700,0.12600,1966.33600,-69.84900,,1768.13500,2487.39200
2010-03-31,678.54700,521.81000,281.46900,73.54600,1604.73500,203.03700,242.86800,259.33900,719.62400,2324.35900,533.36100,20.31400,126.23600,146.55000,679.91100,0.12600,1828.61000,-50.89000,,1644.44800,2324.35900
2009-12-31,645.73300,420.48600,241.29600,79.48200,1434.98100,205.08900,248.83800,279.53500,749.86100,2184.84200,445.24300,35.14500,119.67000,154.81500,600.05800,0.12700,1710.61700,-44.14000,,1584.78400,2184.84200
2009-09-30,576.19400,325.75600,220.08300,61.12800,1240.45400,211.34800,254.81600,272.18900,754.65100,1995.10500,336.91100,35.78700,118.64700,154.43400,491.34500,0.12700,1641.04300,-38.47800,,1503.76000,1995.10500
2009-06-30,579.38800,253.58500,233.41000,101.71400,1237.14000,215.66600,260.78700,262.58400,756.04390,1993.18400,382.07600,40.88600,117.13300,158.01900,540.09500,0.12700,1624.24600,-52.82200,,1453.08900,1993.18400
2009-03-31,623.14800,196.84200,260.66700,82.27300,1253.47100,225.86400,268.24900,270.61700,780.01100,2033.48200,369.99800,39.94300,120.28300,160.22600,530.22400,0.12600,1712.73600,-69.59500,,1503.25800,2033.48200
