,cash-on-hand,receivables-total,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,22200.00000,17860.00000,40060.00000,429751.00000,9005.00000,147065.00000,610044.00000,650104.00000,421183.00000,15249.00000,188170.00000,203591.00000,624774.00000,12.00000,41032.00000,-28695.00000,25330.00000,650104.00000
2022-06-30,20548.00000,18043.00000,38591.00000,439179.00000,9151.00000,155724.00000,624302.00000,662893.00000,417148.00000,14418.00000,192659.00000,208378.00000,625526.00000,12.00000,41101.00000,-17372.00000,37367.00000,662893.00000
2022-03-31,23488.00000,17965.00000,41453.00000,473531.00000,9510.00000,176799.00000,682831.00000,724284.00000,426033.00000,14602.00000,223722.00000,244014.00000,670047.00000,12.00000,41406.00000,-1912.00000,54237.00000,724284.00000
2021-12-31,20047.00000,17333.00000,37380.00000,498006.00000,9535.00000,191299.00000,722328.00000,759708.00000,426602.00000,14699.00000,240965.00000,265357.00000,691959.00000,12.00000,41197.00000,10919.00000,67749.00000,759708.00000
2021-09-30,18956.00000,17816.00000,36772.00000,499033.00000,9638.00000,192568.00000,724892.00000,761664.00000,424772.00000,14816.00000,242790.00000,267559.00000,692331.00000,12.00000,40426.00000,12111.00000,69333.00000,761664.00000
2021-06-30,25037.00000,18288.00000,43325.00000,494445.00000,9768.00000,201598.00000,729928.00000,773253.00000,428085.00000,15336.00000,250661.00000,275745.00000,703830.00000,12.00000,39318.00000,12309.00000,69423.00000,773253.00000
2021-03-31,19635.00000,18941.00000,38576.00000,489117.00000,9944.00000,208364.00000,731238.00000,769814.00000,426549.00000,15342.00000,253216.00000,277128.00000,703677.00000,12.00000,36373.00000,10397.00000,66137.00000,769814.00000
2020-12-31,19795.00000,17870.00000,37665.00000,511907.00000,10112.00000,211655.00000,757481.00000,795146.00000,436035.00000,15448.00000,257709.00000,284294.00000,720329.00000,12.00000,36491.00000,18072.00000,74817.00000,795146.00000
2020-09-30,24405.00000,20712.00000,45117.00000,509669.00000,9360.00000,200167.00000,735375.00000,780492.00000,428926.00000,15463.00000,251057.00000,277997.00000,706923.00000,12.00000,36782.00000,16036.00000,73569.00000,780492.00000
2020-06-30,24289.00000,20848.00000,45137.00000,498332.00000,9245.00000,198516.00000,722446.00000,767583.00000,418461.00000,15481.00000,245439.00000,273182.00000,691643.00000,12.00000,36568.00000,18563.00000,75940.00000,767583.00000
2020-03-31,24094.00000,21224.00000,45318.00000,486939.00000,9159.00000,179071.00000,692423.00000,737741.00000,409516.00000,14510.00000,232535.00000,257762.00000,667278.00000,12.00000,36919.00000,12757.00000,70463.00000,737741.00000
2019-12-31,16598.00000,20443.00000,37041.00000,477318.00000,9308.00000,198963.00000,703422.00000,740463.00000,410793.00000,14459.00000,239369.00000,263288.00000,674081.00000,12.00000,33078.00000,13052.00000,66382.00000,740463.00000
2019-09-30,19452.00000,20723.00000,40175.00000,475454.00000,9278.00000,200523.00000,702637.00000,742812.00000,405683.00000,14456.00000,243870.00000,268510.00000,674193.00000,12.00000,32948.00000,15197.00000,68619.00000,742812.00000
2019-06-30,18435.00000,20522.00000,38957.00000,464629.00000,9408.00000,201293.00000,693210.00000,732167.00000,403817.00000,14372.00000,241166.00000,264304.00000,668121.00000,12.00000,31209.00000,11631.00000,64046.00000,732167.00000
2019-03-31,14506.00000,20615.00000,35121.00000,454435.00000,9418.00000,195865.00000,678067.00000,713188.00000,397032.00000,13898.00000,235940.00000,257418.00000,654450.00000,12.00000,29944.00000,6911.00000,58738.00000,713188.00000
2018-12-31,15821.00000,19644.00000,35465.00000,439792.00000,9422.00000,183964.00000,652073.00000,687538.00000,391522.00000,13889.00000,223314.00000,243058.00000,634580.00000,12.00000,28926.00000,1722.00000,52958.00000,687538.00000
2018-09-30,12490.00000,19820.00000,32310.00000,443632.00000,9440.00000,193909.00000,666141.00000,698451.00000,390378.00000,14481.00000,236693.00000,256264.00000,646642.00000,12.00000,27331.00000,1000.00000,51809.00000,698451.00000
2018-06-30,16312.00000,19608.00000,35920.00000,442324.00000,9499.00000,199577.00000,670413.00000,706333.00000,387974.00000,15621.00000,243307.00000,264527.00000,652501.00000,12.00000,26870.00000,2854.00000,53832.00000,706333.00000
2018-03-31,13927.00000,19368.00000,33295.00000,445481.00000,9733.00000,204745.00000,679289.00000,712584.00000,386280.00000,16815.00000,246522.00000,269796.00000,656076.00000,12.00000,26453.00000,5634.00000,56508.00000,712584.00000
2017-12-31,12701.00000,18423.00000,31124.00000,447591.00000,9590.00000,213168.00000,688768.00000,719892.00000,382431.00000,16807.00000,254706.00000,278591.00000,661022.00000,12.00000,26527.00000,7427.00000,58870.00000,719892.00000
2017-09-30,13023.00000,18591.00000,31614.00000,449398.00000,9556.00000,211548.00000,688901.00000,720515.00000,379833.00000,17908.00000,257276.00000,283738.00000,663571.00000,12.00000,24410.00000,7005.00000,56944.00000,720515.00000
2017-06-30,17319.00000,26553.00000,43872.00000,518006.00000,9385.00000,328528.00000,881327.00000,925199.00000,443164.00000,20743.00000,381240.00000,412366.00000,855530.00000,12.00000,35270.00000,8436.00000,69669.00000,925199.00000
2017-03-31,17411.00000,25941.00000,43352.00000,510862.00000,9350.00000,325576.00000,871335.00000,914687.00000,438807.00000,20570.00000,377652.00000,407772.00000,846579.00000,12.00000,34863.00000,6396.00000,68108.00000,914687.00000
2016-12-31,12651.00000,15465.00000,28116.00000,424219.00000,9220.00000,202636.00000,870648.00000,898764.00000,358562.00000,17715.00000,447893.00000,472500.00000,831062.00000,12.00000,34683.00000,5366.00000,67702.00000,898764.00000
2016-09-30,15883.00000,26178.00000,42061.00000,552988.00000,9592.00000,323515.00000,910843.00000,952904.00000,447094.00000,20637.00000,392197.00000,427344.00000,874438.00000,12.00000,37054.00000,13595.00000,78466.00000,952904.00000
2016-06-30,17067.00000,26086.00000,43153.00000,547395.00000,9852.00000,317419.00000,899414.00000,942567.00000,439782.00000,20699.00000,387747.00000,423412.00000,863194.00000,12.00000,36924.00000,14632.00000,79373.00000,942567.00000
2016-03-31,13290.00000,27968.00000,41258.00000,528925.00000,9729.00000,313543.00000,876170.00000,917428.00000,425555.00000,22042.00000,380090.00000,415908.00000,841463.00000,12.00000,37301.00000,10865.00000,75965.00000,917428.00000
2015-12-31,12752.00000,22863.00000,35615.00000,499447.00000,9477.00000,309264.00000,842318.00000,877933.00000,414653.00000,22162.00000,362030.00000,394861.00000,809514.00000,12.00000,35519.00000,4771.00000,68419.00000,877933.00000
2015-09-30,10216.00000,25808.00000,36024.00000,505764.00000,9546.00000,307130.00000,846436.00000,882460.00000,413885.00000,20907.00000,365217.00000,397587.00000,811472.00000,12.00000,35153.00000,6891.00000,70988.00000,882460.00000
2015-06-30,8074.00000,24872.00000,32946.00000,504374.00000,9644.00000,327066.00000,865463.00000,898409.00000,413903.00000,20934.00000,382750.00000,414609.00000,828512.00000,12.00000,34376.00000,6443.00000,69897.00000,898409.00000
2015-03-31,8127.00000,24190.00000,32317.00000,521049.00000,9717.00000,332704.00000,887473.00000,919790.00000,419847.00000,21910.00000,390076.00000,425629.00000,845476.00000,12.00000,33754.00000,11529.00000,74314.00000,919790.00000
2014-12-31,10808.00000,22244.00000,33052.00000,510115.00000,9872.00000,324856.00000,869285.00000,902337.00000,420434.00000,20482.00000,376757.00000,409343.00000,829777.00000,12.00000,32020.00000,10649.00000,72560.00000,902337.00000
2014-09-30,8783.00000,23814.00000,32597.00000,511931.00000,10216.00000,328380.00000,876030.00000,908627.00000,426362.00000,20585.00000,378629.00000,410966.00000,837328.00000,11.00000,30928.00000,10992.00000,71299.00000,908627.00000
2014-06-30,7393.00000,23730.00000,31123.00000,509539.00000,10430.00000,334113.00000,879997.00000,911120.00000,425796.00000,20979.00000,383378.00000,415150.00000,840946.00000,11.00000,29259.00000,11058.00000,70174.00000,911120.00000
2014-03-31,8573.00000,23031.00000,31604.00000,497693.00000,10433.00000,324821.00000,859299.00000,890903.00000,421249.00000,20989.00000,373081.00000,403322.00000,824571.00000,11.00000,28319.00000,8215.00000,66332.00000,890903.00000
2013-12-31,7585.00000,21859.00000,29444.00000,493034.00000,10542.00000,325570.00000,855852.00000,885296.00000,421855.00000,22849.00000,370780.00000,401345.00000,823200.00000,11.00000,27332.00000,5104.00000,62096.00000,885296.00000
2013-09-30,11376.00000,23473.00000,34849.00000,489444.00000,9509.00000,263202.00000,787794.00000,822643.00000,422645.00000,22448.00000,310018.00000,338730.00000,761375.00000,11.00000,26766.00000,5100.00000,61268.00000,822643.00000
