,cash-on-hand,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2013-12-31,53.04500,136.07800,5999.18300,645.53700,6671.64400,6807.72200,164.80800,3523.70300,306.70700,3830.41000,3995.21800,2.50700,-1342.07000,-5.12500,2812.50400,6807.72200
2013-09-30,565.88300,632.59000,5960.39300,135.81400,6123.47600,6756.06600,154.36100,3463.17200,309.62800,3772.80000,3927.16100,2.50700,-1321.20200,-6.60800,2828.90500,6756.06600
2013-06-30,567.21300,633.91300,5945.03900,137.54800,6109.63000,6743.54300,155.24000,3394.72300,326.28500,3721.00800,3876.24800,2.50700,-1279.09500,-7.81100,2867.29500,6743.54300
2013-03-31,493.14600,559.33900,6174.63400,133.15400,6331.44100,6890.78100,123.59600,3499.10700,335.95000,3835.05700,3958.65300,2.50700,-1210.05400,-9.49900,2932.12800,6890.78100
2012-12-31,35.67600,99.68200,6131.14600,603.28500,6759.42100,6859.10300,149.58000,3409.33300,306.35800,3715.69100,3865.27100,2.50100,-1143.78100,-11.25700,2993.83200,6859.10300
2012-09-30,107.46800,171.46600,6008.93000,703.69600,6739.43700,6910.90200,153.07600,3342.71500,359.49000,3702.20500,3855.28100,2.50100,-1082.45800,-13.07300,3055.62100,6910.90200
2012-06-30,788.79000,828.19900,5991.71500,124.12800,6144.42200,6972.62100,147.03600,3345.06800,365.58200,3710.65000,3857.68600,2.50200,-1024.14800,-13.60400,3114.93500,6972.62100
2012-03-31,576.73700,589.93700,6189.37400,131.56300,6352.57800,6942.51500,122.58600,3913.40400,116.91700,4281.96400,4404.55000,2.28000,-1126.56100,-13.93900,2537.96500,6942.51500
2011-12-31,37.13700,37.13700,6242.74400,411.40500,6684.21700,6721.35400,132.09000,3918.37000,115.63500,4270.47900,4402.57000,2.19700,-1142.89500,-13.90200,2318.78400,6721.35400
2011-09-30,33.12300,40.92300,6423.16400,317.10700,6763.98000,6804.90300,161.71900,3989.34500,323.04600,4312.39100,4474.11000,2.19000,-1111.35600,-15.42700,2330.79300,6804.90300
2011-06-30,41.85400,49.65400,5572.54800,314.82800,5912.12300,5961.77700,142.04500,3699.58600,289.49800,3989.08400,4131.12900,1.96700,-1075.49900,-10.28500,1830.64800,5961.77700
2011-03-31,176.14200,183.94200,5200.27100,95.81400,5317.93500,5501.87700,129.06400,3518.78600,93.34100,3735.48700,3864.55100,1.87300,-1045.11700,-3.69600,1637.32600,5501.87700
2010-12-31,28.79900,36.59900,5243.02100,222.65300,5492.94100,5529.54000,141.39900,3567.50400,91.55000,3778.11100,3919.51000,1.82500,-973.86400,-3.46900,1610.03000,5529.54000
2010-09-30,83.25000,91.05000,5292.46800,67.61500,5386.30800,5477.35800,112.57600,3479.67000,92.44300,3689.12500,3801.70100,1.82100,-895.06900,-3.74100,1675.65700,5477.35800
2010-06-30,73.17300,80.97300,4915.86700,57.02100,4998.39600,5079.36900,94.80200,3411.65800,86.04700,3611.45700,3706.25900,1.63000,-822.05700,-3.60500,1373.11000,5079.36900
2010-03-31,79.79500,87.59500,4938.35600,63.05500,5028.12100,5115.71600,93.44200,3414.07800,91.04500,3610.35200,3703.79400,1.61400,-752.22600,-1.40300,1411.92200,5115.71600
2009-12-31,52.51400,60.31400,4963.75400,81.94800,5072.30300,5132.61700,116.80700,3426.58900,91.48100,3616.82800,3733.63500,1.55500,-687.18000,0.00200,1398.98200,5132.61700
2009-09-30,123.85200,131.15200,4784.58200,68.52100,4879.10500,5010.25700,108.16800,3275.04600,90.41200,3464.59500,3572.76300,1.52800,-628.44500,-2.71400,1437.49400,5010.25700
2009-06-30,111.23200,118.53200,4753.95700,71.84800,4852.36600,4970.89800,95.83500,3213.94900,90.06400,3369.30800,3465.14300,1.50600,-522.94500,-5.11200,1505.75500,4970.89800
2009-03-31,125.29700,332.59700,4756.34200,67.32900,4852.93300,5185.53000,107.75900,3360.42100,110.09600,3539.80700,3647.56600,1.49100,-470.52000,-11.05500,1537.96400,5185.53000
