,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,14395.00000,13272.00000,2461.00000,30128.00000,2432.00000,14684.00000,25723.00000,3903.00000,46742.00000,76870.00000,28464.00000,17938.00000,5616.00000,24225.00000,52689.00000,1.00000,9341.00000,-1132.00000,24181.00000,76870.00000
2022-09-30,17178.00000,13770.00000,2327.00000,33275.00000,2479.00000,14053.00000,27563.00000,3802.00000,47897.00000,81172.00000,31330.00000,18084.00000,5678.00000,24308.00000,55638.00000,1.00000,9554.00000,-1394.00000,25534.00000,81172.00000
2022-06-30,15229.00000,14153.00000,3024.00000,32406.00000,2557.00000,13671.00000,27981.00000,4445.00000,48654.00000,81060.00000,29086.00000,18456.00000,6209.00000,25544.00000,54630.00000,1.00000,8816.00000,-913.00000,26430.00000,81060.00000
2022-03-31,12905.00000,16169.00000,2036.00000,31110.00000,3583.00000,14129.00000,29041.00000,5038.00000,51791.00000,82901.00000,29685.00000,18640.00000,5854.00000,25903.00000,55588.00000,1.00000,8988.00000,-485.00000,27313.00000,82901.00000
2021-12-31,14657.00000,12238.00000,1602.00000,28497.00000,3391.00000,14043.00000,27595.00000,4849.00000,49878.00000,78375.00000,25765.00000,18571.00000,5610.00000,25670.00000,51435.00000,1.00000,8139.00000,77.00000,26940.00000,78375.00000
2021-09-30,14940.00000,11516.00000,1600.00000,28056.00000,3302.00000,13561.00000,27842.00000,4982.00000,49687.00000,77743.00000,25042.00000,18594.00000,5993.00000,26111.00000,51153.00000,1.00000,7540.00000,176.00000,26590.00000,77743.00000
2021-06-30,12584.00000,11202.00000,1678.00000,25464.00000,2912.00000,13472.00000,26874.00000,2817.00000,46075.00000,71539.00000,23642.00000,16536.00000,3795.00000,21852.00000,45494.00000,1.00000,6956.00000,239.00000,26045.00000,71539.00000
2021-03-31,11289.00000,11601.00000,1550.00000,24440.00000,2822.00000,13245.00000,27023.00000,2755.00000,45845.00000,70285.00000,22279.00000,16695.00000,3134.00000,21548.00000,43827.00000,1.00000,7491.00000,176.00000,26458.00000,70285.00000
2020-12-31,12380.00000,9696.00000,1317.00000,23393.00000,2774.00000,12853.00000,27040.00000,2659.00000,45326.00000,68719.00000,21585.00000,16682.00000,2956.00000,21249.00000,42834.00000,1.00000,6792.00000,337.00000,25885.00000,68719.00000
2020-09-30,13695.00000,11670.00000,1910.00000,27275.00000,2669.00000,9859.00000,26094.00000,2467.00000,41089.00000,68364.00000,21795.00000,16737.00000,3953.00000,20726.00000,42521.00000,,6804.00000,293.00000,25843.00000,68364.00000
2020-06-30,14356.00000,10339.00000,2127.00000,26822.00000,2544.00000,10231.00000,26136.00000,2614.00000,41525.00000,68347.00000,21918.00000,16708.00000,4516.00000,21257.00000,43175.00000,,6236.00000,245.00000,25172.00000,68347.00000
