,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,288.00000,395.60000,479.00000,40.20000,1214.60000,308.70000,2022.00000,218.30000,2776.60000,3991.20000,703.60000,2081.90000,119.50000,2343.10000,3046.70000,0.90000,1212.80000,-285.80000,,944.50000,3991.20000
2022-09-30,282.20000,422.50000,477.90000,53.30000,1235.90000,290.70000,1973.20000,443.50000,2707.40000,3943.30000,689.20000,2214.50000,246.00000,2460.50000,3149.70000,0.90000,1113.70000,-332.50000,,793.60000,3943.30000
2022-06-30,919.60000,333.30000,428.40000,71.70000,1753.00000,278.00000,1193.10000,429.60000,1900.70000,3653.70000,610.40000,2018.10000,245.50000,2263.60000,2874.00000,0.90000,1035.20000,-264.60000,,779.70000,3653.70000
2022-03-31,305.10000,324.30000,402.90000,45.00000,1077.30000,280.80000,1230.40000,419.10000,1930.30000,3007.60000,581.50000,1426.80000,254.30000,1681.10000,2262.60000,0.90000,956.10000,-215.40000,,745.00000,3007.60000
2021-12-31,397.90000,283.30000,380.40000,26.90000,1117.60000,283.70000,1251.30000,243.90000,1933.40000,3051.00000,601.20000,1429.50000,87.90000,1687.40000,2288.60000,0.90000,952.60000,-194.40000,,762.40000,3051.00000
2021-09-30,503.90000,307.40000,345.70000,45.40000,1202.40000,278.60000,1268.50000,367.20000,1914.30000,3116.70000,793.90000,1192.50000,262.70000,1455.20000,2249.10000,0.90000,1061.50000,-201.00000,,867.60000,3116.70000
2021-06-30,460.20000,316.90000,310.00000,57.10000,1144.20000,286.80000,1275.00000,354.10000,1915.90000,3060.10000,564.10000,1430.30000,278.30000,1708.60000,2272.70000,0.90000,961.80000,-178.70000,,787.40000,3060.10000
2021-03-31,394.30000,312.60000,289.90000,51.20000,1048.00000,285.70000,1275.20000,339.00000,1899.90000,2947.90000,505.60000,1429.80000,281.50000,1711.30000,2216.90000,0.90000,915.90000,-189.10000,,731.00000,2947.90000
2020-12-31,480.40000,321.80000,283.10000,28.10000,1145.00000,294.90000,1306.10000,196.70000,1924.40000,3069.40000,521.50000,1429.40000,100.80000,1715.30000,2236.80000,0.90000,985.60000,-157.10000,,832.60000,3069.40000
2020-09-30,430.80000,350.90000,289.60000,49.70000,1121.00000,293.70000,1284.40000,328.60000,1906.70000,3027.70000,489.10000,1428.90000,282.60000,1711.50000,2200.60000,0.90000,1023.40000,-206.80000,,827.10000,3027.70000
