,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,8421.00000,164543.00000,827.00000,33549.00000,8160.00000,17605.00000,60141.00000,224684.00000,178829.00000,16286.00000,6423.00000,22709.00000,201538.00000,6.00000,8748.00000,-4823.00000,,23146.00000,224684.00000
2022-06-30,6983.00000,164646.00000,885.00000,34528.00000,8081.00000,18572.00000,62066.00000,226712.00000,182688.00000,14440.00000,5256.00000,19696.00000,202384.00000,6.00000,8346.00000,-3218.00000,,24328.00000,226712.00000
2022-03-31,10621.00000,142022.00000,793.00000,27375.00000,7232.00000,14675.00000,50075.00000,192097.00000,158801.00000,5894.00000,5328.00000,11222.00000,170023.00000,6.00000,8209.00000,-2258.00000,,22074.00000,192097.00000
2021-12-31,9474.00000,139347.00000,768.00000,28309.00000,7180.00000,12805.00000,49062.00000,188409.00000,154435.00000,6932.00000,3622.00000,10554.00000,164989.00000,6.00000,7978.00000,-665.00000,,23420.00000,188409.00000
2021-09-30,14005.00000,138738.00000,732.00000,27403.00000,7065.00000,13069.00000,48269.00000,187007.00000,152229.00000,6947.00000,3719.00000,11355.00000,163584.00000,6.00000,7648.00000,-508.00000,,23423.00000,187007.00000
2021-06-30,13042.00000,137374.00000,735.00000,27294.00000,7050.00000,12651.00000,47730.00000,185104.00000,150698.00000,6957.00000,3530.00000,11207.00000,161905.00000,6.00000,7314.00000,-381.00000,,23199.00000,185104.00000
2021-03-31,14968.00000,139348.00000,743.00000,27462.00000,7050.00000,12614.00000,47869.00000,187217.00000,151419.00000,8316.00000,4236.00000,13145.00000,164564.00000,6.00000,6866.00000,-411.00000,,22653.00000,187217.00000
2020-12-31,13039.00000,137689.00000,759.00000,26177.00000,7050.00000,11674.00000,45660.00000,183349.00000,147407.00000,8346.00000,4294.00000,13269.00000,160676.00000,6.00000,6445.00000,-60.00000,,22673.00000,183349.00000
2020-09-30,9544.00000,134787.00000,747.00000,26124.00000,7050.00000,10520.00000,44441.00000,179228.00000,143173.00000,9109.00000,3839.00000,13586.00000,156759.00000,6.00000,6189.00000,10.00000,,22469.00000,179228.00000
2020-06-30,7921.00000,136179.00000,751.00000,25657.00000,7050.00000,10237.00000,43695.00000,179874.00000,143873.00000,9202.00000,3672.00000,13583.00000,157456.00000,6.00000,6068.00000,94.00000,,22418.00000,179874.00000
2020-03-31,4338.00000,132956.00000,746.00000,26352.00000,7050.00000,9615.00000,43763.00000,176719.00000,134534.00000,16437.00000,3016.00000,20235.00000,154769.00000,6.00000,6011.00000,85.00000,,21950.00000,176719.00000
2019-12-31,3683.00000,124849.00000,761.00000,23815.00000,7044.00000,9264.00000,40884.00000,165733.00000,125587.00000,14047.00000,3032.00000,17945.00000,143532.00000,6.00000,6498.00000,-411.00000,,22201.00000,165733.00000
2019-09-30,4000.00000,122632.00000,747.00000,25602.00000,7044.00000,8337.00000,41730.00000,164362.00000,125791.00000,12806.00000,3162.00000,16720.00000,142511.00000,6.00000,6229.00000,-440.00000,,21851.00000,164362.00000
