,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,365.30000,17174.50000,17539.80000,1067.10000,52547.80000,319.70000,1195.10000,57984.40000,75524.20000,54360.60000,6387.40000,6387.40000,60748.00000,585.10000,14987.50000,-3129.90000,14776.20000,75524.20000
2022-06-30,240.50000,15523.00000,15763.50000,1124.70000,52146.20000,325.10000,1243.70000,57293.70000,73057.20000,51018.00000,6386.50000,6386.50000,57404.50000,584.90000,14967.70000,-2209.00000,15652.70000,73057.20000
2022-03-31,287.30000,15544.00000,15831.30000,1104.40000,53379.80000,555.40000,1280.50000,58098.29000,73929.60000,50492.80000,6385.60000,6385.60000,56878.40000,584.90000,15569.60000,-1385.80000,17051.20000,73929.60000
2021-12-31,202.10000,14380.00000,14582.10000,1137.30000,51695.80000,570.00000,1791.50000,56550.20000,71132.30000,47849.00000,4898.80000,5051.70000,52900.70000,584.40000,15339.70000,40.70000,18231.60000,71132.30000
2021-09-30,285.50000,15291.60000,15577.10000,1161.00000,52456.00000,584.60000,1408.70000,57041.00000,72618.10000,49051.10000,4898.20000,5008.90000,54060.00000,585.00000,15390.00000,353.30000,18558.10000,72618.10000
2021-06-30,114.60000,14145.30000,14259.90000,1086.40000,51122.10000,599.20000,1396.10000,55564.40000,69824.30000,45531.80000,5397.50000,5616.90000,51148.70000,585.20000,15401.00000,483.20000,18675.60000,69824.30000
2021-03-31,123.20000,13362.00000,13485.20000,1077.40000,47566.60000,609.90000,1365.10000,51928.10000,65413.30000,41938.50000,5396.80000,5638.30000,47576.80000,585.20000,14679.60000,392.30000,17836.50000,65413.30000
2020-12-31,76.50000,12179.50000,12256.00000,1106.00000,47706.70000,624.10000,1168.30000,51842.30000,64098.30000,41353.60000,5396.10000,5706.10000,47059.70000,585.20000,13354.90000,931.70000,17038.60000,64098.30000
2020-09-30,91.10000,12561.60000,12652.70000,1181.60000,45945.80000,638.20000,1222.70000,50253.30000,62906.00000,39195.50000,5395.40000,5623.30000,44818.80000,585.60000,14427.70000,950.60000,18087.20000,62906.00000
2020-06-30,109.10000,11211.70000,11320.80000,1189.80000,43968.70000,652.40000,1134.90000,48100.60000,59421.40000,37144.90000,5394.70000,5605.90000,42750.80000,585.40000,13001.80000,975.00000,16670.60000,59421.40000
