,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,3759.00000,1012.00000,1581.00000,351.00000,6703.00000,2971.00000,,11326.00000,1940.00000,16237.00000,22940.00000,3219.00000,11162.00000,1135.00000,12336.00000,15555.00000,56.00000,-4039.00000,-142.00000,,7385.00000,22940.00000
2022-06-30,3545.00000,996.00000,1462.00000,317.00000,6320.00000,2914.00000,,11457.00000,1848.00000,16219.00000,22539.00000,2941.00000,11160.00000,1171.00000,12372.00000,15313.00000,56.00000,-4522.00000,-52.00000,,7226.00000,22539.00000
2022-03-31,2683.00000,925.00000,1311.00000,356.00000,5275.00000,2814.00000,,11531.00000,1701.00000,16046.00000,21321.00000,2845.00000,10573.00000,1090.00000,11716.00000,14561.00000,56.00000,-4959.00000,26.00000,,6760.00000,21321.00000
2021-12-31,2830.00000,923.00000,1189.00000,286.00000,5228.00000,2635.00000,,11655.00000,1346.00000,15636.00000,20864.00000,2452.00000,10572.00000,1013.00000,11642.00000,14094.00000,56.00000,-5371.00000,48.00000,,6770.00000,20864.00000
2021-09-30,2303.00000,979.00000,1173.00000,266.00000,4721.00000,2510.00000,,11709.00000,1070.00000,15289.00000,20010.00000,3438.00000,8594.00000,922.00000,9600.00000,13038.00000,59.00000,-3730.00000,45.00000,,6972.00000,20010.00000
2021-06-30,2910.00000,991.00000,1116.00000,274.00000,5291.00000,2375.00000,,11862.00000,1094.00000,15331.00000,20622.00000,2336.00000,9591.00000,936.00000,10617.00000,12953.00000,59.00000,-3897.00000,70.00000,,7669.00000,20622.00000
2021-03-31,1842.00000,833.00000,1056.00000,293.00000,4024.00000,2304.00000,,12025.00000,1039.00000,15368.00000,19392.00000,2265.00000,7611.00000,910.00000,8606.00000,10871.00000,59.00000,-4136.00000,61.00000,,8521.00000,19392.00000
2020-12-31,2275.00000,765.00000,1030.00000,254.00000,4324.00000,2284.00000,,12226.00000,1013.00000,15523.00000,19847.00000,2017.00000,7609.00000,985.00000,8679.00000,10696.00000,59.00000,-4328.00000,117.00000,,9151.00000,19847.00000
2020-09-30,3566.00000,755.00000,1064.00000,219.00000,5604.00000,2255.00000,,12339.00000,924.00000,15518.00000,21122.00000,3411.00000,7607.00000,895.00000,8638.00000,12049.00000,64.00000,-3313.00000,90.00000,,9073.00000,21122.00000
2020-06-30,3266.00000,481.00000,1228.00000,240.00000,5215.00000,2312.00000,,12770.00000,760.00000,15842.00000,21057.00000,2992.00000,8004.00000,870.00000,9010.00000,12002.00000,64.00000,-3155.00000,50.00000,,9055.00000,21057.00000
2020-03-31,1079.00000,616.00000,1227.00000,327.00000,3249.00000,2397.00000,,13153.00000,712.00000,16262.00000,19511.00000,1831.00000,7366.00000,857.00000,8422.00000,10253.00000,64.00000,-2933.00000,14.00000,,9258.00000,19511.00000
