,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1361.00000,2687.00000,176.00000,528.00000,4752.00000,507.00000,151.00000,17895.00000,488.00000,19471.00000,24223.00000,5253.00000,12243.00000,561.00000,13623.00000,18876.00000,10853.00000,3107.00000,-898.00000,,5347.00000,24223.00000
2022-06-30,1518.00000,2723.00000,188.00000,482.00000,4911.00000,529.00000,159.00000,17837.00000,487.00000,19502.00000,24413.00000,5104.00000,12615.00000,563.00000,13957.00000,19061.00000,10790.00000,2824.00000,-697.00000,,5352.00000,24413.00000
2022-03-31,1493.00000,2662.00000,162.00000,455.00000,4772.00000,531.00000,162.00000,18449.00000,528.00000,20197.00000,24969.00000,5157.00000,12547.00000,581.00000,13893.00000,19050.00000,10745.00000,2568.00000,-419.00000,,5919.00000,24969.00000
2021-12-31,1477.00000,2609.00000,156.00000,521.00000,4763.00000,497.00000,164.00000,18244.00000,491.00000,19926.00000,24689.00000,5241.00000,12034.00000,649.00000,13406.00000,18647.00000,10777.00000,2243.00000,-406.00000,,6042.00000,24689.00000
2021-09-30,1574.00000,2386.00000,164.00000,410.00000,4534.00000,485.00000,158.00000,17936.00000,411.00000,19499.00000,24033.00000,4847.00000,12081.00000,656.00000,13357.00000,18204.00000,10747.00000,1925.00000,-445.00000,,5829.00000,24033.00000
2021-06-30,1911.00000,2345.00000,178.00000,634.00000,5068.00000,470.00000,158.00000,17321.00000,385.00000,18869.00000,23937.00000,4819.00000,12140.00000,607.00000,13358.00000,18177.00000,10696.00000,1664.00000,-327.00000,,5760.00000,23937.00000
2021-03-31,2402.00000,2425.00000,159.00000,593.00000,5579.00000,472.00000,162.00000,17330.00000,380.00000,18888.00000,24467.00000,4868.00000,12092.00000,586.00000,13362.00000,18230.00000,11068.00000,1489.00000,-376.00000,,6237.00000,24467.00000
2020-12-31,1902.00000,2466.00000,159.00000,563.00000,5090.00000,482.00000,162.00000,17859.00000,386.00000,19474.00000,24564.00000,4558.00000,12384.00000,633.00000,13726.00000,18284.00000,11095.00000,1277.00000,-205.00000,,6280.00000,24564.00000
2020-09-30,1543.00000,2492.00000,165.00000,445.00000,4645.00000,452.00000,163.00000,17585.00000,377.00000,19192.00000,23837.00000,4139.00000,12195.00000,580.00000,13591.00000,17730.00000,11070.00000,1158.00000,-317.00000,,6107.00000,23837.00000
2020-06-30,1182.00000,2424.00000,146.00000,456.00000,4208.00000,444.00000,153.00000,17395.00000,358.00000,18975.00000,23183.00000,3843.00000,11965.00000,582.00000,13488.00000,17331.00000,11043.00000,1057.00000,-444.00000,,5852.00000,23183.00000
2020-03-31,990.00000,2683.00000,173.00000,431.00000,4277.00000,445.00000,143.00000,17317.00000,287.00000,18801.00000,23078.00000,3907.00000,11894.00000,491.00000,13369.00000,17276.00000,11012.00000,1080.00000,-485.00000,,5802.00000,23078.00000
2019-12-31,899.00000,2638.00000,138.00000,451.00000,4126.00000,458.00000,152.00000,17673.00000,227.00000,19125.00000,23251.00000,3945.00000,11545.00000,456.00000,13043.00000,16988.00000,11049.00000,998.00000,-311.00000,,6263.00000,23251.00000
2019-09-30,920.00000,2579.00000,150.00000,346.00000,3995.00000,451.00000,143.00000,17465.00000,240.00000,18897.00000,22892.00000,3576.00000,11444.00000,431.00000,12922.00000,16498.00000,10990.00000,982.00000,-377.00000,,6394.00000,22892.00000
2019-06-30,994.00000,2465.00000,180.00000,339.00000,3978.00000,458.00000,152.00000,17638.00000,242.00000,19090.00000,23068.00000,3495.00000,11299.00000,424.00000,12792.00000,16287.00000,10964.00000,925.00000,-215.00000,,6781.00000,23068.00000
2019-03-31,991.00000,2526.00000,153.00000,329.00000,3999.00000,437.00000,137.00000,17668.00000,248.00000,19110.00000,23109.00000,3502.00000,11187.00000,412.00000,12742.00000,16244.00000,10927.00000,865.00000,-262.00000,,6865.00000,23109.00000
2018-12-31,938.00000,2463.00000,151.00000,322.00000,3874.00000,434.00000,142.00000,17751.00000,239.00000,18675.00000,22549.00000,3534.00000,10907.00000,418.00000,12061.00000,15595.00000,10901.00000,807.00000,-224.00000,,6954.00000,22549.00000
2018-09-30,879.00000,2364.00000,154.00000,299.00000,3696.00000,417.00000,134.00000,17897.00000,258.00000,18802.00000,22498.00000,3380.00000,10518.00000,406.00000,11658.00000,15038.00000,10876.00000,726.00000,-220.00000,,7460.00000,22498.00000
2018-06-30,928.00000,2224.00000,158.00000,277.00000,3587.00000,415.00000,110.00000,18141.00000,265.00000,19039.00000,22626.00000,3166.00000,10627.00000,406.00000,11846.00000,15012.00000,10836.00000,665.00000,-104.00000,,7614.00000,22626.00000
2018-03-31,1007.00000,2295.00000,148.00000,274.00000,3724.00000,432.00000,101.00000,18621.00000,244.00000,19511.00000,23235.00000,3199.00000,10342.00000,413.00000,11583.00000,14782.00000,10797.00000,605.00000,254.00000,,8453.00000,23235.00000
2017-12-31,1005.00000,2144.00000,146.00000,259.00000,3554.00000,440.00000,78.00000,18441.00000,235.00000,19303.00000,22857.00000,3156.00000,10122.00000,440.00000,11457.00000,14613.00000,10782.00000,538.00000,49.00000,,8244.00000,22857.00000
2017-09-30,1147.00000,1915.00000,146.00000,284.00000,3492.00000,428.00000,75.00000,18165.00000,192.00000,18953.00000,22445.00000,2853.00000,9651.00000,420.00000,12085.00000,14938.00000,10761.00000,-166.00000,-79.00000,,7507.00000,22445.00000
2017-06-30,945.00000,1886.00000,153.00000,275.00000,3259.00000,430.00000,70.00000,17751.00000,178.00000,18523.00000,21782.00000,2660.00000,8858.00000,421.00000,11348.00000,14008.00000,10721.00000,-255.00000,-233.00000,,7774.00000,21782.00000
2017-03-31,905.00000,1807.00000,134.00000,271.00000,3117.00000,410.00000,72.00000,17313.00000,179.00000,18066.00000,21183.00000,2596.00000,8254.00000,393.00000,10787.00000,13383.00000,10656.00000,-325.00000,-444.00000,,7800.00000,21183.00000
2016-12-31,1238.00000,1741.00000,123.00000,235.00000,3337.00000,406.00000,82.00000,17117.00000,177.00000,17871.00000,21208.00000,2705.00000,7108.00000,402.00000,9643.00000,12348.00000,10602.00000,-399.00000,-570.00000,,8860.00000,21208.00000
2016-09-30,1252.10200,1234.07100,57.31800,99.64100,2643.13200,184.18900,68.38600,1038.25700,99.02000,1485.67000,4128.80200,1619.94800,2387.11400,190.56500,2590.78100,4210.72900,48.76200,-221.21800,-140.97600,,-81.92700,4128.80200
2016-06-30,996.96000,1278.48600,66.44300,94.70900,2436.59800,189.63000,65.19200,1069.39500,97.12500,1526.20000,3962.79800,1600.28800,2397.83400,180.69000,2591.21100,4191.49900,1.19300,-320.38500,-139.09400,,-228.70100,3962.79800
2016-03-31,1093.48900,1197.89900,55.84500,89.92300,2437.15600,189.01100,85.54400,1081.91100,94.46700,1545.78300,3982.93900,1578.13800,2408.55500,187.33800,2610.74200,4188.88000,25.91500,-354.96700,-105.75800,,-205.94100,3982.93900
2015-12-31,977.00000,1200.00000,51.00000,83.00000,2412.00000,188.00000,85.00000,1088.00000,110.00000,1514.00000,3926.00000,1594.00000,2419.00000,183.00000,2668.00000,4262.00000,9.00000,-462.00000,-111.00000,,-336.00000,3926.00000
2015-09-30,1084.41400,1185.08300,51.47000,87.36500,2520.17900,194.74400,77.18700,1098.43300,108.67700,1513.55700,4033.73600,1523.97500,2430.03400,170.09700,2689.68700,4213.66200,239.58800,-550.14800,-95.46100,,-179.92600,4033.73600
2015-06-30,806.76100,1153.98900,57.45400,85.67600,2219.84200,176.77300,71.70300,726.82700,111.94500,1121.94200,3341.78400,1353.80800,2440.97200,190.75700,2689.65400,4043.46200,28.52000,-661.43400,-68.84200,,-701.67800,3341.78400
2015-03-31,781.80900,1050.58100,59.83400,88.66600,2098.82300,179.49000,69.16100,733.52600,120.01600,1137.82800,3236.65100,1320.69700,2288.22900,181.08500,2528.26100,3848.95800,178.96600,-702.40000,-88.95300,,-612.30700,3236.65100
2014-12-31,870.24000,1020.61200,44.62800,92.08800,2146.08300,190.29700,66.01100,744.67700,112.91300,1149.87000,3295.95300,1471.90000,2282.61200,183.65600,2528.06500,3999.96500,143.82800,-788.79800,-59.09100,,-704.01200,3295.95300
2014-09-30,648.55300,1049.94700,51.53400,94.39400,1938.60300,190.86300,68.46000,756.88600,120.62500,1168.11200,3106.71500,1426.78000,2022.59500,167.99400,2216.16700,3642.94700,368.01000,-877.22400,-27.04500,,-536.23200,3106.71500
2014-06-30,639.76400,981.23100,56.83700,94.03300,1864.70700,196.38200,67.42300,692.83200,123.60600,1113.93000,2978.63700,1353.06000,2026.90900,186.37900,2247.18700,3600.24700,346.08500,-969.87800,2.24400,,-621.61000,2978.63700
2014-03-31,744.75400,964.89700,52.89300,92.42000,1947.82000,195.85200,66.70000,698.61300,119.47700,1114.07200,3061.89200,1376.47600,2031.24700,178.12900,2244.94100,3621.41700,495.91700,-1054.99800,-0.39300,,-559.52500,3061.89200
2013-12-31,780.85500,940.37600,42.80100,89.54100,1945.68800,199.57800,63.27600,707.68000,117.71100,1121.10900,3066.79700,1482.24700,2035.58600,178.90800,2252.03500,3734.28200,478.14400,-1145.18100,-0.37600,,-667.48500,3066.79700
2013-09-30,613.02700,911.71800,42.11600,80.77300,1717.18600,197.39300,61.43100,722.65000,110.92700,1124.83500,2842.02100,1334.38300,2042.02900,160.97500,2219.61000,3553.99300,510.10200,-1218.17700,-3.89200,,-711.97200,2842.02100
2013-06-30,588.04300,893.71500,48.59900,78.08700,1673.86000,196.74900,58.12200,566.99300,111.30200,974.30700,2648.16700,1238.72700,2045.14200,153.82400,2207.32800,3446.05500,505.07400,-1284.94600,-18.18600,,-797.88800,2648.16700
2013-03-31,458.17300,800.01700,41.30600,72.80900,1439.49700,190.16600,57.58200,571.57200,135.48900,987.20800,2426.70500,1221.98800,2354.76300,156.24900,2527.01200,3749.00000,9.22700,-1323.46300,-8.38700,,-1322.29500,2426.70500
2012-12-31,570.55000,762.97000,33.35400,74.08200,1509.99400,193.99900,55.09900,575.24190,127.50600,989.15890,2499.15300,1308.99700,2366.26800,171.31600,2549.20000,3858.19700,4.55400,-1371.77200,7.69500,,-1359.04400,2499.15300
2012-09-30,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2012-06-30,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2012-03-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2011-12-31,519.29000,716.49000,,129.69000,1365.47000,408.37000,33.88000,547.45000,112.14000,1180.01000,2322.91000,1192.13000,1951.70000,138.80000,2100.36000,3292.51000,1.16000,-994.41000,,23.65000,-969.59000,2322.91000
2010-12-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
