,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,6534.00000,3176.00000,1424.00000,1877.00000,,13011.00000,33109.00000,2128.00000,15745.00000,934.00000,59277.00000,72288.00000,25940.00000,20671.00000,4074.00000,39766.00000,65706.00000,1170.00000,-5801.00000,6582.00000,72288.00000
2022-09-30,8368.00000,3097.00000,1473.00000,1861.00000,,14799.00000,31512.00000,1585.00000,15747.00000,1057.00000,57797.00000,72596.00000,25870.00000,21202.00000,4217.00000,42136.00000,68006.00000,342.00000,-6946.00000,4590.00000,72596.00000
2022-06-30,10770.00000,3093.00000,1734.00000,1716.00000,,17313.00000,30519.00000,1771.00000,15750.00000,1044.00000,57492.00000,74805.00000,26324.00000,22903.00000,4344.00000,44670.00000,70994.00000,-353.00000,-7008.00000,3811.00000,74805.00000
2022-03-31,9955.00000,3039.00000,1292.00000,1434.00000,,15720.00000,30042.00000,1999.00000,15752.00000,1299.00000,58028.00000,73748.00000,24060.00000,24441.00000,4589.00000,46697.00000,70757.00000,-1088.00000,-7071.00000,2991.00000,73748.00000
2021-12-31,11319.00000,2404.00000,1098.00000,1119.00000,,15940.00000,28749.00000,1712.00000,15754.00000,1773.00000,56519.00000,72459.00000,20966.00000,25138.00000,4528.00000,47606.00000,68572.00000,-148.00000,-7130.00000,3887.00000,72459.00000
2021-09-30,13202.00000,2824.00000,371.00000,1074.00000,,17471.00000,27816.00000,1919.00000,15757.00000,2180.00000,55312.00000,72783.00000,20924.00000,25523.00000,4743.00000,49253.00000,70177.00000,259.00000,-8800.00000,2606.00000,72783.00000
2021-06-30,15230.00000,2899.00000,364.00000,1173.00000,,19666.00000,27508.00000,2143.00000,15759.00000,2422.00000,55643.00000,75309.00000,23573.00000,26679.00000,4855.00000,50455.00000,74028.00000,-953.00000,-8882.00000,1281.00000,75309.00000
2021-03-31,14035.00000,2294.00000,371.00000,1153.00000,,17853.00000,26862.00000,1929.00000,15762.00000,2794.00000,55230.00000,73083.00000,20688.00000,26061.00000,5042.00000,51913.00000,72601.00000,-1605.00000,-8960.00000,482.00000,73083.00000
2020-12-31,14096.00000,1773.00000,355.00000,1180.00000,,17404.00000,26529.00000,1665.00000,15764.00000,2913.00000,54592.00000,71996.00000,15927.00000,27425.00000,5362.00000,54535.00000,70462.00000,-428.00000,-9038.00000,1534.00000,71996.00000
2020-09-30,21525.00000,1503.00000,746.00000,1256.00000,,25030.00000,26602.00000,1562.00000,15767.00000,2929.00000,54046.00000,79076.00000,19725.00000,29825.00000,5236.00000,55994.00000,75719.00000,327.00000,-7939.00000,3357.00000,79076.00000
2020-06-30,15668.00000,1728.00000,494.00000,1025.00000,,18915.00000,28473.00000,1633.00000,15770.00000,1820.00000,53346.00000,72261.00000,20150.00000,19412.00000,4245.00000,43421.00000,63571.00000,5706.00000,-7937.00000,8690.00000,72261.00000
2020-03-31,5967.00000,2280.00000,974.00000,1054.00000,,10275.00000,31644.00000,3684.00000,15772.00000,1875.00000,58463.00000,68738.00000,19392.00000,12662.00000,1666.00000,35037.00000,54429.00000,11423.00000,-7898.00000,14309.00000,68738.00000
2019-12-31,2882.00000,2854.00000,1251.00000,1262.00000,,8249.00000,31310.00000,2568.00000,14944.00000,1714.00000,56283.00000,64532.00000,20204.00000,8873.00000,1386.00000,28970.00000,49174.00000,12454.00000,-7989.00000,15358.00000,64532.00000
2019-09-30,1899.00000,2836.00000,1072.00000,1137.00000,,6944.00000,30796.00000,,14602.00000,5062.00000,56275.00000,63219.00000,20211.00000,7923.00000,1378.00000,27940.00000,48151.00000,11772.00000,-7645.00000,15068.00000,63219.00000
2019-06-30,2009.00000,2844.00000,1083.00000,1198.00000,,7134.00000,30165.00000,,14605.00000,4708.00000,55384.00000,62518.00000,21164.00000,7710.00000,2025.00000,27396.00000,48560.00000,10686.00000,-7694.00000,13958.00000,62518.00000
2019-03-31,1910.00000,3154.00000,1071.00000,1061.00000,,7196.00000,29139.00000,,14608.00000,4862.00000,54645.00000,61841.00000,21323.00000,7710.00000,1395.00000,27607.00000,48930.00000,9656.00000,-7766.00000,12911.00000,61841.00000
2018-12-31,1565.00000,2314.00000,1055.00000,1406.00000,,6340.00000,28335.00000,,14611.00000,4986.00000,53926.00000,60266.00000,18578.00000,8253.00000,969.00000,28001.00000,46579.00000,10039.00000,-7825.00000,13687.00000,60266.00000
2018-09-30,1858.00000,2517.00000,1170.00000,1181.00000,,6726.00000,28565.00000,,14629.00000,4651.00000,48277.00000,55003.00000,18158.00000,8115.00000,2517.00000,23141.00000,41299.00000,9696.00000,-7535.00000,13704.00000,55003.00000
2018-06-30,2406.00000,2427.00000,1589.00000,1219.00000,,7641.00000,28124.00000,,14633.00000,4594.00000,48155.00000,55796.00000,19269.00000,8562.00000,2365.00000,23671.00000,42940.00000,8851.00000,-7606.00000,12856.00000,55796.00000
2018-03-31,1970.00000,2568.00000,1146.00000,2040.00000,,7724.00000,27096.00000,,14637.00000,3446.00000,46354.00000,54078.00000,20012.00000,6360.00000,2320.00000,21509.00000,41521.00000,8465.00000,-7681.00000,12557.00000,54078.00000
2017-12-31,2639.00000,2377.00000,1329.00000,1459.00000,,7804.00000,26563.00000,,14641.00000,3309.00000,45867.00000,53671.00000,18959.00000,6592.00000,2221.00000,22182.00000,41141.00000,8256.00000,-7621.00000,12530.00000,53671.00000
2017-09-30,2438.00000,2399.00000,1136.00000,1110.00000,,7083.00000,25900.00000,,14645.00000,2878.00000,44845.00000,51928.00000,16496.00000,7584.00000,2001.00000,21431.00000,37927.00000,9502.00000,-7476.00000,14001.00000,51928.00000
2017-06-30,2988.00000,2164.00000,938.00000,1087.00000,,7177.00000,25367.00000,,14649.00000,2545.00000,44638.00000,51815.00000,16631.00000,7916.00000,1885.00000,21705.00000,38336.00000,8905.00000,-7549.00000,13479.00000,51815.00000
2017-03-31,2650.00000,2307.00000,855.00000,1068.00000,,6880.00000,24817.00000,,14649.00000,2363.00000,44579.00000,51459.00000,15953.00000,8187.00000,1822.00000,22561.00000,38514.00000,8226.00000,-7571.00000,12945.00000,51459.00000
2016-12-31,3249.00000,2064.00000,891.00000,1247.00000,,7451.00000,24375.00000,,14638.00000,1733.00000,43810.00000,51261.00000,15239.00000,6201.00000,1878.00000,23735.00000,38974.00000,7903.00000,-7636.00000,12287.00000,51261.00000
2016-09-30,3152.00000,1996.00000,775.00000,910.00000,496.00000,7329.00000,24105.00000,,14642.00000,1722.00000,43619.00000,50948.00000,15147.00000,6473.00000,1956.00000,23291.00000,38438.00000,11109.00000,-7212.00000,12510.00000,50948.00000
2016-06-30,2951.00000,2102.00000,795.00000,1017.00000,773.00000,7638.00000,23975.00000,,14646.00000,1578.00000,43996.00000,51634.00000,16250.00000,6689.00000,2015.00000,23574.00000,39824.00000,10000.00000,-7279.00000,11810.00000,51634.00000
2016-03-31,2914.00000,2633.00000,693.00000,887.00000,2179.00000,9306.00000,23422.00000,,14650.00000,1475.00000,44036.00000,53342.00000,18108.00000,6920.00000,2091.00000,23982.00000,42090.00000,8462.00000,-7279.00000,11252.00000,53342.00000
