,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2015-12-31,3437.00000,2020.00000,697.00000,915.00000,1987.00000,9056.00000,23039.00000,,14655.00000,1428.00000,44078.00000,53134.00000,17526.00000,6766.00000,1891.00000,24758.00000,42284.00000,5562.00000,-7275.00000,10850.00000,53134.00000
2015-09-30,3811.00000,2355.00000,695.00000,816.00000,1586.00000,11973.00000,22608.00000,,14383.00000,1848.00000,41673.00000,53646.00000,17608.00000,7096.00000,2465.00000,25693.00000,43301.00000,6748.00000,-7316.00000,10345.00000,53646.00000
2015-06-30,3787.00000,2100.00000,881.00000,815.00000,966.00000,11441.00000,22480.00000,,14388.00000,1098.00000,41340.00000,52781.00000,17082.00000,7598.00000,2322.00000,26136.00000,43218.00000,5540.00000,-7288.00000,9563.00000,52781.00000
2015-03-31,3569.00000,2440.00000,801.00000,790.00000,1575.00000,12266.00000,22023.00000,,14393.00000,1019.00000,41486.00000,53752.00000,17319.00000,8305.00000,2457.00000,27387.00000,44706.00000,4127.00000,-7294.00000,9046.00000,53752.00000
2014-12-31,3305.00000,3222.00000,852.00000,701.00000,1078.00000,9158.00000,21929.00000,,14397.00000,926.00000,44847.00000,54005.00000,16847.00000,8477.00000,2128.00000,28345.00000,45192.00000,3456.00000,-7311.00000,8813.00000,54005.00000
2014-09-30,4511.00000,2135.00000,942.00000,1220.00000,,10995.00000,21722.00000,,14408.00000,1119.00000,40945.00000,51940.00000,14813.00000,8970.00000,1946.00000,24831.00000,39644.00000,4244.00000,-5100.00000,12296.00000,51940.00000
2014-06-30,4202.00000,2104.00000,961.00000,1221.00000,,10517.00000,22048.00000,,14419.00000,1105.00000,41674.00000,52191.00000,15209.00000,9089.00000,1735.00000,24779.00000,39988.00000,3962.00000,-5137.00000,12203.00000,52191.00000
2014-03-31,3783.00000,2042.00000,948.00000,1209.00000,,9746.00000,21972.00000,,14436.00000,1159.00000,42421.00000,52167.00000,15010.00000,9466.00000,1712.00000,25516.00000,40526.00000,3211.00000,-5139.00000,11641.00000,52167.00000
2013-12-31,3803.00000,1612.00000,1063.00000,852.00000,585.00000,9651.00000,21854.00000,,14452.00000,1303.00000,42601.00000,52252.00000,14152.00000,9795.00000,1711.00000,26457.00000,40609.00000,3049.00000,-5130.00000,11643.00000,52252.00000
2013-09-30,4190.00000,1969.00000,1032.00000,1355.00000,,8951.00000,21297.00000,,14469.00000,1280.00000,37046.00000,45997.00000,14134.00000,10077.00000,1709.00000,31726.00000,45860.00000,-5379.00000,-8324.00000,137.00000,45997.00000
2013-06-30,4096.00000,2084.00000,962.00000,1302.00000,,8895.00000,21049.00000,,14486.00000,1342.00000,36877.00000,45772.00000,14775.00000,10526.00000,1680.00000,32181.00000,46956.00000,-6748.00000,-8331.00000,-1184.00000,45772.00000
2013-03-31,3885.00000,1994.00000,995.00000,1304.00000,,8641.00000,20793.00000,,14503.00000,1131.00000,36427.00000,45068.00000,14068.00000,10721.00000,1694.00000,32943.00000,47011.00000,-7382.00000,-8426.00000,-1943.00000,45068.00000
2012-12-31,3749.00000,1693.00000,1023.00000,1344.00000,,8272.00000,20713.00000,,14473.00000,1092.00000,36278.00000,44550.00000,13270.00000,11082.00000,1649.00000,33411.00000,46681.00000,-7389.00000,-8577.00000,-2131.00000,44550.00000
2012-09-30,3634.00000,1785.00000,403.00000,1876.00000,,8163.00000,20599.00000,,14491.00000,1099.00000,36189.00000,44352.00000,13224.00000,11111.00000,1711.00000,31176.00000,44400.00000,-7395.00000,-6464.00000,-48.00000,44352.00000
2012-06-30,3866.00000,1828.00000,393.00000,1882.00000,,8457.00000,20609.00000,,14510.00000,1144.00000,36263.00000,44720.00000,14693.00000,11221.00000,1606.00000,31162.00000,45855.00000,-8442.00000,-6490.00000,-1135.00000,44720.00000
2012-03-31,4245.00000,1807.00000,364.00000,1475.00000,,8299.00000,20332.00000,,14527.00000,1031.00000,35890.00000,44189.00000,13646.00000,11521.00000,1489.00000,31554.00000,45200.00000,-8274.00000,-6518.00000,-1011.00000,44189.00000
2011-12-31,3920.00000,1563.00000,535.00000,1250.00000,,7729.00000,20223.00000,,14545.00000,1002.00000,35770.00000,43499.00000,12701.00000,11847.00000,1419.00000,32194.00000,44895.00000,-8398.00000,-6766.00000,-1396.00000,43499.00000
2011-09-30,3670.00000,1816.00000,380.00000,1067.00000,,7329.00000,20256.00000,,14491.00000,960.00000,35707.00000,43036.00000,12012.00000,12557.00000,1424.00000,29802.00000,41814.00000,-8823.00000,-3724.00000,1222.00000,43036.00000
2011-06-30,4254.00000,1885.00000,403.00000,1179.00000,,8063.00000,20315.00000,,14508.00000,992.00000,35815.00000,43878.00000,12802.00000,13026.00000,1383.00000,30291.00000,43093.00000,-9372.00000,-3593.00000,785.00000,43878.00000
2011-03-31,4229.00000,1848.00000,349.00000,1286.00000,,7993.00000,20333.00000,,14525.00000,1030.00000,35888.00000,43881.00000,12260.00000,13446.00000,1386.00000,30863.00000,43123.00000,-9570.00000,-3403.00000,758.00000,43881.00000
2010-12-31,4019.00000,1456.00000,318.00000,1159.00000,,7307.00000,20307.00000,,14543.00000,1031.00000,35881.00000,43188.00000,11385.00000,13179.00000,1533.00000,30906.00000,42291.00000,-9252.00000,-3578.00000,897.00000,43188.00000
2010-09-30,4293.00000,1512.00000,278.00000,1071.00000,,7321.00000,20184.00000,,14560.00000,1088.00000,35832.00000,43153.00000,11820.00000,13063.00000,1522.00000,30618.00000,42438.00000,-9271.00000,-3716.00000,715.00000,43153.00000
2010-06-30,4843.00000,1645.00000,285.00000,859.00000,,7868.00000,20396.00000,,14580.00000,965.00000,35941.00000,43809.00000,11892.00000,14228.00000,1353.00000,31718.00000,43610.00000,-9634.00000,-3853.00000,199.00000,43809.00000
2010-03-31,5369.00000,1533.00000,319.00000,976.00000,,8361.00000,20481.00000,,14599.00000,898.00000,35978.00000,44339.00000,11224.00000,15251.00000,1319.00000,33043.00000,44267.00000,-10101.00000,-3502.00000,72.00000,44339.00000
2009-12-31,5101.00000,1353.00000,327.00000,853.00000,,7991.00000,20433.00000,,14616.00000,749.00000,35798.00000,43789.00000,9797.00000,15665.00000,1222.00000,33747.00000,43544.00000,-9845.00000,-3563.00000,245.00000,43789.00000
2009-09-30,5966.00000,1469.00000,356.00000,780.00000,,8862.00000,20658.00000,,14642.00000,691.00000,35991.00000,44853.00000,9594.00000,16655.00000,1261.00000,34359.00000,43953.00000,-9820.00000,-2907.00000,900.00000,44853.00000
2009-06-30,5303.00000,1410.00000,372.00000,898.00000,,8299.00000,20916.00000,,14625.00000,640.00000,36181.00000,44480.00000,11149.00000,14774.00000,1223.00000,32351.00000,43500.00000,-9659.00000,-2963.00000,980.00000,44480.00000
2009-03-31,4895.00000,1823.00000,380.00000,627.00000,,8057.00000,20896.00000,,14647.00000,795.00000,36338.00000,44395.00000,11527.00000,14743.00000,1272.00000,32349.00000,43876.00000,-9402.00000,-3663.00000,519.00000,44395.00000
