,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,973.00000,3561.00000,755.00000,2047.00000,7336.00000,69076.00000,232.00000,6630.00000,1141.00000,88013.00000,95349.00000,10611.00000,35662.00000,11973.00000,59994.00000,70605.00000,20908.00000,4597.00000,-638.00000,,24744.00000,95349.00000
2022-09-30,1190.00000,3430.00000,757.00000,1678.00000,7055.00000,67572.00000,230.00000,6630.00000,1086.00000,86400.00000,93455.00000,8717.00000,35673.00000,12004.00000,60156.00000,68873.00000,20895.00000,4502.00000,-692.00000,,24582.00000,93455.00000
2022-06-30,1777.00000,3187.00000,624.00000,1754.00000,7342.00000,66456.00000,235.00000,6630.00000,1017.00000,84953.00000,92295.00000,8031.00000,36179.00000,11783.00000,60608.00000,68639.00000,20319.00000,4161.00000,-701.00000,,23656.00000,92295.00000
2022-03-31,2906.00000,3043.00000,512.00000,1684.00000,8145.00000,65465.00000,244.00000,6630.00000,1045.00000,84553.00000,92698.00000,8635.00000,35398.00000,12638.00000,60572.00000,69207.00000,20299.00000,4028.00000,-713.00000,,23491.00000,92698.00000
2021-12-31,993.00000,2865.00000,581.00000,1683.00000,13957.00000,64558.00000,250.00000,6630.00000,885.00000,119056.00000,133013.00000,16111.00000,31139.00000,12630.00000,82107.00000,98218.00000,20324.00000,16942.00000,-2750.00000,,34795.00000,133013.00000
2021-09-30,3430.00000,4660.00000,1818.00000,4969.00000,14877.00000,82852.00000,435.00000,6677.00000,3748.00000,117744.00000,132621.00000,15826.00000,35659.00000,29284.00000,82536.00000,98362.00000,20271.00000,16926.00000,-3223.00000,,34259.00000,132621.00000
2021-06-30,1957.00000,4492.00000,1702.00000,4197.00000,12348.00000,82120.00000,421.00000,6677.00000,3685.00000,117048.00000,129396.00000,13919.00000,35467.00000,28436.00000,80977.00000,94896.00000,19454.00000,16098.00000,-3289.00000,,34500.00000,129396.00000
2021-03-31,2282.00000,4816.00000,1632.00000,4267.00000,12997.00000,82588.00000,431.00000,6677.00000,3809.00000,117003.00000,130000.00000,13580.00000,36638.00000,28389.00000,82107.00000,95687.00000,19412.00000,16072.00000,-3346.00000,,34313.00000,130000.00000
2020-12-31,1101.00000,4629.00000,1722.00000,5110.00000,12562.00000,82584.00000,440.00000,6677.00000,3831.00000,116755.00000,129317.00000,12771.00000,35483.00000,28657.00000,81678.00000,94449.00000,19373.00000,16735.00000,-3400.00000,,34868.00000,129317.00000
2020-09-30,2343.00000,4293.00000,1716.00000,3960.00000,12312.00000,82561.00000,444.00000,6677.00000,3856.00000,115455.00000,127767.00000,11262.00000,35902.00000,28794.00000,81402.00000,92664.00000,19362.00000,16749.00000,-3104.00000,,35103.00000,127767.00000
2020-06-30,2502.00000,4302.00000,1781.00000,3948.00000,12533.00000,81748.00000,424.00000,6677.00000,3888.00000,113780.00000,126313.00000,11065.00000,36502.00000,27496.00000,80377.00000,91442.00000,19336.00000,16622.00000,-3132.00000,,34871.00000,126313.00000
2020-03-31,1871.00000,5381.00000,1687.00000,3537.00000,12476.00000,81017.00000,418.00000,6677.00000,4118.00000,112201.00000,124677.00000,11774.00000,35198.00000,27142.00000,78287.00000,90061.00000,19303.00000,16475.00000,-3173.00000,,34616.00000,124677.00000
2019-12-31,945.00000,6175.00000,1768.00000,3149.00000,12037.00000,80233.00000,464.00000,6677.00000,4041.00000,112940.00000,124977.00000,14185.00000,31719.00000,27902.00000,76219.00000,90404.00000,19274.00000,16267.00000,-3194.00000,,34573.00000,124977.00000
2019-09-30,1992.00000,5273.00000,1783.00000,3158.00000,12206.00000,78593.00000,471.00000,6677.00000,3963.00000,110532.00000,122738.00000,13085.00000,32446.00000,27010.00000,75301.00000,88386.00000,19238.00000,15871.00000,-2963.00000,,34352.00000,122738.00000
2019-06-30,987.00000,5133.00000,1670.00000,3865.00000,11655.00000,78030.00000,618.00000,6677.00000,3937.00000,109941.00000,121596.00000,12934.00000,32299.00000,26910.00000,74755.00000,87689.00000,19209.00000,15452.00000,-2990.00000,,33907.00000,121596.00000
2019-03-31,1103.00000,5626.00000,1559.00000,4188.00000,12476.00000,77460.00000,620.00000,6677.00000,3836.00000,109117.00000,121593.00000,12229.00000,33350.00000,26934.00000,75660.00000,87889.00000,19171.00000,15321.00000,-3012.00000,,33704.00000,121593.00000
2018-12-31,1596.00000,5863.00000,1685.00000,4184.00000,13328.00000,76707.00000,625.00000,6677.00000,2399.00000,106306.00000,119634.00000,11404.00000,34465.00000,25409.00000,75183.00000,86587.00000,19116.00000,14743.00000,-2995.00000,,33047.00000,119634.00000
2018-09-30,2158.00000,5485.00000,1665.00000,4165.00000,13473.00000,75840.00000,649.00000,6677.00000,2380.00000,106012.00000,119485.00000,10140.00000,34909.00000,25961.00000,75957.00000,86097.00000,19063.00000,14949.00000,-2869.00000,,33388.00000,119485.00000
2018-06-30,900.00000,5501.00000,1590.00000,3498.00000,11489.00000,75284.00000,636.00000,6677.00000,2030.00000,105760.00000,117249.00000,9626.00000,33568.00000,26320.00000,74784.00000,84410.00000,19008.00000,14551.00000,-2921.00000,,32839.00000,117249.00000
2018-03-31,996.00000,5293.00000,1471.00000,3773.00000,11533.00000,74711.00000,640.00000,6677.00000,2245.00000,105485.00000,117018.00000,10153.00000,33294.00000,26229.00000,74300.00000,84453.00000,18973.00000,14346.00000,-2965.00000,,32565.00000,117018.00000
2017-12-31,1105.00000,5577.00000,1651.00000,3563.00000,11896.00000,74202.00000,640.00000,6677.00000,2062.00000,104874.00000,116770.00000,10798.00000,32565.00000,26249.00000,73785.00000,84583.00000,18964.00000,14081.00000,-3026.00000,,32187.00000,116770.00000
2017-09-30,1523.00000,4804.00000,1668.00000,4729.00000,12724.00000,73067.00000,634.00000,6677.00000,2167.00000,105749.00000,118473.00000,12395.00000,32090.00000,20366.00000,75761.00000,88156.00000,18862.00000,11950.00000,-2589.00000,,30317.00000,118473.00000
2017-06-30,788.00000,4783.00000,1601.00000,5060.00000,12232.00000,72748.00000,638.00000,6677.00000,2223.00000,104872.00000,117104.00000,13965.00000,30956.00000,20290.00000,73849.00000,87814.00000,18860.00000,11442.00000,-2633.00000,,29290.00000,117104.00000
