,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,697.99900,1556.78600,119.20700,49.03600,2786.10700,264.58100,3514.92500,297.53100,4513.62900,7299.73600,3597.60000,2453.60700,423.46400,3474.33800,7071.93800,0.08200,3856.82600,-101.61000,227.79800,7299.73600
2022-09-30,528.68700,1047.14000,135.11800,,1980.25500,256.17600,3539.97300,288.64000,4545.69900,6525.95400,3085.89300,2454.85300,435.69200,3504.98700,6590.88000,0.08200,3600.01200,-130.54800,-64.92600,6525.95400
2022-06-30,360.47300,1171.99600,136.76500,,1981.28200,250.31500,3588.62500,288.82100,4609.31200,6590.59400,3178.38200,2455.50600,452.89600,3555.07900,6733.46100,0.08200,3426.46700,-104.51600,-142.86700,6590.59400
2022-03-31,456.17500,1326.39800,131.26300,,2273.92900,258.36400,3633.85000,306.02000,4711.52400,6985.45300,3260.41600,2456.16600,473.10200,3606.88400,6867.30000,0.08200,3221.54200,-82.81100,118.15300,6985.45300
2021-12-31,756.49300,1365.18000,117.83800,,2620.08000,273.56200,3665.73500,308.68900,4796.24400,7416.32400,3378.78000,2456.83300,511.88700,3666.48600,7045.26600,0.08200,3049.02700,-81.43100,371.05800,7416.32400
2021-09-30,765.53000,969.96600,122.94300,,2108.84800,297.02000,3696.87700,275.57700,4885.79100,6994.63900,2904.54400,2457.64300,557.85700,3755.58800,6660.13200,0.08200,2839.66800,-83.83700,334.50700,6994.63900
2021-06-30,796.25700,1102.56200,109.90000,,2257.16600,309.22200,3730.94500,272.87500,4931.17400,7188.34000,2909.60600,2457.85400,548.13400,3751.09600,6660.70200,0.08200,2690.80300,-82.97800,527.63800,7188.34000
2021-03-31,445.99500,1175.42600,118.47900,,1997.85600,322.61000,3720.94100,262.65500,4940.00100,6937.85800,2812.42100,1949.07800,519.64000,3233.84300,6046.26400,0.08200,2419.56700,-93.17800,891.59400,6937.85800
2020-12-31,712.58300,1241.50800,109.21200,,2323.05800,336.76500,3752.54500,256.31600,4992.90900,7315.96700,2947.49400,1958.28600,539.59300,3278.04500,6225.53900,0.08200,2255.46700,-99.22800,1090.42800,7315.96700
2020-09-30,553.71500,948.86400,154.88700,,1865.40400,332.89100,3759.70200,230.79200,4975.19800,6840.60200,2521.56200,1957.47300,538.35900,3281.53700,5803.09900,0.08200,2135.86000,-130.21300,1037.50300,6840.60200
2020-06-30,356.63300,1048.51900,128.63100,,1767.18500,343.56300,3782.98400,248.05200,5043.10800,6810.29400,2539.32200,1937.23200,540.40200,3279.75300,5819.07500,0.08200,2118.89600,-142.17500,991.21900,6810.29400
2020-03-31,227.85000,1148.56500,156.02600,,1772.61800,346.57900,3791.81600,211.31500,5027.72800,6800.34600,2530.33800,2035.27300,530.57700,3379.73300,5910.07100,0.08200,2063.81900,-168.97200,890.27500,6800.34600
2019-12-31,280.83600,1326.01200,146.02600,,2018.74100,344.57900,3862.81300,222.24500,5132.55300,7151.29400,2856.53400,2043.88800,479.74600,3356.16700,6212.70100,0.08200,1988.72200,-77.93800,938.59300,7151.29400
2019-09-30,306.72700,1028.32000,173.85100,,1706.50500,300.61200,3876.02000,201.93400,5030.83900,6737.34400,2527.26300,2051.50700,462.35500,3290.42400,5817.68700,0.08200,1921.02100,-81.26400,919.65700,6737.34400
2019-06-30,218.45300,1112.85600,148.14000,,1691.10400,291.28000,3903.73400,205.82200,5038.53700,6729.64100,2482.15100,2059.13100,456.31400,3283.68800,5765.83900,0.08200,1879.63300,-73.47900,963.80200,6729.64100
2019-03-31,149.27000,1178.85900,156.42000,,1716.01300,271.44800,3922.79100,170.28090,4998.66200,6714.67500,2568.91800,2094.75800,424.94700,3288.86000,5857.77800,0.08200,1776.22700,-61.56600,856.89700,6714.67500
2018-12-31,156.36800,1255.11800,165.23700,,1811.73900,267.66500,3965.70100,156.36900,4389.73500,6201.47400,2620.93500,2116.10900,613.67300,2729.78200,5350.71700,0.08200,1755.43200,-39.86700,850.75700,6201.47400
2018-09-30,210.99700,979.18100,178.43600,,1535.34000,246.06100,3996.58500,166.83100,4409.47700,5944.81700,2343.59600,2077.46600,582.20700,2659.67300,5003.26900,0.08200,1671.41200,-22.68400,941.54800,5944.81700
2018-06-30,141.80500,1083.99000,199.20800,,1608.48400,225.90100,4151.81000,166.74200,4544.45300,6152.93700,2513.80400,2146.82900,570.87200,2717.70100,5231.50500,0.08200,1659.65800,-24.05100,921.43200,6152.93700
2018-03-31,189.97900,1134.96400,175.20400,603.35400,2310.66200,223.08600,4204.41300,176.86700,4604.36600,6915.02800,3185.85600,2186.06100,555.54000,2741.60100,5927.45700,0.08200,1613.98000,32.22500,987.57100,6915.02800
2017-12-31,538.90800,1176.84300,124.63200,542.96500,2588.60800,221.50700,4279.31600,193.74200,4694.56500,7283.17300,2822.58500,2899.12400,577.99900,3477.12300,6299.70800,0.08200,1647.28400,1.50800,983.46500,7283.17300
2017-09-30,630.01600,874.28300,164.92100,,1812.28300,216.02100,4709.51100,273.67700,5199.20900,7011.49200,2482.03500,2922.22900,743.81800,3666.04700,6148.08200,0.08200,1539.97800,-1.21600,863.41000,7011.49200
2017-06-30,589.28200,886.39300,141.23700,,1759.97400,197.12900,4765.26900,272.51500,5234.91300,6994.88700,2243.90700,3140.30700,756.99800,3897.30500,6141.21200,0.08200,1588.15800,-48.88900,853.67500,6994.88700
2017-03-31,1227.89100,716.48700,91.54600,,2175.69500,126.41900,936.53900,126.64700,1189.60500,3365.30000,1470.35600,1599.33100,192.79600,1792.12700,3262.48300,0.07800,1680.43900,-47.83200,102.81700,3365.30000
2016-12-31,474.23300,643.01300,84.54000,,1343.19600,121.60600,815.25400,87.27900,1024.13900,2367.33500,1460.24900,664.39100,181.81700,846.20800,2306.45700,0.07800,1644.00500,-49.68300,60.87800,2367.33500
2016-09-30,465.73400,560.20200,107.31600,,1245.94900,118.78900,824.69500,88.30700,1031.79100,2277.74000,1417.42400,696.40500,174.40900,870.81400,2288.23800,0.07800,1577.52100,-47.78400,-10.49800,2277.74000
2016-06-30,445.05300,613.79500,63.72500,,1233.65600,117.25500,842.01900,111.59100,1070.86500,2304.52100,1387.24100,756.01500,214.09300,970.10800,2357.34900,0.07800,1538.76200,-48.00300,-52.82800,2304.52100
2016-03-31,403.94300,602.87700,54.33200,,1179.27700,108.62800,808.58700,115.01700,1032.23200,2211.50900,1291.22400,832.50000,200.45500,1032.95500,2324.17900,0.07800,1490.85100,-49.43000,-112.67000,2211.50900
2015-12-31,372.97600,580.76300,62.42700,,1140.99700,108.73300,811.90300,106.88400,1027.52000,2168.51700,1323.49200,783.83100,193.59400,977.42500,2300.91700,0.07800,1450.68400,-44.40200,-132.40000,2168.51700
2015-09-30,371.24400,482.30200,114.06100,,1061.39900,109.55700,820.12400,100.46200,1030.14300,2091.54200,1235.10000,820.00000,196.03100,1016.03100,2251.13100,0.07800,1384.92200,-49.27400,-159.58900,2091.54200
2015-06-30,357.58100,527.61500,82.66100,,1066.06800,107.11200,610.11200,77.74700,794.97100,1861.03900,1204.52000,695.00000,131.67400,826.67400,2031.19400,0.07800,1354.55500,-35.61700,-170.15500,1861.03900
2015-03-31,281.65300,526.38400,88.20600,,1000.64800,104.37400,608.36600,75.98200,788.72200,1789.37000,1420.73100,380.00000,128.15200,508.15200,1928.88300,0.07800,1303.40100,-42.32800,-139.51300,1789.37000
2014-12-31,365.30200,552.10700,63.86800,,1096.65800,97.99000,617.35400,92.34900,807.69300,1904.35100,1215.21800,385.00000,142.96200,527.96200,1743.18000,0.07800,1275.04900,-21.17000,161.17100,1904.35100
2014-09-30,341.22000,449.92300,87.49200,,959.23400,93.62500,626.72700,89.36700,809.71900,1768.95300,1358.87200,125.00000,132.55800,257.55800,1616.43000,0.07800,1215.90500,-2.00100,152.52300,1768.95300
2014-06-30,317.92500,493.21600,71.93900,,971.76900,95.83100,635.14600,94.06200,825.03900,1796.80800,1345.54800,128.75000,125.00100,253.75100,1599.29900,0.07800,1182.05900,9.95300,197.50900,1796.80800
2014-03-31,283.28400,496.99700,67.77700,,945.66800,94.20800,624.32300,93.51400,812.04500,1757.71300,1266.62100,132.50000,121.86900,254.36900,1520.99000,0.07800,1129.01900,8.55200,236.72300,1757.71300
2013-12-31,423.99000,490.92300,63.68200,,1084.88200,91.75900,525.31000,81.63100,698.70000,1783.58200,1159.92300,136.25000,126.09300,262.34300,1422.26600,0.07800,1091.28300,8.34500,361.31600,1783.58200
2013-09-30,374.52100,392.17400,91.07000,,935.15500,90.19800,526.09000,76.95500,693.24300,1628.39800,1043.99300,140.00000,122.77000,262.77000,1306.76300,0.07800,1029.86500,6.73400,321.63500,1628.39800
2013-06-30,333.36300,432.01100,80.10000,,923.35800,89.41500,524.97800,76.03600,690.42900,1613.78700,1014.84000,143.75000,126.50300,270.25300,1285.09300,0.07800,991.67100,2.35800,328.69400,1613.78700
2013-03-31,269.06300,441.40500,81.64300,,875.04000,88.50800,527.00200,76.84500,692.35500,1567.39500,975.09200,147.50000,125.64600,273.14600,1248.23800,0.07800,945.15700,2.76300,319.15700,1567.39500
2012-12-31,299.85200,463.96800,75.71300,,927.46600,89.08900,531.32700,73.39500,693.81100,1621.27700,1070.00000,115.00000,129.60400,244.60400,1314.60400,0.07800,908.48200,5.96800,306.67300,1621.27700
2012-09-30,255.39100,370.95100,89.76600,,781.97800,80.34400,532.34200,84.48400,697.17000,1479.14800,968.89300,120.00000,128.79000,248.79000,1217.68300,0.07800,849.65900,8.67300,261.46500,1479.14800
2012-06-30,150.53100,389.41400,78.09500,,686.35000,77.79500,529.05400,86.91600,693.76500,1380.11500,908.35700,130.00000,126.76700,256.76700,1165.12400,0.07800,818.28400,3.62300,214.99100,1380.11500
