,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,456.00000,1148.00000,253.00000,150.00000,2007.00000,32156.00000,3694.00000,1028.00000,36878.00000,38885.00000,2649.00000,14479.00000,1759.00000,23503.00000,26152.00000,230.00000,10697.00000,-351.00000,12733.00000,38885.00000
2022-09-30,1214.00000,1151.00000,276.00000,74.00000,2715.00000,31838.00000,3686.00000,1067.00000,36591.00000,39306.00000,2798.00000,14463.00000,1828.00000,23484.00000,26282.00000,233.00000,10987.00000,-377.00000,13024.00000,39306.00000
2022-06-30,1259.00000,1208.00000,289.00000,101.00000,2857.00000,31787.00000,3671.00000,1021.00000,36479.00000,39336.00000,2609.00000,14449.00000,1843.00000,23573.00000,26182.00000,236.00000,11116.00000,-388.00000,13154.00000,39336.00000
2022-03-31,1571.00000,1070.00000,264.00000,110.00000,3015.00000,31657.00000,3697.00000,992.00000,36346.00000,39361.00000,3147.00000,13691.00000,1845.00000,22753.00000,25900.00000,240.00000,11412.00000,-394.00000,13461.00000,39361.00000
2021-12-31,839.00000,976.00000,218.00000,134.00000,2167.00000,31653.00000,3707.00000,966.00000,36326.00000,38493.00000,2521.00000,13287.00000,1879.00000,22331.00000,24852.00000,242.00000,11586.00000,-402.00000,13641.00000,38493.00000
2021-09-30,1465.00000,945.00000,235.00000,77.00000,2722.00000,31429.00000,3684.00000,769.00000,35882.00000,38604.00000,2410.00000,13274.00000,1944.00000,22307.00000,24717.00000,244.00000,11990.00000,-571.00000,13887.00000,38604.00000
2021-06-30,1670.00000,941.00000,246.00000,155.00000,3012.00000,31355.00000,3658.00000,729.00000,35742.00000,38754.00000,2796.00000,12669.00000,1937.00000,21641.00000,24437.00000,248.00000,12407.00000,-578.00000,14317.00000,38754.00000
2021-03-31,998.00000,944.00000,241.00000,120.00000,2303.00000,31312.00000,3604.00000,718.00000,35634.00000,37937.00000,2249.00000,12116.00000,1952.00000,21045.00000,23294.00000,251.00000,12737.00000,-586.00000,14643.00000,37937.00000
2020-12-31,1115.00000,848.00000,221.00000,134.00000,2318.00000,31345.00000,3590.00000,709.00000,35644.00000,37962.00000,2160.00000,12102.00000,1987.00000,21011.00000,23171.00000,254.00000,12883.00000,-594.00000,14791.00000,37962.00000
2020-09-30,1359.00000,883.00000,247.00000,90.00000,2579.00000,31239.00000,3566.00000,795.00000,35600.00000,38179.00000,2005.00000,12634.00000,1701.00000,21233.00000,23238.00000,255.00000,12911.00000,-471.00000,14941.00000,38179.00000
2020-06-30,1143.00000,822.00000,257.00000,128.00000,2350.00000,31217.00000,3590.00000,805.00000,35612.00000,37962.00000,1935.00000,12612.00000,1680.00000,21166.00000,23101.00000,256.00000,12863.00000,-475.00000,14861.00000,37962.00000
