,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2417.00000,296.00000,104.00000,163.00000,60.00000,3040.00000,7257.00000,2038.00000,380.00000,9675.00000,14186.00000,4493.00000,3276.00000,305.00000,5877.00000,10370.00000,1.00000,4300.00000,-388.00000,3816.00000,14186.00000
2022-09-30,3150.00000,345.00000,94.00000,221.00000,,3810.00000,6654.00000,2040.00000,422.00000,9116.00000,14531.00000,4709.00000,1889.00000,345.00000,5996.00000,10705.00000,1.00000,4278.00000,-328.00000,3826.00000,14531.00000
2022-06-30,3425.00000,401.00000,93.00000,313.00000,,4232.00000,6471.00000,2041.00000,387.00000,8899.00000,14800.00000,4902.00000,1961.00000,353.00000,6099.00000,11001.00000,1.00000,4238.00000,-308.00000,3799.00000,14800.00000
2022-03-31,2890.00000,658.00000,78.00000,348.00000,,3974.00000,6242.00000,2042.00000,411.00000,8695.00000,14210.00000,4570.00000,2078.00000,363.00000,6003.00000,10573.00000,1.00000,4099.00000,-292.00000,3637.00000,14210.00000
2021-12-31,3116.00000,546.00000,62.00000,120.00000,76.00000,3920.00000,6138.00000,2044.00000,396.00000,8578.00000,13951.00000,3991.00000,3452.00000,378.00000,6159.00000,10150.00000,1.00000,4242.00000,-262.00000,3801.00000,13951.00000
2021-09-30,3195.00000,536.00000,62.00000,208.00000,,4001.00000,6120.00000,2045.00000,346.00000,8511.00000,13882.00000,4024.00000,2225.00000,391.00000,6327.00000,10351.00000,1.00000,4224.00000,-482.00000,3531.00000,13882.00000
2021-06-30,3951.00000,567.00000,52.00000,201.00000,,4771.00000,6128.00000,2046.00000,336.00000,8510.00000,14656.00000,4846.00000,2319.00000,422.00000,6486.00000,11332.00000,1.00000,4030.00000,-487.00000,3324.00000,14656.00000
2021-03-31,3549.00000,517.00000,57.00000,161.00000,,4284.00000,6144.00000,2048.00000,363.00000,8555.00000,14262.00000,4762.00000,2325.00000,482.00000,6625.00000,11387.00000,1.00000,3633.00000,-494.00000,2875.00000,14262.00000
2020-12-31,3346.00000,480.00000,57.00000,123.00000,,4006.00000,6211.00000,2429.00000,,8640.00000,14046.00000,4293.00000,2357.00000,524.00000,6765.00000,11058.00000,1.00000,3764.00000,-494.00000,2988.00000,14046.00000
2020-09-30,3759.00000,321.00000,57.00000,328.00000,,4465.00000,6381.00000,2050.00000,337.00000,8768.00000,14749.00000,4207.00000,2672.00000,476.00000,7088.00000,11295.00000,1.00000,4211.00000,-450.00000,3454.00000,14749.00000
2020-06-30,2803.00000,280.00000,56.00000,105.00000,,3244.00000,6795.00000,2052.00000,339.00000,9186.00000,13998.00000,4120.00000,1549.00000,373.00000,6017.00000,10137.00000,1.00000,4642.00000,-458.00000,3861.00000,13998.00000
2020-03-31,2125.00000,279.00000,68.00000,100.00000,,2572.00000,6854.00000,2053.00000,300.00000,9207.00000,13363.00000,3730.00000,1203.00000,253.00000,5618.00000,9348.00000,1.00000,4856.00000,-482.00000,4015.00000,13363.00000
