,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,745.00000,2282.00000,3604.00000,1545.00000,,8175.00000,6247.00000,,36753.00000,1955.00000,44955.00000,53129.00000,7625.00000,14268.00000,20032.00000,27657.00000,365.00000,15384.00000,-1559.00000,25472.00000,53129.00000
2022-09-30,1167.00000,2191.00000,3224.00000,1559.00000,,8141.00000,6012.00000,,36931.00000,1848.00000,44791.00000,52934.00000,7811.00000,13886.00000,19840.00000,27652.00000,365.00000,15157.00000,-1488.00000,25282.00000,52934.00000
2022-06-30,2774.00000,2218.00000,3163.00000,1392.00000,,9547.00000,6005.00000,,35855.00000,1793.00000,43653.00000,53199.00000,7080.00000,14683.00000,20626.00000,27706.00000,365.00000,15088.00000,-1660.00000,25493.00000,53199.00000
2022-03-31,3335.00000,2303.00000,3258.00000,1256.00000,,10152.00000,6406.00000,,36363.00000,1866.00000,44635.00000,54786.00000,6657.00000,17584.00000,23605.00000,30261.00000,365.00000,14416.00000,-1910.00000,24525.00000,54786.00000
2021-12-31,2055.00000,2177.00000,3035.00000,1040.00000,,8307.00000,6384.00000,,36727.00000,1945.00000,45056.00000,53363.00000,6735.00000,16360.00000,22468.00000,29203.00000,365.00000,14233.00000,-2043.00000,24160.00000,53363.00000
2021-09-30,2404.00000,2350.00000,2743.00000,1048.00000,,8838.00000,6003.00000,,36659.00000,1945.00000,45030.00000,53866.00000,6626.00000,17110.00000,23564.00000,30189.00000,365.00000,13826.00000,-2088.00000,23677.00000,53866.00000
2021-06-30,3305.00000,2078.00000,2947.00000,1207.00000,,9538.00000,6164.00000,,36811.00000,1821.00000,44796.00000,54333.00000,7749.00000,15700.00000,22450.00000,30199.00000,365.00000,13821.00000,-2330.00000,24135.00000,54333.00000
2021-03-31,3922.00000,2118.00000,2895.00000,1065.00000,,10000.00000,6142.00000,,37020.00000,1758.00000,44920.00000,54921.00000,5376.00000,17718.00000,24718.00000,30094.00000,365.00000,13557.00000,-2329.00000,24826.00000,54921.00000
2020-12-31,3464.00000,2370.00000,2814.00000,889.00000,,9537.00000,6096.00000,,37315.00000,1801.00000,45212.00000,54748.00000,7021.00000,16082.00000,23065.00000,30085.00000,365.00000,13522.00000,-2414.00000,24663.00000,54748.00000
2020-09-30,2937.00000,2398.00000,2743.00000,891.00000,,8969.00000,5923.00000,,37433.00000,1687.00000,45043.00000,54012.00000,5836.00000,17224.00000,24412.00000,30247.00000,365.00000,12791.00000,-2548.00000,23765.00000,54012.00000
2020-06-30,2986.00000,1993.00000,2945.00000,903.00000,,8827.00000,5841.00000,,37658.00000,1632.00000,45131.00000,53959.00000,6067.00000,17090.00000,23870.00000,29937.00000,365.00000,12916.00000,-2367.00000,24022.00000,53959.00000
2020-03-31,2445.00000,2160.00000,2793.00000,1156.00000,,8555.00000,5664.00000,,37788.00000,1509.00000,44961.00000,53516.00000,8755.00000,16809.00000,23809.00000,32565.00000,347.00000,12868.00000,-2419.00000,20951.00000,53516.00000
2019-12-31,617.00000,2074.00000,2760.00000,987.00000,,6438.00000,5782.00000,,38160.00000,1573.00000,45515.00000,51952.00000,6726.00000,16949.00000,24024.00000,30750.00000,347.00000,12938.00000,-2202.00000,21202.00000,51952.00000
2019-09-30,620.00000,2345.00000,2579.00000,1119.00000,,6664.00000,5659.00000,,38354.00000,1088.00000,45101.00000,51765.00000,5655.00000,18081.00000,25029.00000,30684.00000,347.00000,12913.00000,-2283.00000,21081.00000,51765.00000
2019-06-30,606.00000,2220.00000,2629.00000,1326.00000,,6781.00000,5550.00000,,38839.00000,1063.00000,45452.00000,52233.00000,6237.00000,18016.00000,24499.00000,30736.00000,347.00000,12997.00000,-1897.00000,21497.00000,52233.00000
2019-03-31,777.00000,2279.00000,2627.00000,1161.00000,,6844.00000,5473.00000,,39220.00000,1061.00000,45754.00000,52598.00000,7108.00000,17556.00000,24181.00000,31289.00000,347.00000,12792.00000,-1839.00000,21309.00000,52598.00000
2018-12-31,1046.00000,2216.00000,2522.00000,1157.00000,,6941.00000,5362.00000,,39567.00000,1062.00000,45991.00000,52932.00000,7145.00000,17817.00000,24384.00000,31528.00000,347.00000,13018.00000,-1927.00000,21404.00000,52932.00000
