,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,9622.00000,4783.00000,456.00000,,14861.00000,121.00000,684.00000,234.00000,1177.00000,16038.00000,7978.00000,1987.00000,218.00000,2500.00000,10478.00000,,-5965.00000,-32.00000,,5560.00000,16038.00000
2022-09-30,9629.10500,4805.38200,432.03600,,14866.52000,118.45900,684.68100,252.70900,1210.06600,16076.59000,8015.32700,1985.65900,212.26700,2521.12700,10536.45000,0.06300,-5783.40300,-41.87100,,5540.13600,16076.59000
2022-06-30,9910.24700,7465.51000,449.89200,,17825.65000,118.05600,691.84410,258.94400,1233.47700,19059.13000,11287.17000,1984.61800,207.32900,2526.93600,13814.10000,0.06400,-5997.69200,-24.03000,,5245.02500,19059.13000
2022-03-31,9337.05600,6104.65300,319.73800,,15761.45000,142.72900,698.53700,202.61900,1306.99500,17068.44000,9773.78200,1983.57800,214.75800,2557.24400,12331.03000,0.06400,-6376.53300,-12.41500,,4737.41600,17068.44000
2021-12-31,8322.00000,3715.00000,349.00000,,12386.00000,157.00000,705.00000,188.00000,1322.00000,13708.00000,6359.00000,1983.00000,219.00000,2574.00000,8933.00000,,-6358.00000,-7.00000,,4775.00000,13708.00000
2021-09-30,7935.46700,3940.49400,344.95600,,12220.92000,173.87600,711.62000,195.53200,1361.08600,13582.00000,6559.31400,1981.49600,208.33500,2573.75500,9133.06900,0.06200,-6412.24200,-3.15200,,4448.93400,13582.00000
2021-06-30,7442.70300,6301.69500,351.58400,,14095.98000,193.25000,718.20700,188.29900,1388.82800,15484.81000,9496.35000,1980.45500,202.62200,2595.25900,12091.61000,0.06200,-7246.13500,0.00700,,3393.20100,15484.81000
2021-03-31,6589.22100,4014.87600,322.54400,,10926.64000,210.95300,723.34200,177.12100,1412.43600,12339.08000,6573.19200,1979.39800,204.30500,2606.46200,9179.65400,0.06100,-7177.91800,-2.20000,,3159.42300,12339.08000
2020-12-31,6425.10400,2181.32900,309.95400,,8916.38600,270.19400,731.68700,189.16400,1575.11300,10491.50000,5139.77900,1815.56200,203.47000,2449.93700,7589.71600,0.06000,-6005.70700,2.63900,,2901.78300,10491.50000
2020-09-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2020-06-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2020-03-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2019-12-31,3074.38800,3145.45700,,341.59800,6561.44300,480.00800,755.00000,306.80900,1541.81700,8310.11900,5233.76400,,271.16400,3502.66600,9117.80400,0.02600,-1420.99100,,-4.41000,-807.68500,8310.11900
2018-12-31,3329.30800,2305.01100,,240.21300,5874.53200,453.11900,318.61700,110.53200,882.26790,6613.08900,3736.01000,,162.88500,3394.38700,7130.39700,0.02600,-768.88800,,-7.91200,-517.30800,6613.08900
2017-12-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
