,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,162157.00000,232545.00000,3311.00000,144181.00000,19314.00000,28602.00000,195408.00000,427953.00000,349879.00000,28177.00000,10001.00000,38330.00000,388209.00000,14.00000,37660.00000,-6627.00000,39744.00000,427953.00000
2022-06-30,180895.00000,250609.00000,3354.00000,150844.00000,20205.00000,27609.00000,202012.00000,452621.00000,373622.00000,28130.00000,9724.00000,38008.00000,411630.00000,14.00000,37644.00000,-5307.00000,40991.00000,452621.00000
2022-03-31,201936.00000,270284.00000,3359.00000,153396.00000,20430.00000,26342.00000,203527.00000,473811.00000,395475.00000,25558.00000,10626.00000,36339.00000,431814.00000,14.00000,37088.00000,-3881.00000,41997.00000,473811.00000
2021-12-31,171342.00000,239390.00000,3431.00000,158705.00000,20503.00000,22409.00000,205048.00000,444438.00000,367646.00000,26680.00000,6721.00000,33562.00000,401208.00000,14.00000,36667.00000,-2213.00000,43230.00000,444438.00000
2021-09-30,200119.00000,264678.00000,3422.00000,157274.00000,20361.00000,24798.00000,205855.00000,470533.00000,391875.00000,25810.00000,8796.00000,34784.00000,426659.00000,14.00000,36125.00000,-2003.00000,43874.00000,470533.00000
2021-06-30,198061.00000,261831.00000,3442.00000,155906.00000,20451.00000,25333.00000,205132.00000,466963.00000,386463.00000,26080.00000,8626.00000,34875.00000,421338.00000,14.00000,35540.00000,-1670.00000,45625.00000,466963.00000
2021-03-31,200425.00000,261315.00000,3521.00000,155844.00000,20452.00000,23852.00000,203669.00000,464984.00000,385227.00000,25698.00000,8656.00000,34541.00000,419768.00000,14.00000,34822.00000,-1819.00000,45216.00000,464984.00000
2020-12-31,211506.00000,268127.00000,3602.00000,156441.00000,20508.00000,20955.00000,201506.00000,469633.00000,389662.00000,26334.00000,7517.00000,34027.00000,423689.00000,14.00000,34241.00000,-985.00000,45944.00000,469633.00000
2020-09-30,172037.00000,227692.00000,3617.00000,155339.00000,20383.00000,21367.00000,200706.00000,428398.00000,347835.00000,26541.00000,8675.00000,35395.00000,383230.00000,14.00000,33821.00000,-1359.00000,45168.00000,428398.00000
2020-06-30,186337.00000,241972.00000,3598.00000,154682.00000,20298.00000,21766.00000,200344.00000,442316.00000,356283.00000,29194.00000,12873.00000,42224.00000,398507.00000,14.00000,33224.00000,-1943.00000,43809.00000,442316.00000
2020-03-31,214579.00000,277383.00000,3514.00000,139273.00000,20310.00000,27675.00000,190772.00000,468155.00000,386312.00000,29038.00000,11426.00000,40604.00000,426916.00000,14.00000,32601.00000,-2827.00000,41239.00000,468155.00000
2019-12-31,158436.00000,213891.00000,3625.00000,123033.00000,20493.00000,20466.00000,167617.00000,381508.00000,304067.00000,28100.00000,7613.00000,35856.00000,339923.00000,14.00000,31894.00000,-2638.00000,41585.00000,381508.00000
2019-09-30,149849.00000,205199.00000,3149.00000,122340.00000,20372.00000,22108.00000,167969.00000,373168.00000,293195.00000,28692.00000,9811.00000,38650.00000,331845.00000,14.00000,30789.00000,-2893.00000,41323.00000,373168.00000
2019-06-30,160577.00000,213485.00000,2970.00000,120142.00000,20497.00000,24074.00000,167683.00000,381168.00000,301287.00000,30124.00000,7922.00000,38182.00000,339469.00000,14.00000,30081.00000,-2688.00000,41699.00000,381168.00000
