,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,7471.00000,763.00000,1056.00000,9290.00000,1238.00000,1797.00000,4262.00000,581.00000,11560.00000,20850.00000,4271.00000,7721.00000,1042.00000,11426.00000,15697.00000,2.00000,34315.00000,259.00000,5153.00000,20850.00000
2022-09-30,3494.00000,633.00000,1162.00000,5289.00000,1194.00000,4388.00000,4058.00000,497.00000,13808.00000,19097.00000,3974.00000,6579.00000,1028.00000,10270.00000,14244.00000,2.00000,33766.00000,340.00000,4853.00000,19097.00000
2022-06-30,3225.00000,605.00000,1237.00000,5067.00000,1173.00000,5065.00000,4113.00000,467.00000,14586.00000,19653.00000,3972.00000,6579.00000,1011.00000,10438.00000,14410.00000,2.00000,33960.00000,323.00000,5243.00000,19653.00000
2022-03-31,5569.00000,626.00000,1154.00000,7349.00000,1192.00000,5961.00000,4141.00000,543.00000,15631.00000,22980.00000,4982.00000,6578.00000,1184.00000,10944.00000,15926.00000,2.00000,34615.00000,342.00000,7054.00000,22980.00000
2021-12-31,7323.00000,681.00000,1107.00000,9111.00000,1236.00000,7966.00000,4178.00000,591.00000,17515.00000,26626.00000,4622.00000,7727.00000,1183.00000,12226.00000,16848.00000,2.00000,36090.00000,398.00000,9778.00000,26626.00000
2021-09-30,14561.00000,660.00000,2535.00000,17756.00000,1225.00000,933.00000,4141.00000,1567.00000,11501.00000,29257.00000,5296.00000,7727.00000,1161.00000,13016.00000,18312.00000,2.00000,34230.00000,522.00000,10945.00000,29257.00000
2021-06-30,17220.00000,622.00000,2219.00000,20061.00000,1257.00000,1323.00000,4215.00000,1255.00000,11762.00000,31823.00000,5063.00000,8331.00000,1156.00000,13744.00000,18807.00000,2.00000,34086.00000,560.00000,13016.00000,31823.00000
2021-03-31,3367.00000,1364.00000,1960.00000,6691.00000,1321.00000,1059.00000,4596.00000,1139.00000,12040.00000,18731.00000,5130.00000,5855.00000,1251.00000,9831.00000,14961.00000,2.00000,23476.00000,553.00000,3770.00000,18731.00000
2020-12-31,3493.00000,652.00000,780.00000,7190.00000,1292.00000,833.00000,4297.00000,1182.00000,12120.00000,19310.00000,4002.00000,7740.00000,1260.00000,11747.00000,15749.00000,2.00000,22961.00000,616.00000,3561.00000,19310.00000
2020-09-30,3660.00000,477.00000,2602.00000,6739.00000,1301.00000,663.00000,4556.00000,914.00000,11682.00000,18421.00000,3840.00000,7738.00000,1264.00000,11661.00000,15501.00000,2.00000,22230.00000,411.00000,2920.00000,18421.00000
2020-06-30,5303.00000,845.00000,1246.00000,7394.00000,1364.00000,832.00000,4966.00000,719.00000,12620.00000,20014.00000,4692.00000,8161.00000,1264.00000,12420.00000,17112.00000,2.00000,21681.00000,321.00000,2902.00000,20014.00000
