,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,90604.00000,114238.00000,,204842.00000,3687.00000,332840.00000,20874.00000,15320.00000,372721.00000,577563.00000,519678.00000,20844.00000,20844.00000,540522.00000,21.00000,29651.00000,-23152.00000,37041.00000,577563.00000
2022-06-30,118016.00000,115694.00000,,233710.00000,3670.00000,365394.00000,21026.00000,13757.00000,403847.00000,637557.00000,571932.00000,21112.00000,21112.00000,593044.00000,21.00000,28174.00000,-16022.00000,44513.00000,637557.00000
2022-03-31,145571.00000,121277.00000,,266848.00000,3499.00000,377335.00000,21179.00000,12089.00000,414102.00000,680950.00000,610979.00000,21873.00000,21873.00000,632852.00000,21.00000,26895.00000,-11045.00000,48098.00000,680950.00000
2021-12-31,116924.00000,125201.00000,,242125.00000,3442.00000,390054.00000,21331.00000,10318.00000,425145.00000,667270.00000,592095.00000,18914.00000,18914.00000,611009.00000,21.00000,25992.00000,-1109.00000,56261.00000,667270.00000
2021-09-30,76623.00000,118123.00000,,194746.00000,3164.00000,376968.00000,21484.00000,11186.00000,412802.00000,607548.00000,530576.00000,19530.00000,19530.00000,550106.00000,21.00000,24880.00000,1253.00000,57442.00000,607548.00000
2021-06-30,70256.00000,111140.00000,,181396.00000,3136.00000,359622.00000,21638.00000,8740.00000,393136.00000,574532.00000,498374.00000,18708.00000,18708.00000,517082.00000,21.00000,23809.00000,2408.00000,57450.00000,574532.00000
2021-03-31,88605.00000,100132.00000,,188737.00000,3054.00000,342006.00000,21790.00000,7870.00000,374720.00000,563457.00000,490165.00000,17698.00000,17698.00000,507863.00000,21.00000,23029.00000,878.00000,55594.00000,563457.00000
2020-12-31,90747.00000,88253.00000,,179000.00000,2883.00000,337400.00000,21943.00000,7783.00000,370009.00000,549009.00000,479317.00000,13632.00000,13632.00000,492949.00000,21.00000,21975.00000,5394.00000,56060.00000,549009.00000
2020-09-30,57044.00000,47727.00000,,104771.00000,2346.00000,303758.00000,2995.00000,5485.00000,314584.00000,419355.00000,380188.00000,7836.00000,7836.00000,388024.00000,15.00000,21261.00000,5686.00000,31331.00000,419355.00000
2020-06-30,66762.00000,42292.00000,,109054.00000,2314.00000,281216.00000,3011.00000,4889.00000,291430.00000,400484.00000,361143.00000,8526.00000,8526.00000,369669.00000,15.00000,20876.00000,5611.00000,30815.00000,400484.00000
2020-03-31,102767.00000,38522.00000,,141289.00000,2291.00000,221232.00000,1227.00000,4740.00000,229490.00000,370779.00000,335987.00000,8522.00000,8522.00000,344509.00000,15.00000,20487.00000,3995.00000,26270.00000,370779.00000
2019-12-31,49828.00000,39979.00000,,89807.00000,2128.00000,196128.00000,1355.00000,4587.00000,204198.00000,294005.00000,264830.00000,7430.00000,7430.00000,272260.00000,15.00000,19960.00000,88.00000,21745.00000,294005.00000
2019-09-30,36416.00000,39281.00000,497.00000,76194.00000,2017.00000,196677.00000,1227.00000,2872.00000,202793.00000,278987.00000,250206.00000,7427.00000,7427.00000,257633.00000,15.00000,19374.00000,144.00000,21354.00000,278987.00000
2019-06-30,38345.00000,38530.00000,538.00000,77413.00000,1909.00000,192974.00000,1227.00000,2798.00000,198908.00000,276321.00000,247577.00000,7424.00000,7424.00000,255001.00000,15.00000,18680.00000,99.00000,21320.00000,276321.00000
2019-03-31,46482.00000,37655.00000,521.00000,84658.00000,1813.00000,192425.00000,1227.00000,2692.00000,198157.00000,282815.00000,254361.00000,6829.00000,6829.00000,261190.00000,15.00000,18017.00000,-71.00000,21625.00000,282815.00000
2018-12-31,41501.00000,38260.00000,,79761.00000,1769.00000,210587.00000,1227.00000,3138.00000,216721.00000,296482.00000,268934.00000,6878.00000,6878.00000,275812.00000,15.00000,17329.00000,-252.00000,20670.00000,296482.00000
2018-09-30,30317.00000,39773.00000,500.00000,70590.00000,1683.00000,196510.00000,1227.00000,2092.00000,201512.00000,272102.00000,245478.00000,5790.00000,5790.00000,251268.00000,15.00000,16615.00000,-304.00000,20834.00000,272102.00000
2018-06-30,24262.00000,39945.00000,525.00000,64732.00000,1599.00000,192314.00000,1320.00000,1917.00000,197150.00000,261882.00000,235996.00000,5789.00000,5789.00000,241785.00000,15.00000,15903.00000,-278.00000,20097.00000,261882.00000
