,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,17824.00000,4240.00000,1802.00000,3993.00000,27859.00000,3236.00000,2735.00000,44331.00000,7226.00000,57528.00000,85387.00000,19353.00000,20487.00000,3180.00000,29110.00000,48463.00000,16403.00000,-1259.00000,-28.00000,36924.00000,85387.00000
2022-09-30,19971.00000,3952.00000,2668.00000,3614.00000,30205.00000,3223.00000,2136.00000,42852.00000,7085.00000,55296.00000,85501.00000,20853.00000,20200.00000,3535.00000,29067.00000,49920.00000,16116.00000,-2369.00000,-35.00000,35581.00000,85501.00000
2022-06-30,18839.00000,3881.00000,2667.00000,3584.00000,28971.00000,3146.00000,2240.00000,44070.00000,6983.00000,56439.00000,85410.00000,20309.00000,20546.00000,3387.00000,29618.00000,49927.00000,14960.00000,-1267.00000,-23.00000,35483.00000,85410.00000
2022-03-31,14411.00000,3767.00000,2295.00000,3618.00000,24091.00000,3120.00000,2296.00000,45149.00000,7152.00000,57717.00000,81808.00000,18702.00000,17479.00000,3557.00000,27117.00000,45819.00000,14651.00000,-405.00000,-120.00000,35989.00000,81808.00000
2021-12-31,17065.00000,3956.00000,1267.00000,3618.00000,25906.00000,2908.00000,2087.00000,43827.00000,7201.00000,56023.00000,81929.00000,18568.00000,17673.00000,3416.00000,27167.00000,45735.00000,14606.00000,-72.00000,-111.00000,36194.00000,81929.00000
2021-09-30,19406.00000,3726.00000,856.00000,3619.00000,27607.00000,2715.00000,1705.00000,43622.00000,7247.00000,55289.00000,82896.00000,15739.00000,19978.00000,3462.00000,29568.00000,45307.00000,15351.00000,436.00000,-133.00000,37589.00000,82896.00000
2021-06-30,20134.00000,3515.00000,851.00000,3542.00000,28042.00000,2707.00000,1111.00000,44044.00000,6767.00000,54629.00000,82671.00000,14023.00000,20996.00000,3622.00000,30858.00000,44881.00000,15294.00000,601.00000,-24.00000,37790.00000,82671.00000
2021-03-31,19446.00000,3225.00000,849.00000,3381.00000,26901.00000,2684.00000,110.00000,43803.00000,6697.00000,53294.00000,80195.00000,12711.00000,20974.00000,3602.00000,29788.00000,42499.00000,15513.00000,372.00000,-41.00000,37696.00000,80195.00000
2020-12-31,18935.00000,3342.00000,729.00000,3274.00000,26280.00000,2713.00000,161.00000,44714.00000,6558.00000,54146.00000,80426.00000,12390.00000,21055.00000,3959.00000,30357.00000,42747.00000,14813.00000,1154.00000,-34.00000,37679.00000,80426.00000
2020-09-30,20942.00000,2882.00000,757.00000,3064.00000,27645.00000,2737.00000,231.00000,43718.00000,6588.00000,53274.00000,80919.00000,14510.00000,21071.00000,3891.00000,30199.00000,44709.00000,14088.00000,354.00000,-39.00000,36210.00000,80919.00000
