,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2019-12-31,184.60000,467.50000,60.90000,31.90000,744.90000,548.10000,5263.20000,270.60000,6310.30000,7055.20000,1491.80000,2651.60000,86.90000,3302.60000,4794.40000,0.10000,4228.40000,-486.90000,,2260.80000,7055.20000
2019-09-30,311.80000,428.80000,71.90000,18.50000,831.00000,586.50000,4508.20000,130.60000,5458.10100,6289.10000,973.60000,2668.40000,48.90000,3251.80000,4225.40000,0.10000,4136.60000,-678.40000,,2063.70000,6289.10000
2019-06-30,153.30000,468.00000,62.40000,26.60000,710.30000,566.50000,4594.60000,120.90000,5523.70000,6234.00000,920.80000,2447.20000,83.70000,3102.50000,4023.30000,0.10000,4145.30000,-592.20000,,2210.70000,6234.00000
2019-03-31,179.50000,444.60000,59.80000,51.00000,734.90000,557.70000,4680.70000,116.80000,5606.20000,6341.10000,1058.40000,2443.30000,84.20000,3112.20000,4170.60000,0.10000,4036.00000,-532.30000,,2170.50000,6341.10000
2018-12-31,139.50000,390.40000,63.90000,50.70000,644.50000,555.90000,4589.30000,99.50000,5255.80000,5900.30000,1324.60000,2050.50000,104.00000,2505.10000,3829.70000,0.10000,3942.60000,-591.90000,,2070.60000,5900.30000
2018-09-30,151.60000,336.10000,59.40000,46.60000,593.70000,518.50000,4593.40000,130.10000,5257.40000,5851.10000,1219.20000,2044.90000,104.20000,2490.70000,3709.90000,0.10000,3796.40000,-509.60000,,2141.20000,5851.10000
2018-06-30,135.80000,370.20000,61.10000,58.00000,625.10000,501.90000,4662.20000,234.70000,5414.50000,6039.60000,1466.30000,2044.20000,105.90000,2499.70000,3966.00000,0.10000,3630.40000,-474.20000,,2073.60000,6039.60000
2018-03-31,153.60000,432.20000,52.60000,70.20000,708.60000,489.00000,4810.80000,221.90000,5538.30000,6246.90000,1558.10000,2041.10000,106.90000,2504.50000,4062.60000,0.10000,3476.90000,-309.30000,,2184.30000,6246.90000
2017-12-31,142.30000,374.30000,38.10000,42.90000,597.60000,478.30000,4714.00000,214.50000,5422.70000,6020.30000,1337.60000,2284.40000,135.10000,2757.30000,4094.90000,0.10000,3308.00000,-412.30000,,1925.40000,6020.30000
2017-09-30,145.70000,320.10000,42.40000,36.50000,544.70000,437.80000,4445.00000,183.80000,5083.50000,5628.20000,1203.10000,2278.80000,89.60000,2752.50000,3955.60000,0.10000,3103.40000,-443.30000,,1672.60000,5628.20000
2017-06-30,144.30000,318.50000,39.20000,20.80000,522.80000,403.50000,3785.80000,170.20000,4375.90000,4898.70000,737.20000,2276.60000,81.50000,2695.60000,3432.80000,0.10000,2982.70000,-526.40000,,1465.90000,4898.70000
2017-03-31,158.60000,302.00000,25.00000,28.20000,513.80000,377.80000,3680.50000,160.80000,4234.90000,4748.70000,672.40000,2281.00000,80.30000,2690.70000,3363.10000,0.10000,2861.70000,-616.90000,,1385.60000,4748.70000
2016-12-31,138.50000,313.20000,28.90000,20.30000,500.90000,380.30000,3588.90000,145.50000,4130.30000,4631.20000,621.60000,2280.20000,74.80000,2677.20000,3298.80000,0.10000,2752.90000,-650.80000,,1332.40000,4631.20000
2016-09-30,168.24400,241.17500,28.61600,26.26600,464.30100,355.86700,3701.26700,121.09200,4220.75000,4685.05100,556.49000,2279.44300,54.06100,2653.13100,3209.62100,0.13700,2643.67800,-518.93400,,1475.43000,4685.05100
2016-06-30,199.77400,247.07400,30.87000,19.19900,496.91700,334.63100,3734.20300,119.77800,4228.14600,4725.06300,615.16600,2273.03200,57.73000,2660.03300,3275.19900,0.13700,2516.10100,-457.14300,,1449.86400,4725.06300
2016-03-31,135.29000,305.87300,30.82800,114.79200,586.78300,341.98900,3895.38400,598.80300,4872.36400,5459.14700,1416.87900,2271.87900,122.96200,2751.80300,4168.68200,0.13700,2254.36500,-316.77700,,1290.46500,5459.14700
2015-12-31,141.90000,299.60000,34.10000,129.00000,604.60000,350.30000,3998.10000,607.80000,4989.10000,5593.70000,1479.30000,2270.90000,127.40000,2742.40000,4221.70000,0.10000,2161.70000,-242.00000,,1372.00000,5593.70000
2015-09-30,172.45500,311.20900,46.12900,83.20000,617.76200,391.62500,4535.05100,43.41400,5001.33500,5619.09700,1540.75800,2292.89200,54.50100,2764.70300,4305.46100,0.13700,2047.96900,-179.41700,,1313.63600,5619.09700
2015-06-30,149.21600,332.56100,37.47800,85.96200,609.98700,386.09300,4713.20700,39.35000,5165.67600,5775.66300,1710.05300,2293.86400,47.98500,2821.28800,4531.34100,0.13700,1916.15500,-83.87300,-0.10400,1244.32200,5775.66300
2015-03-31,156.70200,239.43000,29.74100,23.35000,453.99300,303.82900,1599.47900,24.47500,1950.50600,2404.49900,709.77000,1100.35800,43.09500,1363.00700,2072.77700,0.13700,1752.83500,-80.05800,-0.13500,331.72200,2404.49900
2014-12-31,43.16000,286.18000,31.49600,18.87500,384.48300,302.27300,1613.62200,26.36300,1960.84700,2345.33000,771.27000,1100.87400,43.38800,1363.01700,2134.28700,0.13700,1654.14900,-80.51400,-0.16100,211.04300,2345.33000
2014-09-30,436.22000,218.82300,31.15000,14.38300,705.65200,281.34700,1590.93400,27.25500,1972.04800,2677.70000,561.34000,1136.20500,43.28800,1390.37600,1951.71600,0.13700,1556.77900,-42.86100,-0.19700,725.98400,2677.70000
2014-06-30,423.28500,206.47300,37.18300,32.54600,704.56300,272.87500,1605.12100,24.05900,1970.71400,2675.27700,608.74300,1135.64500,43.91700,1390.24900,1998.99200,0.13700,1457.76400,-42.37700,-0.23000,676.28500,2675.27700
2014-03-31,431.29400,180.95000,26.40700,35.47800,679.20400,251.73100,1619.34200,24.92600,1960.80000,2640.00400,515.64000,1270.99200,44.42500,1524.83800,2040.47800,0.13700,1369.66500,-42.82200,-0.27000,599.52600,2640.00400
2013-12-31,169.71200,225.89300,25.65700,48.50600,474.84500,233.37300,1629.29900,105.97900,2029.60600,2504.45100,431.17900,1271.43900,40.57200,1525.68300,1956.86200,0.13700,1254.10700,-43.48800,-0.30600,547.58900,2504.45100
2013-09-30,184.71700,209.95800,25.98600,28.70900,461.33000,219.11600,1722.02700,27.39900,1968.54200,2429.87200,456.63800,1271.17000,45.17400,1490.23200,1946.87000,0.13700,1166.88400,-86.59200,-0.37100,483.00200,2429.87200
2013-06-30,176.84100,240.56200,31.04800,34.69500,493.60900,185.92800,1735.80300,24.01100,1945.74200,2439.35100,585.13600,1266.91000,52.13800,1488.71000,2073.84600,0.13700,1070.44300,-88.33800,-0.40200,365.50500,2439.35100
2013-03-31,272.49900,205.99700,31.95500,31.62900,552.54300,167.12900,1751.98900,44.68600,1963.80400,2516.34700,650.42200,1266.46700,74.48400,1513.40100,2163.82300,0.13700,986.23800,-88.92700,-0.44200,352.52400,2516.34700
2012-12-31,94.70200,224.40500,21.94600,39.10900,390.55900,154.08400,1768.39400,47.29900,1969.77700,2360.33600,585.35000,1266.16200,78.19000,1519.39500,2104.74500,0.13700,905.72700,-89.16000,-0.48300,255.59100,2360.33600
2012-09-30,102.66500,184.05800,25.38700,33.61300,361.33700,144.79900,1750.40700,46.89000,1942.09600,2303.43300,668.25700,1301.68300,82.79900,1493.12800,2161.38500,0.13700,807.42800,-76.85300,-0.54400,142.04800,2303.43300
2012-06-30,101.98000,204.95000,28.49200,46.46000,397.49500,133.73100,1298.31700,23.80000,1455.84800,1853.34300,612.25900,1054.39500,62.50600,1194.40200,1806.66100,0.13700,724.51700,-77.35400,-0.59100,46.68200,1853.34300
2012-03-31,119.89800,218.28700,28.61900,39.53600,419.84000,124.78100,1309.04000,38.38200,1472.20300,1892.04300,567.55600,1099.28500,80.04300,1334.74500,1902.30100,0.13700,651.18600,-77.40300,-0.64800,-10.25800,1892.04300
2011-12-31,196.66900,190.01400,21.90500,41.24800,453.65400,119.41100,936.36800,21.19300,1087.45200,1541.10600,349.65000,1100.33200,61.86600,1289.94600,1639.59600,0.13700,576.58500,-78.28700,-0.69100,-98.49000,1541.10600
2011-09-30,57.67400,158.55000,23.59100,28.26800,271.76400,110.32800,945.09400,27.69900,1108.16900,1379.93300,506.00100,853.58000,79.80600,1032.80500,1538.80600,0.13700,496.26700,-53.65600,-0.77900,-158.87300,1379.93300
2011-06-30,57.32100,179.30500,26.01500,29.15500,295.47700,107.64500,953.89100,28.32600,1112.61200,1408.08900,511.60000,854.49900,80.23200,1040.92900,1552.52900,0.13700,425.28000,-53.50800,-0.83600,-144.44000,1408.08900
2011-03-31,106.84100,167.98100,25.49000,7.70500,311.69800,100.77400,824.44200,26.19600,974.73300,1286.43100,492.47000,700.52000,89.60500,903.05200,1395.52200,0.13600,359.70300,-54.83700,-0.91700,-109.09100,1286.43100
2010-12-31,60.62700,151.27000,17.79100,7.06600,240.43500,93.40900,832.89700,26.69700,976.65510,1217.09000,720.88200,401.82600,90.21300,610.65000,1331.53200,0.13500,293.82700,-55.80300,-0.98800,-114.44200,1217.09000
2010-09-30,112.60500,143.15600,18.04000,7.56600,285.77200,83.57100,597.35300,11.72800,763.63900,1049.41100,392.97800,401.87900,78.66800,594.28890,987.26700,0.13200,227.93400,-50.95200,-1.10400,62.14400,1049.41100
2010-06-30,111.89400,139.54500,21.68400,7.96200,285.49000,86.25300,602.22400,10.44800,767.77800,1053.26800,323.60900,476.76700,80.83100,676.08400,999.69300,0.13200,165.05400,-52.18400,-1.16700,53.57500,1053.26800
2010-03-31,136.53800,132.89600,21.13000,20.88000,315.84900,88.27200,601.53100,11.14600,769.83000,1085.67900,325.13200,527.07600,81.21900,732.29500,1057.42700,0.13000,106.65000,-52.68500,-1.24100,28.25200,1085.67900
2009-12-31,76.97200,106.15700,16.15500,21.65600,225.34500,89.16500,599.35500,10.29500,771.60800,996.95300,300.27900,527.50900,76.96000,731.62300,1031.90200,0.13000,51.27500,-53.62800,-1.30500,-34.94900,996.95300
2009-09-30,65.91200,111.00200,16.72900,22.63000,220.76300,87.22900,607.58300,12.37900,798.61300,1019.37600,391.31900,527.89400,1139.32900,1826.57600,2217.89300,0.10000,-439.06200,-75.56100,,-1198.51700,1019.37600
2009-06-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2009-03-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
