,cash-on-hand,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,34363.00000,356657.00000,147771.00000,14410.00000,38425.00000,200606.00000,557263.00000,452044.00000,58713.00000,694.00000,59407.00000,511451.00000,2714.00000,53572.00000,-10172.00000,45812.00000,557263.00000
2022-09-30,46826.00000,358771.00000,144581.00000,14193.00000,41932.00000,200706.00000,559477.00000,457439.00000,54633.00000,682.00000,55315.00000,512754.00000,2714.00000,52777.00000,-10486.00000,46723.00000,559477.00000
2022-06-30,36986.00000,344515.00000,141173.00000,13524.00000,41574.00000,196271.00000,540786.00000,456433.00000,35984.00000,681.00000,36665.00000,493098.00000,2714.00000,51841.00000,-8358.00000,47688.00000,540786.00000
2022-03-31,56348.00000,347753.00000,140209.00000,13124.00000,40160.00000,193493.00000,541246.00000,464820.00000,26571.00000,639.00000,27210.00000,492030.00000,2713.00000,51058.00000,-5731.00000,49216.00000,541246.00000
2021-12-31,82254.00000,367989.00000,141142.00000,12734.00000,35326.00000,189202.00000,557191.00000,470019.00000,30784.00000,662.00000,31446.00000,501465.00000,2713.00000,50228.00000,409.00000,55726.00000,557191.00000
2021-09-30,84321.00000,371317.00000,133343.00000,12718.00000,36137.00000,182198.00000,553515.00000,463101.00000,33471.00000,646.00000,34117.00000,497218.00000,2713.00000,49541.00000,1079.00000,56297.00000,553515.00000
2021-06-30,81171.00000,372372.00000,134064.00000,12751.00000,35025.00000,181840.00000,554212.00000,464069.00000,34813.00000,645.00000,35458.00000,499527.00000,2713.00000,48663.00000,1463.00000,54685.00000,554212.00000
2021-03-31,93616.00000,327882.00000,104641.00000,10997.00000,30894.00000,146532.00000,474414.00000,386998.00000,33030.00000,507.00000,33537.00000,420535.00000,2713.00000,48113.00000,1290.00000,53879.00000,474414.00000
2020-12-31,92190.00000,330354.00000,94851.00000,10475.00000,30999.00000,136325.00000,466679.00000,374859.00000,37195.00000,584.00000,37779.00000,412638.00000,2713.00000,46848.00000,2770.00000,54041.00000,466679.00000
2020-09-30,77588.00000,322903.00000,96123.00000,10346.00000,32445.00000,138914.00000,461817.00000,365708.00000,42110.00000,689.00000,42799.00000,408507.00000,2712.00000,45947.00000,2997.00000,53310.00000,461817.00000
