,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2017-06-30,113.20000,1442.30000,546.30000,261.40000,3485.80000,538.30000,1.30000,1264.60000,457.10000,2498.50000,5984.30000,1541.90000,1592.30000,583.60000,2415.70000,3957.60000,18.60000,3411.70000,-353.40000,2026.70000,5984.30000
2017-03-31,96.10000,1630.60000,526.40000,248.00000,3554.20000,535.10000,1.00000,1235.40000,475.20000,2482.10000,6036.30000,1488.80000,1790.40000,606.30000,2656.10000,4144.90000,18.60000,3359.10000,-425.50000,1891.40000,6036.30000
2016-12-31,64.20000,1692.50000,478.90000,232.10000,2849.20000,538.10000,1.00000,1218.60000,454.70000,3290.10000,6139.30000,1438.20000,1798.80000,573.90000,2708.10000,4146.30000,18.60000,3505.50000,-478.40000,1993.00000,6139.30000
2016-09-30,130.70000,1603.40000,817.40000,252.60000,2804.10000,1031.00000,1.10000,1647.80000,457.20000,3405.70000,6209.80000,1308.80000,1913.30000,559.20000,2780.30000,4089.10000,18.60000,3511.80000,-381.50000,2120.70000,6209.80000
2016-06-30,93.60000,1627.60000,881.90000,296.00000,2899.10000,1025.90000,2.80000,1646.70000,430.40000,3383.10000,6282.20000,1354.10000,1988.90000,567.80000,2886.20000,4240.30000,18.60000,3454.20000,-406.90000,2041.90000,6282.20000
2016-03-31,64.30000,1769.20000,854.90000,266.80000,2955.20000,1027.80000,2.80000,1670.50000,451.50000,3435.20000,6390.40000,1451.30000,1986.20000,580.20000,2935.80000,4387.10000,18.60000,3411.10000,-394.10000,2003.30000,6390.40000
2015-12-31,78.60000,1851.40000,800.20000,241.70000,2971.90000,1016.40000,2.50000,1613.10000,435.10000,3354.00000,6325.90000,1453.30000,2036.30000,560.60000,2964.30000,4417.60000,18.60000,3385.00000,-457.30000,1908.30000,6325.90000
2015-09-30,173.70000,1689.60000,906.10000,251.30000,3238.10000,1082.80000,3.70000,1581.20000,333.10000,3208.90000,6447.00000,1455.00000,2048.50000,376.20000,2837.40000,4292.40000,18.60000,3611.20000,-432.70000,2154.60000,6447.00000
2015-06-30,477.50000,1865.50000,1041.10000,268.90000,3805.70000,1112.80000,4.80000,1572.30000,334.00000,3269.50000,7075.20000,1980.60000,2050.90000,399.90000,2886.30000,4866.90000,18.60000,3635.70000,-399.90000,2208.30000,7075.20000
2015-03-31,105.20000,1537.40000,640.80000,287.30000,3329.60000,902.60000,4.70000,557.60000,281.50000,1982.10000,5311.70000,2015.60000,1150.90000,392.30000,1826.70000,3842.30000,18.60000,2915.50000,-409.20000,1469.40000,5311.70000
