,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,46876.40000,93791.20000,469.20000,52229.10000,679.00000,12671.10000,66048.40000,159839.60000,140627.20000,3775.70000,4406.30000,8182.00000,148809.20000,408.60000,13806.30000,-1785.00000,11030.40000,159839.60000
2022-06-30,46761.90000,90099.70000,476.60000,55130.50000,690.00000,11389.50000,67686.60000,157786.30000,138378.10000,4399.90000,3938.60000,8338.50000,146716.60000,408.60000,13586.10000,-1510.60000,11069.70000,157786.30000
2022-03-31,63321.80000,104592.80000,486.00000,58084.40000,702.00000,8699.80000,67972.20000,172565.00000,153480.60000,3484.40000,4190.20000,7674.60000,161155.20000,408.60000,13342.60000,-907.00000,11409.80000,172565.00000
2021-12-31,70275.09000,112546.30000,488.70000,61575.00000,706.20000,8573.60000,71343.50000,183889.80000,164044.30000,3651.20000,4177.50000,7828.70000,171873.00000,408.60000,13117.30000,-35.60000,12016.80000,183889.80000
2021-09-30,58035.50000,99291.10000,493.60000,58830.70000,705.50000,9764.80000,69794.60000,169085.70000,148115.80000,3966.20000,5104.90000,9071.10000,157186.90000,408.60000,12862.40000,114.00000,11898.80000,169085.70000
2021-06-30,63829.00000,103086.70000,496.50000,58519.30000,709.40000,9479.20000,69204.40000,172291.10000,151880.10000,4479.10000,4108.90000,8588.00000,160468.10000,408.60000,12630.90000,194.70000,11823.00000,172291.10000
2021-03-31,57748.39000,93887.20000,496.70000,60015.00000,704.00000,8821.20000,70036.90000,163924.10000,142981.60000,4434.90000,5049.70000,9484.60000,152466.20000,408.60000,12415.60000,65.90000,11457.90000,163924.10000
2020-12-31,65862.70000,100583.80000,514.90000,59813.10000,707.20000,8384.90000,69420.10000,170003.90000,148189.50000,4589.50000,5536.60000,10126.10000,158315.60000,408.60000,12207.70000,428.00000,11688.30000,170003.90000
2020-09-30,48270.50000,83110.60000,510.00000,59305.00000,698.00000,8458.40000,68971.40000,152082.00000,130834.30000,5129.30000,4539.30000,9668.60000,140502.90000,408.60000,12118.30000,424.50000,11579.10000,152082.00000
2020-06-30,51037.10000,86646.30000,501.00000,55210.80000,690.60000,8384.20000,64786.60000,151432.90000,130283.20000,5145.40000,4622.10000,9767.50000,140050.70000,408.60000,11988.40000,370.40000,11382.20000,151432.90000
2020-03-31,56853.00000,96649.80000,490.20000,52077.40000,689.30000,11802.50000,65059.40000,161709.20000,141851.80000,4142.20000,4835.50000,8977.70000,150829.50000,408.60000,11828.10000,45.00000,10879.70000,161709.20000
2019-12-31,43935.40000,76086.20000,483.30000,51160.80000,696.80000,8401.30000,60742.20000,136828.40000,116908.00000,3998.80000,4830.60000,8829.40000,125737.40000,408.60000,11656.70000,-194.70000,11091.00000,136828.40000
2019-09-30,32037.00000,64877.70000,400.50000,50408.00000,687.20000,7982.40000,59478.10000,124355.80000,105530.00000,4034.90000,3979.60000,8014.50000,113544.50000,408.60000,11441.20000,-91.00000,10811.30000,124355.80000
2019-06-30,37756.70000,69939.30000,407.50000,48218.70000,682.00000,7303.40000,56611.60000,126550.90000,108490.00000,3990.80000,3264.60000,7255.40000,115745.40000,408.60000,11225.50000,-159.80000,10805.50000,126550.90000
2019-03-31,32910.40000,65483.80000,411.50000,49201.20000,683.00000,6089.90000,56385.60000,121869.40000,104285.50000,3427.50000,3540.20000,6967.70000,111253.20000,408.60000,10972.90000,-345.30000,10616.20000,121869.40000
2018-12-31,40091.50000,74115.00000,428.20000,51242.80000,669.30000,5757.20000,58097.50000,132212.50000,115161.00000,3401.30000,3141.90000,6543.20000,121704.20000,408.60000,10776.80000,-453.70000,10508.30000,132212.50000
2018-09-30,42183.80000,74959.60000,417.20000,50576.50000,672.70000,5752.50000,57418.90000,132378.50000,115227.30000,3370.30000,3416.40000,6786.70000,122014.00000,408.60000,10496.30000,-526.90000,10364.50000,132378.50000
2018-06-30,43899.80000,78273.10000,428.80000,49409.60000,673.50000,6321.20000,56833.10000,135106.20000,118363.30000,3185.80000,3199.50000,6385.30000,124748.60000,408.60000,10262.50000,-508.10000,10357.60000,135106.20000
2018-03-31,42002.50000,74567.50000,442.60000,48592.60000,611.60000,5457.90000,55104.70000,129672.20000,113367.80000,3197.60000,2880.80000,6078.40000,119446.20000,408.60000,9973.80000,-505.70000,10226.00000,129672.20000
2017-12-31,51933.90000,86041.91000,464.60000,46791.10000,605.60000,4687.30000,52548.61000,138590.50000,121562.00000,3224.30000,3588.00000,6812.30000,128374.30000,408.60000,9685.10000,-414.30000,10216.20000,138590.50000
2017-09-30,46679.60000,81139.41000,462.50000,44655.90000,526.50000,4615.90000,50260.80000,131400.20000,114529.00000,3438.00000,3268.00000,6706.00000,121235.00000,408.60000,9431.20000,-335.10000,10165.20000,131400.20000
2017-06-30,41696.80000,76749.10000,463.30000,43415.70000,523.10000,4454.50000,48856.60000,125605.70000,108986.40000,3446.10000,3105.30000,6551.40000,115537.80000,408.60000,9247.50000,-338.90000,10067.90000,125605.70000
2017-03-31,37791.70000,72661.40000,459.90000,43936.00000,519.30000,3912.10000,48827.30000,121488.70000,105409.30000,3096.00000,3005.70000,6101.70000,111511.00000,408.60000,9074.40000,-352.00000,9977.70000,121488.70000
2016-12-31,38781.40000,73486.20000,466.60000,44500.90000,519.40000,4953.80000,50440.70000,123926.90000,107439.70000,3104.90000,3611.90000,6716.80000,114156.50000,408.60000,8908.40000,-370.00000,9770.40000,123926.90000
2016-09-30,35024.00000,70240.50000,438.80000,44689.60000,524.40000,4191.70000,49844.50000,120085.00000,104154.00000,3174.70000,3176.50000,6351.20000,110505.20000,408.60000,8736.10000,-259.70000,9579.80000,120085.00000
2016-06-30,37205.40000,73787.50000,434.00000,41003.00000,527.80000,5757.30000,47722.10000,121509.60000,105996.00000,3192.40000,3369.70000,6562.10000,112558.10000,408.60000,8566.30000,-239.60000,8951.50000,121509.60000
2016-03-31,36721.20000,72573.20000,437.80000,39199.80000,523.60000,5064.40000,45225.60000,117798.80000,102439.80000,3179.60000,3346.60000,6526.20000,108966.00000,408.60000,8394.80000,-283.90000,8832.80000,117798.80000
2015-12-31,38601.60000,73745.70000,446.90000,37566.20000,526.40000,4464.40000,43003.89000,116749.60000,101822.10000,3146.00000,3075.60000,6221.60000,108043.70000,408.60000,8242.80000,-372.70000,8705.90000,116749.60000
2015-09-30,41929.00000,76983.59000,427.70000,36938.20000,529.70000,5116.00000,43011.60000,119995.20000,104844.50000,3168.90000,3197.30000,6366.20000,111210.70000,408.60000,8093.70000,-273.70000,8784.50000,119995.20000
2015-06-30,41313.10000,76043.80000,436.50000,38826.40000,534.30000,4101.90000,43899.10000,119942.90000,104391.90000,3136.80000,3664.90000,6801.70000,111193.60000,408.60000,7949.80000,-273.70000,8749.30000,119942.90000
