,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,2220.10000,1939.10000,399.70000,129.60000,,4688.50000,10623.70000,1314.60000,1163.20000,870.40000,14812.70000,19501.20000,1806.90000,3245.20000,1881.00000,5970.60000,7777.50000,249.40000,14537.20000,-2478.20000,11723.70000,19501.20000
2019-12-31,2406.10000,1814.70000,400.60000,98.30000,,4719.70000,10692.20000,1339.90000,1232.00000,784.60000,14931.90000,19651.60000,1819.00000,3265.60000,1826.70000,5902.80000,7721.80000,249.40000,14356.90000,-2088.60000,11929.80000,19651.60000
2019-09-30,2414.70000,1737.90000,388.30000,77.40000,,4618.30000,10337.60000,1276.20000,1216.60000,604.10000,14324.50000,18942.80000,1820.90000,3227.40000,1712.40000,5733.60000,7554.50000,249.40000,14138.40000,-2375.60000,11388.30000,18942.80000
2019-06-30,2696.80000,1712.90000,408.30000,97.20000,,4915.20000,10427.60000,1290.40000,1261.50000,698.80000,14616.70000,19531.90000,2155.20000,3273.30000,1553.60000,5650.10000,7805.30000,249.40000,13891.90000,-1781.40000,11726.60000,19531.90000
2019-03-31,2738.50000,1646.00000,408.30000,102.40000,,4895.20000,10193.80000,1279.30000,1230.50000,671.00000,14349.30000,19244.50000,2073.00000,3302.20000,1560.50000,5668.10000,7741.10000,249.40000,13662.00000,-1744.80000,11503.40000,19244.50000
2018-12-31,2935.60000,1676.00000,403.40000,74.90000,,5089.90000,9959.80000,1242.40000,1197.30000,666.70000,14052.10000,19142.00000,2303.50000,3314.60000,1551.60000,5635.10000,7938.60000,249.40000,13497.90000,-1811.20000,11203.40000,19142.00000
2018-09-30,2976.00000,1580.50000,396.10000,129.60000,,5082.20000,9923.70000,1277.20000,1227.40000,654.50000,14096.10000,19178.30000,2338.30000,3351.70000,1536.90000,5663.70000,8002.00000,249.40000,13409.90000,-1741.90000,11176.30000,19178.30000
2018-06-30,2993.80000,1541.60000,322.10000,104.10000,93.90000,5055.50000,9902.00000,1259.30000,1243.10000,687.90000,14150.50000,19206.00000,2109.80000,3775.80000,1831.80000,6286.20000,8396.00000,249.40000,13200.20000,-1877.80000,10810.00000,19206.00000
2018-03-31,3203.90000,1622.80000,339.90000,131.20000,98.50000,5396.30000,8817.70000,1305.60000,1259.40000,603.60000,13114.80000,18511.10000,1752.30000,3442.40000,1923.50000,6065.60000,7817.90000,249.40000,12966.50000,-1535.30000,10693.20000,18511.10000
2017-12-31,3129.70000,1605.10000,347.40000,177.70000,85.40000,5355.50000,8631.90000,1258.00000,1219.90000,617.50000,12853.30000,18208.80000,1831.60000,3414.90000,1921.90000,6056.00000,7887.60000,249.40000,12792.30000,-1695.60000,10321.20000,18208.80000
2017-09-30,3677.60000,1577.30000,335.40000,191.40000,84.80000,5876.70000,8440.20000,1286.90000,1089.80000,641.80000,12590.50000,18467.20000,2489.00000,3402.40000,1611.90000,5792.70000,8281.70000,249.40000,12846.60000,-1847.40000,10185.50000,18467.20000
