,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,402.51600,672.20400,70.17700,1144.89700,93.51200,254.67600,,348.18800,1559.74700,457.72100,83.28600,541.00700,0.12300,1068.66200,-60.08700,,1018.74000,1559.74700
2022-06-30,375.11700,705.29200,65.04800,1145.45700,93.25500,260.39600,,353.65100,1567.71000,481.35300,85.55500,566.90800,0.12300,1035.72300,-39.83900,,1000.80200,1567.71000
2022-03-31,450.62900,796.64700,29.30900,1276.58500,95.30200,266.40900,,361.71100,1707.48500,597.55300,86.39100,683.94400,0.12300,995.19200,-18.38100,,1023.54100,1707.48500
2021-12-31,592.97200,472.22700,27.06600,1092.26500,96.06100,271.16600,,367.22700,1530.45200,400.71800,88.42500,489.14300,0.12300,956.96600,-13.33000,,1041.30900,1530.45200
2021-09-30,518.61600,619.60700,30.94800,1169.17100,95.57500,274.58600,,370.16100,1611.91800,466.65600,89.96300,556.61900,0.12300,929.85300,-10.59300,,1055.29900,1611.91800
2021-06-30,499.55800,562.86400,33.70900,1096.13100,93.10800,274.77800,,367.88600,1537.92300,424.79800,91.26500,516.06300,0.12300,896.97700,-5.44400,,1021.86000,1537.92300
2021-03-31,465.30600,652.40900,25.94300,1143.65800,88.65500,238.33300,,326.98800,1545.86900,464.88600,92.75000,557.63600,0.12300,854.74700,-6.58200,,988.23300,1545.86900
2020-12-31,539.02800,359.49200,29.03900,927.55900,85.20400,242.74200,,327.94600,1331.42900,282.75600,93.61200,376.36800,0.12300,799.36900,-4.65000,,955.06100,1331.42900
2020-09-30,391.67500,462.55900,26.19100,880.42500,82.07400,206.26100,,288.38700,1245.50400,254.25700,93.70800,347.96500,0.12200,749.21100,-10.59900,,897.53900,1245.50400
2020-06-30,535.52000,99.22200,41.10200,675.84400,78.46100,206.94600,,285.44000,1039.21700,91.03200,94.70100,185.73300,0.12200,704.21900,-14.15100,,853.48400,1039.21700
2020-03-31,499.42800,93.57200,20.28900,613.28900,74.92600,207.67900,,282.66300,975.60300,81.41900,96.30100,177.72000,0.12200,643.12900,-14.62000,,797.88300,975.60300
2019-12-31,500.60100,62.01700,31.27100,593.88900,71.79500,207.84700,,279.64200,954.93000,86.84800,97.99100,184.83900,0.12200,591.08600,-10.27000,,770.09100,954.93000
2019-09-30,556.15200,72.81200,18.59100,647.55500,66.53100,62.38700,,132.08100,855.02600,68.37200,92.03100,160.40300,0.12200,560.16400,-12.80400,,694.62300,855.02600
2019-06-30,518.07400,66.33200,22.59700,607.00300,64.20600,62.48300,,128.28400,812.00900,60.38900,89.71200,150.10100,0.12200,525.43000,-11.45800,,661.90800,812.00900
2019-03-31,483.41100,70.94600,17.21900,571.57600,61.04700,62.57900,,125.04300,774.80900,52.81800,90.84500,143.66300,0.12200,496.56200,-10.81700,,631.14600,774.80900
2018-12-31,486.42700,57.53500,22.46800,566.43000,63.01000,62.67500,,129.10900,695.53900,87.66100,,87.66100,0.12200,463.25200,-12.39400,,607.87800,695.53900
2018-09-30,446.18600,62.00400,18.59400,526.78400,54.32000,62.77100,,119.34700,646.13100,67.51300,,67.51300,0.12100,433.22700,-12.03300,,578.61800,646.13100
2018-06-30,420.27700,61.88300,21.03000,503.19000,50.08800,62.86700,,114.40800,617.59800,60.22000,,60.22000,0.12100,410.41900,-11.52300,,557.37800,617.59800
