,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,893.00000,17498.00000,1484.00000,19875.00000,1924.00000,2390.00000,48697.00000,1868.00000,55765.00000,75640.00000,18724.00000,20847.00000,1160.00000,25934.00000,44658.00000,8.00000,16594.00000,-1539.00000,30982.00000,75640.00000
2022-06-30,883.00000,17873.00000,1525.00000,20281.00000,1804.00000,2517.00000,49845.00000,1916.00000,56931.00000,77212.00000,19351.00000,20915.00000,1179.00000,26052.00000,45403.00000,8.00000,16113.00000,-1005.00000,31809.00000,77212.00000
2022-03-31,863.00000,16151.00000,1429.00000,18443.00000,1729.00000,2579.00000,49980.00000,1899.00000,57027.00000,75470.00000,17730.00000,20518.00000,1097.00000,25762.00000,43492.00000,8.00000,15515.00000,-640.00000,31978.00000,75470.00000
2021-12-31,835.00000,16512.00000,1523.00000,18870.00000,1742.00000,2561.00000,50442.00000,1823.00000,57379.00000,76249.00000,18295.00000,20729.00000,1103.00000,26282.00000,44577.00000,8.00000,14846.00000,-745.00000,31672.00000,76249.00000
2021-09-30,933.00000,2793.00000,1455.00000,18425.00000,1717.00000,2602.00000,50571.00000,1670.00000,57342.00000,75767.00000,17562.00000,20540.00000,968.00000,25881.00000,43443.00000,8.00000,14442.00000,-649.00000,32324.00000,75767.00000
2021-06-30,841.00000,2663.00000,1278.00000,17727.00000,1650.00000,2590.00000,51379.00000,1675.00000,58049.00000,75776.00000,17251.00000,20425.00000,983.00000,25993.00000,43244.00000,8.00000,14014.00000,-323.00000,32532.00000,75776.00000
2021-03-31,831.00000,14358.00000,1251.00000,16440.00000,1646.00000,3037.00000,51375.00000,1616.00000,58400.00000,74840.00000,15905.00000,20838.00000,963.00000,26349.00000,42254.00000,8.00000,13745.00000,-536.00000,32586.00000,74840.00000
2020-12-31,906.00000,14003.00000,1310.00000,16219.00000,1628.00000,2756.00000,51680.00000,1644.00000,58400.00000,74619.00000,15637.00000,20300.00000,964.00000,25912.00000,41549.00000,8.00000,13441.00000,-387.00000,33070.00000,74619.00000
2020-09-30,937.00000,2323.00000,1362.00000,14025.00000,1630.00000,2772.00000,51557.00000,1741.00000,58347.00000,72372.00000,13263.00000,20894.00000,994.00000,26680.00000,39943.00000,8.00000,13141.00000,-831.00000,32429.00000,72372.00000
2020-06-30,869.00000,2512.00000,1114.00000,17482.00000,1688.00000,2763.00000,52724.00000,1830.00000,59611.00000,77093.00000,16760.00000,21515.00000,1051.00000,27305.00000,44065.00000,8.00000,12877.00000,-644.00000,33028.00000,77093.00000
