,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2018-12-31,2.28700,471.65400,11.07600,59.52800,544.54500,3463.60600,163.18100,27.49700,3654.28400,4198.82900,287.26400,1226.10400,110.79300,1823.40600,2110.67000,47.61000,1607.65800,4.43700,2088.15900,4198.82900
2018-09-30,316.07700,288.61900,12.47600,2.69200,619.86400,3366.23700,157.93400,35.00800,3559.17900,4179.04300,366.09800,1218.84800,110.47300,1718.79800,2084.89600,47.60900,1362.79700,2.11200,2094.14700,4179.04300
2018-06-30,740.99400,222.05700,20.47000,3.89200,987.41300,3225.49300,147.98400,35.82000,3409.29700,4396.71000,590.74400,1218.57200,108.94200,1651.79200,2242.53600,47.60900,1266.92800,2.24800,2154.17400,4396.71000
2018-03-31,964.92800,251.42000,12.44800,7.32200,1236.11800,3146.25200,120.50100,35.53000,3302.28300,4538.40100,510.49100,1218.23100,82.16100,1621.39400,2131.88500,47.60800,1251.56800,2.38300,2406.51600,4538.40100
2017-12-31,480.04700,272.67000,8.00600,4.23400,764.95700,3072.20400,86.07700,804.10600,3962.38700,4727.34400,630.05000,1217.89100,99.07200,1573.38900,2203.43900,47.55500,1162.43000,2.07700,2523.90500,4727.34400
2017-09-30,510.25600,188.65300,12.99700,6.12300,718.02900,4234.77200,148.92000,27.04500,4410.73700,5128.76600,438.23400,1284.55100,96.01300,2045.93800,2484.17200,47.54400,1230.00200,3.48200,2644.59400,5128.76600
2017-06-30,516.53400,193.80600,11.08000,14.40400,735.82400,4202.98500,140.58100,140.06900,4483.63500,5219.45900,234.42200,1521.21100,167.25500,2343.00600,2577.42800,47.54300,1235.54000,0.72600,2642.03100,5219.45900
2017-03-31,537.48500,194.38400,12.09500,4.34900,748.31300,4328.36000,135.98300,31.73200,4496.07500,5244.38800,224.39500,1520.87000,164.32700,2312.81400,2537.20900,47.54100,1237.28900,1.00200,2707.17900,5244.38800
2016-12-31,498.54200,201.34300,13.30400,2.69200,715.88100,4250.12500,129.52400,27.03900,4406.68800,5122.56900,257.81200,1520.53000,160.85400,2297.09000,2554.90200,47.50400,1098.70300,0.98500,2567.66700,5122.56900
2016-09-30,501.19300,136.85900,13.48700,4.10600,655.64500,4722.59800,127.90100,25.77700,4876.27600,5531.92100,196.76300,1520.19000,164.11900,2471.90800,2668.67100,47.50400,1400.76500,-0.31300,2863.25000,5531.92100
2016-06-30,517.49000,122.23500,14.98500,4.52800,659.23800,4762.68000,123.62300,24.92900,4911.23200,5570.47000,228.49000,1519.84900,162.51000,2464.38100,2692.87100,47.50400,1420.32800,-0.33100,2877.59900,5570.47000
2016-03-31,579.31600,105.05800,15.94800,20.36500,720.68700,4837.81400,117.17800,27.02900,4982.02100,5702.70800,199.38200,1583.19200,159.53500,2559.26600,2758.64800,47.48900,1492.53800,-0.36500,2944.06000,5702.70800
2015-12-31,0.51400,124.55200,17.04900,2.67100,144.78600,4976.87900,103.51700,27.85600,5108.25200,5253.03800,235.55200,1996.13900,169.63000,3008.29800,3243.85000,42.37700,1552.01400,-0.36500,2009.18800,5253.03800
2015-09-30,8.77300,135.96100,18.28300,52.40400,215.42100,5141.40400,93.40800,34.43900,5269.25100,5484.67200,265.58500,2017.00000,167.63000,3097.35000,3362.93500,42.37700,1671.41600,-2.15100,2121.73700,5484.67200
2015-06-30,15.23100,138.35400,20.42300,80.98500,254.99300,5132.65500,81.07500,36.19700,5249.92700,5504.92000,278.85200,1995.00000,169.76900,3080.15200,3359.00400,42.37000,1695.20500,-2.15100,2145.91600,5504.92000
2015-03-31,13.94800,185.28100,14.08700,136.08700,349.40300,5058.80400,74.52800,29.58800,5162.92000,5512.32300,402.74600,1877.00000,168.94900,2934.04600,3336.79200,42.35000,1730.98700,-2.15100,2175.53100,5512.32300
2014-12-31,20.95400,239.00900,14.02600,139.45800,413.44700,4925.71100,68.02900,30.52900,5024.26900,5437.71600,499.01800,1752.00000,164.26200,2795.96500,3294.98300,42.29200,1698.99500,-2.15100,2142.73300,5437.71600
2014-09-30,309.98700,191.27000,13.73100,19.23300,587.94600,5130.21300,57.49500,31.61000,5219.31800,5807.26400,432.79100,1612.00000,152.03000,3008.00200,3440.79300,42.29100,1929.02600,-19.19900,2366.47100,5807.26400
2014-06-30,45.61000,212.10000,11.91400,3.52500,306.09600,4825.52400,49.85400,27.44800,4902.82600,5208.92200,362.14700,1193.00000,115.29800,2444.83600,2806.98300,42.29100,1836.57700,-32.16400,2401.93900,5208.92200
2014-03-31,45.14400,245.07300,10.39200,1.41500,373.83000,4710.56900,,61.37600,4771.94500,5145.77500,432.62800,1222.00000,113.48600,2444.35600,2876.98400,42.29100,1726.50400,-45.97100,2268.79100,5145.77500
2013-12-31,51.49400,222.47600,17.46800,5.60600,378.89900,4546.22700,26.89200,29.06200,4602.18100,4981.08000,407.90500,1147.00000,120.10700,2368.57300,2776.47800,42.20100,1627.80500,-8.36100,2204.60200,4981.08000
2013-09-30,27.93200,180.45100,20.83900,60.53400,289.75600,4690.17600,,51.46000,4741.63600,5031.39200,399.27300,1162.00000,113.40100,2303.38500,2702.65800,42.19600,1558.26000,33.24400,2328.73400,5031.39200
2013-06-30,47.27700,212.24300,18.27600,74.53300,403.19300,4558.20700,,56.53600,4614.74300,5017.93600,494.39100,1067.00000,114.49800,2237.30400,2731.69500,21.07600,1496.79500,46.56300,2286.24100,5017.93600
2013-03-31,20.45700,172.66100,11.27800,5.38900,238.88000,4412.77200,,36.18400,4448.95600,4687.83600,447.26400,1052.00000,115.11400,2117.35800,2564.62200,21.07500,1411.88700,-22.29500,2123.21400,4687.83600
2012-12-31,30.73600,172.41900,14.17300,52.98200,270.31000,4310.97700,,35.02600,4346.00300,4616.31300,444.13900,1012.00000,107.19100,2040.72700,2484.86600,42.08600,1373.26400,23.88000,2131.44700,4616.31300
2012-09-30,37.50100,104.81700,17.69600,64.66000,224.67400,4218.92100,,39.34200,4258.26300,4482.93700,412.79000,987.00000,104.54800,1969.86000,2382.65000,21.02400,1336.59400,27.25800,2100.28700,4482.93700
2012-06-30,48.64100,89.16700,11.98500,146.07400,295.86700,4061.67400,,52.65100,4114.32500,4410.19200,340.85900,972.00000,96.50200,1938.00300,2278.86200,20.99800,1304.17800,88.83300,2131.33000,4410.19200
2012-03-31,32.32800,95.12000,12.23000,200.04900,339.72700,4011.20300,,51.86400,4063.06700,4402.79400,322.15400,1012.00000,89.90400,1955.68400,2277.83800,20.98300,1272.43200,117.92500,2124.95600,4402.79400
2011-12-31,29.91100,115.76900,21.27800,178.84200,345.80000,3934.58400,,51.10900,3985.69300,4331.49300,343.34400,950.00000,92.08100,1883.38100,2226.72500,20.90200,1258.29100,104.54700,2104.76800,4331.49300
2011-09-30,62.92800,111.77000,28.29600,107.04300,310.03700,4103.31700,,59.04300,4162.36000,4472.39700,288.97700,1205.00000,110.66100,2140.25000,2429.22700,10.44900,1235.05900,70.02600,2043.17000,4472.39700
2011-06-30,39.31400,125.20700,24.04400,47.27300,235.83800,3967.71600,,46.60600,4014.32200,4250.16000,286.72400,1095.00000,109.75600,1997.23700,2283.96100,10.44700,1209.70500,22.37500,1966.19900,4250.16000
2011-03-31,24.89600,93.90900,20.80600,21.92700,161.53800,3847.04700,,39.82200,3886.86900,4048.40700,241.70200,1055.00000,108.81400,1920.68500,2162.38700,10.44600,1158.15600,-1.75400,1886.02000,4048.40700
2010-12-31,55.94900,94.48800,29.66700,22.90400,203.00800,3762.76000,,39.26300,3802.02300,4005.03100,303.83500,975.00000,104.49000,1828.49600,2132.33100,20.84200,1148.39100,-3.68300,1872.70000,4005.03100
2010-09-30,37.58800,79.43300,32.34200,71.62200,220.98500,3663.18600,,62.53900,3725.72500,3946.71000,304.53900,1020.00000,59.28900,1798.83300,2103.37200,10.41700,1102.40100,19.69700,1843.33800,3946.71000
2010-06-30,47.68500,82.92900,23.53400,94.10900,248.25700,3571.34900,20.63600,29.95800,3621.94300,3870.20000,226.83300,1015.00000,57.70800,1797.46300,2024.29600,10.41400,1101.62200,27.26300,1845.90400,3870.20000
2010-03-31,28.50500,107.57000,17.67100,140.15100,293.89700,3470.03800,20.63600,27.34600,3518.02000,3811.91700,265.30200,915.00000,113.90600,1692.48500,1957.78700,10.41100,1141.04000,,1854.13000,3811.91700
2009-12-31,40.15800,89.27100,27.99000,124.08300,281.50200,3358.19900,,43.70000,3401.89900,3683.40100,308.74100,805.00000,57.51000,1562.14600,1870.88700,10.38600,1057.47200,42.43600,1812.51400,3683.40100
2009-09-30,35.67000,85.71600,36.76900,176.85200,335.00700,3184.30500,20.63600,49.10600,3254.04700,3589.05400,247.17200,790.00000,54.36700,1518.06800,1765.24000,10.38600,1024.21700,92.58900,1823.81400,3589.05400
2009-06-30,29.84800,54.52100,29.51400,256.93900,370.82200,3154.75300,20.63600,77.47300,3252.86200,3623.68400,265.12700,795.00000,50.77400,1522.08500,1787.21200,10.38500,988.43000,158.27300,1836.47200,3623.68400
2009-03-31,25.24900,75.21800,27.61800,328.98900,457.07400,3191.10500,,100.59200,3291.69700,3748.77100,312.31400,840.28600,47.40800,1567.56300,1879.87700,10.38400,966.03800,216.68400,1868.89400,3748.77100
