,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,11227.00000,107637.00000,1718.00000,28734.00000,6794.00000,10337.00000,47583.00000,155220.00000,131743.00000,2284.00000,5242.00000,7526.00000,139269.00000,10.00000,7004.00000,-3343.00000,15951.00000,155220.00000
2022-09-30,15666.00000,110103.00000,1744.00000,28943.00000,6814.00000,10194.00000,47695.00000,157798.00000,135378.00000,2274.00000,4973.00000,7247.00000,142625.00000,10.00000,6531.00000,-3632.00000,15173.00000,157798.00000
2022-06-30,20500.00000,113510.00000,1768.00000,29888.00000,6798.00000,8944.00000,47398.00000,160908.00000,138263.00000,2319.00000,3819.00000,6138.00000,144401.00000,10.00000,6314.00000,-2067.00000,16507.00000,160908.00000
2022-03-31,27945.00000,116887.00000,1794.00000,30248.00000,6582.00000,8571.00000,47195.00000,164082.00000,141022.00000,2343.00000,3735.00000,6078.00000,147100.00000,10.00000,5915.00000,-1214.00000,16982.00000,164082.00000
2021-12-31,29411.00000,117038.00000,1814.00000,29380.00000,6467.00000,8239.00000,45900.00000,162938.00000,139072.00000,2407.00000,3133.00000,5540.00000,144612.00000,10.00000,5550.00000,289.00000,18326.00000,162938.00000
2021-09-30,27507.00000,110587.00000,1805.00000,29931.00000,5692.00000,8138.00000,45566.00000,156153.00000,132039.00000,2451.00000,3040.00000,5491.00000,137530.00000,10.00000,5296.00000,532.00000,18623.00000,156153.00000
2021-06-30,25594.00000,109588.00000,1825.00000,30283.00000,5681.00000,8233.00000,46022.00000,155610.00000,131484.00000,2870.00000,3004.00000,5874.00000,137358.00000,10.00000,4836.00000,651.00000,18252.00000,155610.00000
2021-03-31,24920.00000,109522.00000,1852.00000,28151.00000,5696.00000,8110.00000,43809.00000,153331.00000,129602.00000,2916.00000,2951.00000,5867.00000,135469.00000,10.00000,4235.00000,592.00000,17862.00000,153331.00000
2020-12-31,17956.00000,103306.00000,1897.00000,28276.00000,5608.00000,8302.00000,44083.00000,147389.00000,122479.00000,3569.00000,3230.00000,6799.00000,129278.00000,10.00000,3770.00000,1315.00000,18111.00000,147389.00000
2020-09-30,13473.00000,101090.00000,1896.00000,28197.00000,5583.00000,8414.00000,44090.00000,145180.00000,118445.00000,4919.00000,3912.00000,8831.00000,127276.00000,10.00000,3330.00000,1565.00000,17904.00000,145180.00000
2020-06-30,13198.00000,102965.00000,1929.00000,25153.00000,5579.00000,8444.00000,41105.00000,144070.00000,116779.00000,6408.00000,3255.00000,9663.00000,126442.00000,10.00000,2978.00000,1626.00000,17628.00000,144070.00000
2020-03-31,5255.00000,92708.00000,1935.00000,25071.00000,5197.00000,8631.00000,40834.00000,133542.00000,103180.00000,10105.00000,2925.00000,13030.00000,116210.00000,10.00000,3364.00000,1324.00000,17332.00000,133542.00000
2019-12-31,4114.00000,87207.00000,1960.00000,23938.00000,5295.00000,7840.00000,39033.00000,126240.00000,99525.00000,7879.00000,2541.00000,10420.00000,109945.00000,10.00000,3751.00000,-90.00000,16295.00000,126240.00000
2019-09-30,5067.00000,87909.00000,1944.00000,24361.00000,5263.00000,8670.00000,40238.00000,128147.00000,99706.00000,9128.00000,2732.00000,11860.00000,111566.00000,10.00000,3534.00000,295.00000,16581.00000,128147.00000
2019-06-30,4488.00000,88085.00000,1950.00000,24114.00000,5267.00000,8102.00000,39433.00000,127518.00000,99221.00000,9213.00000,2476.00000,11689.00000,110910.00000,11.00000,3299.00000,-21.00000,16608.00000,127518.00000
2019-03-31,3807.00000,88090.00000,2026.00000,25237.00000,5323.00000,8126.00000,40712.00000,128802.00000,97320.00000,12957.00000,3002.00000,15959.00000,113279.00000,11.00000,3066.00000,-598.00000,15523.00000,128802.00000
2018-12-31,3538.00000,86529.00000,2045.00000,24211.00000,5362.00000,7541.00000,39159.00000,125688.00000,96091.00000,12424.00000,2083.00000,14507.00000,110598.00000,11.00000,2828.00000,-964.00000,15090.00000,125688.00000
2018-09-30,3495.00000,85167.00000,2051.00000,24195.00000,5357.00000,7808.00000,39411.00000,124578.00000,96505.00000,11178.00000,2125.00000,13303.00000,109808.00000,11.00000,2582.00000,-1394.00000,14770.00000,124578.00000
2018-06-30,4286.00000,84763.00000,2050.00000,24503.00000,5422.00000,7819.00000,39794.00000,124557.00000,96683.00000,9890.00000,2207.00000,12097.00000,108780.00000,12.00000,2182.00000,-1255.00000,15777.00000,124557.00000
