,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,195.00000,1175.00000,1304.00000,103.00000,15.00000,3026.00000,22340.00000,70.00000,1481.00000,27346.00000,30372.00000,2488.00000,12755.00000,4992.00000,20380.00000,22868.00000,3.00000,1315.00000,-52.00000,7504.00000,30372.00000
2022-06-30,96.00000,1004.00000,845.00000,167.00000,23.00000,2393.00000,21627.00000,69.00000,1555.00000,26647.00000,29040.00000,2389.00000,11711.00000,4875.00000,19180.00000,21569.00000,3.00000,1286.00000,-52.00000,7471.00000,29040.00000
2022-03-31,474.00000,1052.00000,454.00000,158.00000,34.00000,2459.00000,22540.00000,71.00000,1502.00000,26281.00000,28740.00000,1814.00000,12091.00000,4864.00000,19521.00000,21335.00000,3.00000,1275.00000,-54.00000,7405.00000,28740.00000
2021-12-31,476.00000,943.00000,667.00000,139.00000,46.00000,2627.00000,22352.00000,71.00000,264.00000,26126.00000,28753.00000,2204.00000,12092.00000,4805.00000,19361.00000,21565.00000,3.00000,1057.00000,-59.00000,7188.00000,28753.00000
2021-09-30,132.00000,730.00000,760.00000,130.00000,510.00000,2477.00000,21934.00000,73.00000,3423.00000,28036.00000,30513.00000,3254.00000,12075.00000,6257.00000,20606.00000,23860.00000,3.00000,547.00000,-81.00000,6653.00000,30513.00000
2021-06-30,171.00000,761.00000,539.00000,139.00000,469.00000,2322.00000,21533.00000,71.00000,3403.00000,27631.00000,29953.00000,3114.00000,11778.00000,6467.00000,20473.00000,23587.00000,3.00000,487.00000,-82.00000,6366.00000,29953.00000
2021-03-31,524.00000,856.00000,407.00000,145.00000,30.00000,2513.00000,21207.00000,72.00000,873.00000,27210.00000,29723.00000,2885.00000,13612.00000,4733.00000,20536.00000,23421.00000,3.00000,437.00000,-84.00000,6302.00000,29723.00000
2020-12-31,49.00000,872.00000,576.00000,104.00000,471.00000,2404.00000,21017.00000,70.00000,3503.00000,27262.00000,29666.00000,3074.00000,11800.00000,6585.00000,20515.00000,23589.00000,3.00000,214.00000,-86.00000,6077.00000,29666.00000
2020-09-30,558.00000,669.00000,639.00000,148.00000,9.00000,2494.00000,20630.00000,68.00000,688.00000,26786.00000,29280.00000,2992.00000,13336.00000,4735.00000,20390.00000,23382.00000,3.00000,171.00000,-79.00000,5898.00000,29280.00000
2020-06-30,1604.00000,757.00000,506.00000,162.00000,16.00000,3532.00000,19436.00000,68.00000,707.00000,25049.00000,28581.00000,3123.00000,13481.00000,4705.00000,20207.00000,23330.00000,3.00000,70.00000,-76.00000,5251.00000,28581.00000
2020-03-31,861.00000,909.00000,434.00000,101.00000,25.00000,2817.00000,19144.00000,72.00000,723.00000,24630.00000,27447.00000,2940.00000,12616.00000,4687.00000,19285.00000,22225.00000,3.00000,51.00000,-76.00000,5222.00000,27447.00000
2019-12-31,157.00000,903.00000,605.00000,86.00000,33.00000,2331.00000,18926.00000,71.00000,739.00000,24506.00000,26837.00000,2704.00000,12027.00000,4602.00000,19078.00000,21782.00000,3.00000,-25.00000,-73.00000,5055.00000,26837.00000
2019-09-30,432.00000,657.00000,699.00000,86.00000,13.00000,2305.00000,18524.00000,68.00000,492.00000,23704.00000,26009.00000,2165.00000,12121.00000,4578.00000,18850.00000,21015.00000,3.00000,-83.00000,-67.00000,4994.00000,26009.00000
