,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,757.20000,871.60000,1033.10000,144.80000,3368.90000,512.60000,1320.90000,13.70000,3603.90000,6972.80000,971.60000,1183.80000,85.10000,1497.70000,2469.30000,67.40000,6296.20000,-528.30000,4503.50000,6972.80000
2022-09-30,759.30000,851.80000,955.10000,145.40000,3269.60000,490.10000,1281.90000,170.30000,3565.90000,6835.50000,993.50000,1183.60000,89.30000,1502.50000,2496.00000,67.40000,6144.00000,-582.30000,4339.50000,6835.50000
2022-06-30,812.90000,827.40000,893.30000,150.10000,3230.70000,503.50000,1329.50000,174.10000,3633.60000,6864.30000,986.10000,1183.40000,93.30000,1531.40000,2517.50000,67.40000,5996.20000,-457.70000,4346.80000,6864.30000
2022-03-31,861.10000,833.40000,864.10000,134.70000,3236.00000,513.10000,1373.30000,176.60000,3659.20000,6895.20000,1024.10000,1183.20000,95.10000,1550.50000,2574.60000,67.40000,5841.00000,-350.60000,4320.60000,6895.20000
2021-12-31,780.00000,792.70000,803.80000,134.60000,3053.40000,518.20000,1418.20000,15.60000,3706.30000,6759.70000,982.20000,1182.90000,97.90000,1573.70000,2555.90000,67.40000,5699.90000,-343.90000,4203.80000,6759.70000
2021-09-30,735.50000,771.00000,789.60000,133.40000,2974.30000,520.90000,1420.60000,72.60000,3606.60000,6580.90000,979.70000,1182.70000,98.50000,1531.90000,2511.60000,67.40000,5552.80000,-394.80000,4069.30000,6580.90000
2021-06-30,965.90000,749.30000,760.90000,138.30000,3149.70000,526.10000,1432.80000,74.20000,3641.90000,6791.60000,1222.10000,1182.50000,100.90000,1544.00000,2766.10000,67.40000,5423.50000,-362.70000,4025.50000,6791.60000
2021-03-31,904.60000,758.80000,730.10000,131.60000,3052.50000,519.10000,1416.40000,93.50000,3621.00000,6673.50000,1234.10000,1182.30000,100.90000,1541.50000,2775.60000,67.40000,5282.50000,-388.30000,3897.90000,6673.50000
2020-12-31,923.40000,753.20000,746.50000,129.70000,3083.00000,526.20000,1243.20000,91.70000,3474.30000,6557.30000,1164.90000,1182.10000,97.70000,1545.80000,2710.70000,67.40000,5156.90000,-365.80000,3846.60000,6557.30000
2020-09-30,787.50000,732.20000,764.40000,122.00000,2938.20000,505.40000,1180.10000,56.10000,3329.40000,6267.60000,1117.00000,1181.80000,95.70000,1509.80000,2626.80000,67.40000,5014.90000,-465.60000,3640.80000,6267.60000
2020-06-30,686.20000,661.20000,784.00000,132.50000,2772.40000,509.40000,1165.50000,61.70000,3341.10000,6113.50000,829.40000,1436.70000,96.70000,1775.50000,2604.90000,67.40000,4894.20000,-514.40000,3508.60000,6113.50000
