,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,645.00000,2921.00000,451.00000,4017.00000,36039.00000,99698.00000,4769.00000,140506.00000,144523.00000,12065.00000,96093.00000,4758.00000,119909.00000,131974.00000,-14821.00000,,12549.00000,144523.00000
2022-09-30,480.00000,2841.00000,433.00000,3754.00000,35005.00000,99999.00000,4911.00000,139915.00000,143669.00000,11595.00000,95510.00000,5061.00000,119724.00000,131319.00000,-8816.00000,,12350.00000,143669.00000
2022-06-30,483.00000,2779.00000,476.00000,3738.00000,34472.00000,100290.00000,4758.00000,139520.00000,143258.00000,11395.00000,94468.00000,4759.00000,118350.00000,129745.00000,-10001.00000,,13513.00000,143258.00000
2022-03-31,2431.00000,2530.00000,555.00000,5516.00000,34173.00000,100609.00000,3650.00000,138432.00000,143948.00000,13929.00000,90679.00000,4326.00000,114075.00000,128004.00000,-11472.00000,,15944.00000,143948.00000
2021-12-31,601.00000,2579.00000,386.00000,3566.00000,34310.00000,100968.00000,3647.00000,138925.00000,142491.00000,12458.00000,88564.00000,4217.00000,111877.00000,124335.00000,-12675.00000,,18156.00000,142491.00000
2021-09-30,466.00000,2645.00000,387.00000,3498.00000,34179.00000,101295.00000,3523.00000,138997.00000,142495.00000,12237.00000,85376.00000,4376.00000,108732.00000,120969.00000,-2151.00000,,21526.00000,142495.00000
2021-06-30,1711.00000,2583.00000,388.00000,4682.00000,34206.00000,101663.00000,3475.00000,139344.00000,144026.00000,10038.00000,86962.00000,4262.00000,109902.00000,119940.00000,-3368.00000,,24086.00000,144026.00000
2021-03-31,772.00000,2395.00000,496.00000,3663.00000,34184.00000,102061.00000,3531.00000,139776.00000,143439.00000,9916.00000,83882.00000,4233.00000,106342.00000,116258.00000,-4388.00000,,27181.00000,143439.00000
2020-12-31,1001.00000,2539.00000,369.00000,3909.00000,34357.00000,102491.00000,3449.00000,140297.00000,144206.00000,9875.00000,81744.00000,4198.00000,104050.00000,113925.00000,-5195.00000,,30281.00000,144206.00000
2020-09-30,1283.00000,2068.00000,709.00000,4060.00000,34196.00000,102926.00000,3011.00000,140133.00000,144193.00000,10256.00000,77947.00000,4349.00000,100225.00000,110481.00000,2016.00000,,33712.00000,144193.00000
2020-06-30,2097.00000,1994.00000,674.00000,4765.00000,34074.00000,103362.00000,2935.00000,140371.00000,145136.00000,9142.00000,77663.00000,4141.00000,99593.00000,108735.00000,1202.00000,,36401.00000,145136.00000
2020-03-31,2908.00000,2091.00000,760.00000,5759.00000,34096.00000,103831.00000,2866.00000,140793.00000,146552.00000,13215.00000,74787.00000,4163.00000,96615.00000,109830.00000,436.00000,,36722.00000,146552.00000
2019-12-31,3483.00000,2227.00000,761.00000,6471.00000,34591.00000,104329.00000,2797.00000,141717.00000,148188.00000,12385.00000,75578.00000,3703.00000,96992.00000,109377.00000,40.00000,,38811.00000,148188.00000
2019-09-30,508.00000,2284.00000,596.00000,3388.00000,34218.00000,104832.00000,1726.00000,141879.00000,145267.00000,11982.00000,71390.00000,2773.00000,92763.00000,104745.00000,3734.00000,-2.00000,40522.00000,145267.00000
2019-06-30,696.00000,2070.00000,574.00000,3340.00000,34475.00000,105334.00000,1770.00000,142745.00000,146085.00000,9875.00000,71784.00000,2758.00000,93116.00000,102991.00000,3347.00000,-2.00000,43094.00000,146085.00000
2019-03-31,1451.00000,1578.00000,722.00000,3751.00000,34859.00000,105870.00000,1676.00000,143506.00000,147257.00000,11950.00000,70567.00000,2643.00000,91664.00000,103614.00000,3033.00000,-2.00000,43643.00000,147257.00000
