,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,614.57400,1049.54800,1664.12200,80.83800,4467.45000,261.88000,5023.82300,6687.94500,794.83600,753.57400,102.75600,1027.25800,1822.09400,0.95300,4782.93000,-122.72200,4865.85100,6687.94500
2022-09-30,632.70290,817.17300,1449.87600,77.74800,4271.66100,214.64800,4711.76400,6161.64000,609.69000,753.49500,96.70700,1008.26500,1617.95500,0.95300,4524.98300,-188.48300,4543.68500,6161.64000
2022-06-30,517.63490,809.59000,1327.22500,81.15400,4338.22500,226.34100,4791.35500,6118.58000,624.69900,753.40200,103.28000,1041.12600,1665.82500,0.95300,4429.00800,-126.84700,4452.75500,6118.58000
2022-03-31,657.76500,792.11300,1449.87800,84.67800,4138.95600,227.38300,4603.30500,6053.18300,634.62000,744.57500,96.36000,1054.61200,1689.23200,0.95300,4330.20800,-78.20400,4363.95100,6053.18300
2021-12-31,668.02800,970.54600,1638.57400,87.91400,4172.39000,279.67600,4685.74000,6324.31400,778.49200,753.57600,98.27200,1061.77400,1840.26600,0.95300,4259.22000,-56.11200,4484.04800,6324.31400
2021-09-30,1081.36500,675.32000,1756.68500,90.79300,3768.89100,215.25900,4218.06700,5974.75200,600.43100,753.45100,94.21800,1035.07700,1635.50800,0.95300,4056.04900,-49.12600,4339.24400,5974.75200
2021-06-30,958.20800,664.15600,1622.36400,91.87200,3800.13400,228.20700,4268.40800,5890.77200,595.38500,753.32700,79.98600,1045.16900,1640.55400,0.95300,3970.70700,-32.82200,4250.21800,5890.77200
2021-03-31,987.94300,673.00900,1660.95200,93.20700,3714.14000,201.67500,4157.07600,5818.02800,624.04700,793.51500,76.82200,1082.01200,1706.05900,0.95300,3876.99100,-37.03900,4111.96900,5818.02800
2020-12-31,913.15100,806.08610,1719.23700,96.50300,3733.17100,225.11900,4221.35300,5940.59000,728.82500,798.11800,84.51400,1113.89300,1842.71800,0.95300,3804.59300,-17.77500,4097.87200,5940.59000
2020-09-30,845.20900,613.51200,1458.72100,90.29900,2966.37500,189.22700,3387.57400,4846.29500,561.84700,423.75900,105.40600,694.83500,1256.68200,0.94600,3588.96100,-51.33700,3589.61300,4846.29500
2020-06-30,744.97900,549.28500,1294.26400,88.79200,2955.99300,191.32600,3377.60200,4671.86600,543.80600,423.68300,96.08300,690.01200,1233.81800,0.94600,3513.33400,-79.38500,3438.04800,4671.86600
2020-03-31,718.03000,572.67000,1290.70000,82.47100,2856.82000,152.52100,3235.38500,4526.08500,537.14200,423.60700,96.17300,696.59290,1233.73500,0.94600,3416.77000,-89.67300,3292.35000,4526.08500
2019-12-31,872.38200,683.09800,1555.48000,83.63600,2889.99100,180.03200,3283.40700,4838.88700,695.14000,423.53100,96.42600,690.36800,1385.50800,0.94600,3370.70600,-65.38100,3453.37900,4838.88700
2019-09-30,732.90200,473.32400,1206.22600,70.29500,2039.24000,134.75700,2375.78600,3582.01200,473.83000,,62.48400,184.85800,658.68800,0.93200,3204.85400,-90.14100,2923.32400,3582.01200
2019-06-30,631.69600,501.64900,1133.34500,68.29400,2057.80400,124.38400,2379.49700,3512.84200,505.66600,,62.98800,189.89000,695.55600,0.93200,3115.39100,-69.37900,2817.28600,3512.84200
2019-03-31,607.62800,455.18300,1062.81100,63.30100,2026.55500,97.69900,2309.45200,3372.26300,503.41000,,58.84300,184.47200,687.88200,0.93200,3005.64100,-69.93700,2684.38100,3372.26300
2018-12-31,777.36400,533.81300,1311.17700,61.65500,1783.72700,82.77500,1954.78700,3265.96400,524.76700,,61.57300,91.65000,616.41700,0.93200,2919.41100,-62.37900,2649.54700,3265.96400
2018-09-30,729.39100,398.17600,1127.56700,57.90200,1795.13100,53.22600,1928.54400,3056.11100,415.43900,,62.17100,92.12600,507.56500,0.93200,2766.25900,-60.89100,2548.54600,3056.11100
2018-06-30,696.16300,446.82200,1142.98500,56.50100,1804.93000,39.10100,1915.26500,3058.25000,435.00100,,76.99800,115.77000,550.77100,0.93200,2676.92400,-55.78900,2507.47900,3058.25000
2018-03-31,889.76800,437.56100,1327.32900,55.80600,1525.85400,34.73100,1631.83700,2959.16600,442.09200,,80.86500,109.71400,551.80600,0.93200,2584.32800,-29.60100,2407.36000,2959.16600
2017-12-31,881.78700,388.47900,1270.26600,57.09600,1536.17800,35.97200,1671.35700,2941.62300,608.55300,,85.77800,87.23900,695.79200,0.93200,2316.91600,-37.84400,2245.83100,2941.62300
2017-09-30,926.63500,275.03900,1201.67400,57.16000,1508.44000,33.63300,1644.33900,2846.01300,496.35200,,60.61400,62.40700,558.75900,0.93200,2264.33100,-39.42700,2287.25400,2846.01300
2017-06-30,863.48200,282.19800,1145.68000,53.93000,1496.60700,25.63900,1615.28500,2760.96500,514.78700,,54.48700,56.76300,571.55000,0.93200,2190.70100,-43.57600,2189.41500,2760.96500
2017-03-31,866.55600,315.51300,1182.06900,54.51300,1504.50300,19.12200,1612.62400,2794.69300,528.72600,,52.29500,54.52200,583.24800,0.93200,2120.97100,-50.08300,2211.44500,2794.69300
2016-12-31,822.86000,346.54100,1169.40100,54.67700,1509.83400,24.28700,1631.12500,2800.52600,539.10000,,50.76200,53.02100,592.12100,0.93200,2057.66500,-57.65200,2208.40500,2800.52600
2016-09-30,838.27200,261.87900,1100.15100,55.62800,1518.29900,17.27100,1630.20600,2730.35700,454.43700,,44.49400,46.15500,500.59200,0.93200,1987.68200,-37.89700,2229.76500,2730.35700
