,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2774.00000,20537.00000,20657.00000,675.00000,14.00000,44657.00000,2140.00000,,12207.00000,2033.00000,18033.00000,62690.00000,48006.00000,12094.00000,1804.00000,16773.00000,64779.00000,3.00000,11582.00000,-899.00000,,-2089.00000,62690.00000
2022-09-30,2916.00000,20109.00000,19876.00000,722.00000,2825.00000,46448.00000,2071.00000,,11111.00000,1903.00000,16633.00000,63081.00000,48357.00000,11457.00000,1541.00000,15973.00000,64330.00000,3.00000,10579.00000,-1114.00000,,-1249.00000,63081.00000
2022-06-30,2233.00000,19900.00000,19505.00000,590.00000,3155.00000,45383.00000,2083.00000,,11344.00000,1887.00000,16912.00000,62295.00000,47201.00000,12108.00000,1553.00000,16566.00000,63767.00000,3.00000,9732.00000,-948.00000,,-1472.00000,62295.00000
2022-03-31,3532.00000,18583.00000,18702.00000,898.00000,4516.00000,46231.00000,2092.00000,,11510.00000,1917.00000,17067.00000,63298.00000,48466.00000,12300.00000,1540.00000,16624.00000,65090.00000,2.00000,9030.00000,-1534.00000,,-1792.00000,63298.00000
2021-12-31,2754.00000,18355.00000,19024.00000,831.00000,5534.00000,46498.00000,2064.00000,,11592.00000,1973.00000,17210.00000,63708.00000,47452.00000,12671.00000,1612.00000,17043.00000,64495.00000,2.00000,8734.00000,-1655.00000,,-787.00000,63708.00000
2021-09-30,2151.00000,20140.00000,19342.00000,861.00000,3086.00000,45580.00000,2222.00000,,11858.00000,2173.00000,18021.00000,63601.00000,46075.00000,13092.00000,1564.00000,17613.00000,63688.00000,2.00000,8812.00000,-1665.00000,,-87.00000,63601.00000
2021-06-30,2423.00000,20198.00000,20016.00000,706.00000,7.00000,43350.00000,2549.00000,,12317.00000,2607.00000,19544.00000,62894.00000,43835.00000,14020.00000,1748.00000,19104.00000,62939.00000,2.00000,8618.00000,-1627.00000,,-45.00000,62894.00000
2021-03-31,6278.00000,19181.00000,19246.00000,665.00000,12.00000,45382.00000,2581.00000,,12371.00000,2581.00000,19633.00000,65015.00000,44103.00000,14473.00000,1715.00000,20737.00000,64840.00000,2.00000,8202.00000,-1480.00000,,175.00000,65015.00000
2020-12-31,3577.00000,18877.00000,19211.00000,688.00000,15.00000,42368.00000,2518.00000,,12491.00000,2513.00000,19477.00000,61845.00000,41930.00000,14534.00000,1846.00000,20192.00000,62122.00000,2.00000,7595.00000,-1503.00000,,-277.00000,61845.00000
2020-09-30,3091.00000,19285.00000,18435.00000,701.00000,833.00000,42345.00000,2471.00000,,12444.00000,2403.00000,19213.00000,61558.00000,42724.00000,5848.00000,1669.00000,12744.00000,55468.00000,2.00000,13890.00000,-1597.00000,,6090.00000,61558.00000
2020-06-30,2613.00000,17768.00000,16607.00000,850.00000,844.00000,38682.00000,2392.00000,,12509.00000,2226.00000,18984.00000,57666.00000,38600.00000,6395.00000,1703.00000,13413.00000,52013.00000,2.00000,13384.00000,-1735.00000,,5653.00000,57666.00000
2020-03-31,4015.00000,19950.00000,16734.00000,617.00000,906.00000,42222.00000,2365.00000,,12516.00000,2258.00000,19025.00000,61247.00000,42624.00000,6335.00000,1662.00000,13314.00000,55938.00000,2.00000,13022.00000,-1703.00000,,5309.00000,61247.00000
2019-12-31,2065.00000,18831.00000,17020.00000,618.00000,856.00000,39390.00000,2408.00000,2143.00000,12820.00000,2099.00000,21483.00000,60873.00000,40055.00000,6734.00000,1836.00000,14433.00000,54488.00000,3.00000,12075.00000,-1663.00000,-2.00000,6385.00000,60873.00000
2019-09-30,1356.00000,18984.00000,16356.00000,657.00000,,37353.00000,2493.00000,2167.00000,12897.00000,2082.00000,21641.00000,58994.00000,37145.00000,7342.00000,1950.00000,15157.00000,52302.00000,3.00000,11965.00000,-1704.00000,-2.00000,6692.00000,58994.00000
2019-06-30,1947.00000,19287.00000,16604.00000,590.00000,,38428.00000,2466.00000,3617.00000,13041.00000,2097.00000,23252.00000,61680.00000,37952.00000,7382.00000,2016.00000,15660.00000,53612.00000,3.00000,12770.00000,-1778.00000,-1.00000,8068.00000,61680.00000
2019-03-31,2981.00000,18246.00000,16709.00000,529.00000,,38465.00000,2548.00000,3513.00000,13047.00000,2099.00000,21207.00000,59672.00000,37626.00000,7265.00000,2103.00000,13759.00000,51385.00000,3.00000,12409.00000,-1849.00000,-2.00000,8287.00000,59672.00000
2018-12-31,1849.00000,18932.00000,16951.00000,587.00000,,38319.00000,2503.00000,3566.00000,14439.00000,2184.00000,22692.00000,61011.00000,37424.00000,7616.00000,2195.00000,14198.00000,51622.00000,3.00000,13276.00000,-1826.00000,-2.00000,9389.00000,61011.00000
2018-09-30,2118.00000,19213.00000,16671.00000,542.00000,,38544.00000,2488.00000,3609.00000,14755.00000,2025.00000,22877.00000,61421.00000,38863.00000,6568.00000,2197.00000,13024.00000,51887.00000,3.00000,13354.00000,-1762.00000,-2.00000,9534.00000,61421.00000
2018-06-30,2199.00000,19093.00000,16364.00000,558.00000,,38214.00000,2483.00000,3672.00000,14843.00000,2070.00000,23068.00000,61282.00000,38348.00000,6592.00000,2448.00000,13287.00000,51635.00000,3.00000,12932.00000,-1801.00000,-1.00000,9647.00000,61282.00000
