,cash-on-hand,receivables-total,total-current-assets,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,7993.00000,16046.00000,24039.00000,42450.00000,83867.00000,129315.00000,153354.00000,30396.00000,5223.00000,114478.00000,119701.00000,150097.00000,3.00000,19174.00000,-2794.00000,3257.00000,153354.00000
2022-06-30,7561.00000,16385.00000,23946.00000,40090.00000,91492.00000,134551.00000,158497.00000,26750.00000,4902.00000,122541.00000,127443.00000,154193.00000,3.00000,18767.00000,-1795.00000,4304.00000,158497.00000
2022-03-31,6742.00000,16215.00000,22957.00000,38217.00000,103423.00000,144568.00000,167525.00000,24298.00000,4486.00000,133731.00000,138217.00000,162515.00000,3.00000,18153.00000,-895.00000,5010.00000,167525.00000
2021-12-31,7248.00000,16222.00000,23470.00000,37994.00000,111664.00000,152440.00000,175910.00000,22954.00000,4996.00000,142019.00000,147015.00000,169969.00000,3.00000,17525.00000,259.00000,5941.00000,175910.00000
2021-09-30,7804.00000,15938.00000,23742.00000,35688.00000,108561.00000,146984.00000,170726.00000,21039.00000,4994.00000,138986.00000,143980.00000,165019.00000,3.00000,16955.00000,99.00000,5707.00000,170726.00000
2021-06-30,7216.00000,8078.00000,15294.00000,43356.00000,110403.00000,156409.00000,171703.00000,20030.00000,5391.00000,140596.00000,145987.00000,166017.00000,3.00000,16057.00000,460.00000,5686.00000,171703.00000
2021-03-31,5787.00000,8055.00000,13842.00000,43079.00000,106131.00000,151895.00000,165737.00000,19651.00000,5505.00000,135079.00000,140584.00000,160235.00000,3.00000,15600.00000,317.00000,5502.00000,165737.00000
2020-12-31,6845.00000,7835.00000,14680.00000,42949.00000,105722.00000,151203.00000,165883.00000,19839.00000,4744.00000,135433.00000,140177.00000,160016.00000,3.00000,15292.00000,629.00000,5867.00000,165883.00000
2020-09-30,7668.00000,7392.00000,15060.00000,42640.00000,98537.00000,143627.00000,158687.00000,18788.00000,4734.00000,129098.00000,133832.00000,152620.00000,3.00000,15241.00000,516.00000,6067.00000,158687.00000
2020-06-30,7703.00000,7295.00000,14998.00000,40703.00000,96702.00000,139904.00000,154902.00000,17920.00000,4324.00000,126158.00000,130482.00000,148402.00000,3.00000,15510.00000,394.00000,6500.00000,154902.00000
2020-03-31,8829.00000,7188.00000,16017.00000,38024.00000,89277.00000,129665.00000,145682.00000,18637.00000,3720.00000,116632.00000,120352.00000,138989.00000,3.00000,16180.00000,-295.00000,6693.00000,145682.00000
2019-12-31,3827.00000,7210.00000,11037.00000,39521.00000,98572.00000,140791.00000,151828.00000,16515.00000,4725.00000,124859.00000,129584.00000,146099.00000,3.00000,14279.00000,262.00000,5729.00000,151828.00000
2019-09-30,5392.00000,7348.00000,12740.00000,37375.00000,96772.00000,136773.00000,149513.00000,15420.00000,4771.00000,123325.00000,128096.00000,143516.00000,3.00000,13944.00000,337.00000,5997.00000,149513.00000
2019-06-30,4361.00000,7435.00000,11796.00000,37007.00000,97162.00000,136882.00000,148678.00000,15160.00000,4811.00000,122677.00000,127488.00000,142648.00000,3.00000,13530.00000,269.00000,6030.00000,148678.00000
2019-03-31,3347.00000,7462.00000,10809.00000,35203.00000,95634.00000,133594.00000,144403.00000,13317.00000,5125.00000,120118.00000,125243.00000,138560.00000,3.00000,13172.00000,35.00000,5843.00000,144403.00000
2018-12-31,3097.00000,6185.00000,9282.00000,37531.00000,87627.00000,127934.00000,137216.00000,13608.00000,4610.00000,113410.00000,118020.00000,131628.00000,3.00000,12909.00000,-291.00000,5588.00000,137216.00000
2018-09-30,2478.00000,6047.00000,8525.00000,36920.00000,96914.00000,136666.00000,145191.00000,12826.00000,4240.00000,122507.00000,126747.00000,139573.00000,3.00000,12498.00000,-244.00000,5618.00000,145191.00000
2018-06-30,2582.00000,5930.00000,8512.00000,36594.00000,95394.00000,134756.00000,143268.00000,12378.00000,4291.00000,120967.00000,125258.00000,137636.00000,3.00000,12126.00000,-179.00000,5632.00000,143268.00000
2018-03-31,2201.00000,5880.00000,8081.00000,37431.00000,96532.00000,136681.00000,144762.00000,12050.00000,5055.00000,121817.00000,126872.00000,138922.00000,3.00000,11796.00000,-5.00000,5840.00000,144762.00000
2017-12-31,2620.00000,5787.00000,8407.00000,38056.00000,98341.00000,139073.00000,147480.00000,12478.00000,5097.00000,123910.00000,129007.00000,141485.00000,3.00000,11326.00000,229.00000,5995.00000,147480.00000
2017-09-30,2504.00000,5751.00000,8255.00000,38417.00000,96153.00000,137231.00000,145486.00000,12356.00000,5169.00000,121656.00000,126825.00000,139181.00000,3.00000,11271.00000,312.00000,6305.00000,145486.00000
2017-06-30,2563.00000,5519.00000,8082.00000,38192.00000,94233.00000,135062.00000,143144.00000,12000.00000,5216.00000,119678.00000,124894.00000,136894.00000,3.00000,10897.00000,299.00000,6250.00000,143144.00000
2017-03-31,2177.00000,5372.00000,7549.00000,38020.00000,92645.00000,133308.00000,140857.00000,11986.00000,5252.00000,117392.00000,122644.00000,134630.00000,3.00000,10633.00000,219.00000,6227.00000,140857.00000
2016-12-31,2486.00000,5310.00000,7796.00000,38088.00000,91289.00000,132025.00000,139821.00000,11963.00000,5236.00000,116330.00000,121566.00000,133529.00000,3.00000,10351.00000,200.00000,6292.00000,139821.00000
2016-09-30,3329.00000,5336.00000,8665.00000,38448.00000,93976.00000,134958.00000,143623.00000,11140.00000,5644.00000,120043.00000,125687.00000,136827.00000,3.00000,10098.00000,595.00000,6796.00000,143623.00000
2016-06-30,3050.00000,5190.00000,8240.00000,37870.00000,93974.00000,134444.00000,142684.00000,10669.00000,5201.00000,119725.00000,124926.00000,135595.00000,3.00000,10007.00000,638.00000,7089.00000,142684.00000
2016-03-31,2795.00000,5295.00000,8090.00000,37154.00000,92356.00000,132160.00000,140250.00000,10330.00000,5356.00000,117471.00000,122827.00000,133157.00000,3.00000,9799.00000,442.00000,7093.00000,140250.00000
2015-12-31,2859.00000,5274.00000,8133.00000,40714.00000,93762.00000,137206.00000,145339.00000,10486.00000,10223.00000,116251.00000,126474.00000,136960.00000,3.00000,9662.00000,253.00000,8379.00000,145339.00000
2015-09-30,3570.00000,5289.00000,8859.00000,41723.00000,92104.00000,136461.00000,145320.00000,9743.00000,10945.00000,115811.00000,126756.00000,136499.00000,3.00000,9493.00000,461.00000,8821.00000,145320.00000
2015-06-30,3041.00000,5267.00000,8308.00000,41490.00000,96350.00000,140498.00000,148806.00000,9414.00000,10408.00000,119988.00000,130396.00000,139810.00000,3.00000,9300.00000,500.00000,8996.00000,148806.00000
2015-03-31,3147.00000,5140.00000,8287.00000,41816.00000,98743.00000,143161.00000,151448.00000,9399.00000,9845.00000,122945.00000,132790.00000,142189.00000,3.00000,9031.00000,704.00000,9259.00000,151448.00000
2014-12-31,3028.00000,5027.00000,8055.00000,41730.00000,96417.00000,140755.00000,148810.00000,9387.00000,9929.00000,120189.00000,130118.00000,139505.00000,3.00000,8703.00000,662.00000,9305.00000,148810.00000
2014-09-30,3155.00000,4895.00000,8050.00000,41560.00000,94978.00000,139143.00000,147193.00000,9174.00000,9453.00000,119226.00000,128679.00000,137853.00000,3.00000,8460.00000,746.00000,9340.00000,147193.00000
2014-06-30,2859.00000,4909.00000,7768.00000,41584.00000,97196.00000,141392.00000,149160.00000,8806.00000,9195.00000,121482.00000,130677.00000,139483.00000,3.00000,8163.00000,920.00000,9677.00000,149160.00000
2014-03-31,2899.00000,4714.00000,7613.00000,41303.00000,94418.00000,138351.00000,145964.00000,8739.00000,8866.00000,118914.00000,127780.00000,136519.00000,3.00000,7938.00000,746.00000,9445.00000,145964.00000
2013-12-31,3051.00000,4610.00000,7661.00000,40737.00000,93515.00000,136915.00000,144576.00000,8991.00000,8456.00000,117897.00000,126353.00000,135344.00000,3.00000,7626.00000,595.00000,9232.00000,144576.00000
2013-09-30,3465.00000,4503.00000,7968.00000,40040.00000,89590.00000,132240.00000,140208.00000,8661.00000,8189.00000,114189.00000,122378.00000,131039.00000,3.00000,7442.00000,605.00000,9169.00000,140208.00000
2013-06-30,3377.00000,4651.00000,8028.00000,39967.00000,86757.00000,129230.00000,137258.00000,8385.00000,7649.00000,112242.00000,119891.00000,128276.00000,3.00000,7130.00000,625.00000,8982.00000,137258.00000
2013-03-31,3041.00000,4383.00000,7424.00000,40804.00000,86633.00000,129872.00000,137296.00000,8047.00000,7537.00000,112095.00000,119632.00000,127679.00000,3.00000,6978.00000,1084.00000,9617.00000,137296.00000
2012-12-31,2950.00000,4315.00000,7265.00000,41247.00000,83818.00000,127464.00000,134729.00000,8351.00000,7384.00000,109282.00000,116666.00000,125017.00000,3.00000,6717.00000,1194.00000,9712.00000,134729.00000
2012-09-30,3932.00000,5584.00000,9516.00000,43289.00000,83362.00000,129048.00000,138564.00000,11718.00000,7634.00000,109391.00000,117025.00000,128743.00000,3.00000,6477.00000,1267.00000,9821.00000,138564.00000
2012-06-30,3272.00000,5537.00000,8809.00000,43564.00000,80466.00000,126461.00000,135270.00000,11579.00000,7616.00000,106462.00000,114078.00000,125657.00000,3.00000,6384.00000,942.00000,9613.00000,135270.00000
2012-03-31,2874.00000,5516.00000,8390.00000,43919.00000,81976.00000,128367.00000,136757.00000,11372.00000,7612.00000,108024.00000,115636.00000,127008.00000,3.00000,6285.00000,851.00000,9749.00000,136757.00000
2011-12-31,3251.00000,4440.00000,7691.00000,44742.00000,77434.00000,124616.00000,132307.00000,11419.00000,7571.00000,103623.00000,111194.00000,122613.00000,3.00000,6031.00000,751.00000,9694.00000,132307.00000
2011-09-30,3093.00000,5364.00000,8457.00000,43750.00000,73849.00000,121923.00000,130380.00000,11158.00000,7933.00000,100302.00000,108235.00000,119393.00000,3.00000,7222.00000,636.00000,10987.00000,130380.00000
2011-06-30,3007.00000,5335.00000,8342.00000,43363.00000,78851.00000,126796.00000,135138.00000,11007.00000,8034.00000,104869.00000,112903.00000,123910.00000,3.00000,7123.00000,633.00000,11228.00000,135138.00000
2011-03-31,3366.00000,5589.00000,8955.00000,42820.00000,77419.00000,124877.00000,133832.00000,10315.00000,8010.00000,104318.00000,112328.00000,122643.00000,3.00000,6915.00000,542.00000,11189.00000,133832.00000
2010-12-31,3310.00000,4909.00000,8219.00000,42199.00000,76177.00000,122995.00000,131214.00000,10310.00000,7852.00000,101767.00000,109619.00000,119929.00000,3.00000,6748.00000,565.00000,11285.00000,131214.00000
2010-09-30,4088.00000,4969.00000,9057.00000,43355.00000,72195.00000,119987.00000,129044.00000,10467.00000,8191.00000,98882.00000,107073.00000,117540.00000,3.00000,6545.00000,897.00000,11504.00000,129044.00000
2010-06-30,4397.00000,4998.00000,9395.00000,41963.00000,65629.00000,111715.00000,121110.00000,9976.00000,7980.00000,92035.00000,100015.00000,109991.00000,3.00000,6278.00000,607.00000,11119.00000,121110.00000
