,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1923.00000,3907.00000,3381.00000,880.00000,10091.00000,9020.00000,4879.00000,43160.00000,1862.00000,61070.00000,71161.00000,16731.00000,20251.00000,2688.00000,27510.00000,44241.00000,31481.00000,-10947.00000,26920.00000,71161.00000
2022-09-30,2177.00000,3503.00000,3393.00000,837.00000,9910.00000,8632.00000,4498.00000,41700.00000,1068.00000,58126.00000,68036.00000,14321.00000,19811.00000,2482.00000,27045.00000,41366.00000,31437.00000,-11231.00000,26670.00000,68036.00000
2022-06-30,1924.00000,3182.00000,3038.00000,1066.00000,9210.00000,8753.00000,4655.00000,40442.00000,636.00000,56804.00000,66014.00000,13578.00000,17861.00000,2063.00000,24883.00000,38461.00000,31431.00000,-10638.00000,27553.00000,66014.00000
2022-03-31,1946.00000,3692.00000,2838.00000,1143.00000,9619.00000,9015.00000,5255.00000,41447.00000,398.00000,58375.00000,67994.00000,14103.00000,18344.00000,2353.00000,25675.00000,39778.00000,31163.00000,-10425.00000,28216.00000,67994.00000
2021-12-31,3546.00000,3188.00000,2708.00000,900.00000,10342.00000,8658.00000,5289.00000,40269.00000,371.00000,56750.00000,67092.00000,14008.00000,17550.00000,2326.00000,24761.00000,38769.00000,30806.00000,-10624.00000,28323.00000,67092.00000
2021-09-30,3401.00000,3329.00000,2922.00000,803.00000,10455.00000,8668.00000,5269.00000,40442.00000,376.00000,56862.00000,67317.00000,14259.00000,17692.00000,2348.00000,25304.00000,39563.00000,30305.00000,-10904.00000,27754.00000,67317.00000
2021-06-30,1938.00000,2913.00000,2925.00000,878.00000,8654.00000,8857.00000,5586.00000,40961.00000,241.00000,57823.00000,66477.00000,14085.00000,17046.00000,2320.00000,24772.00000,38857.00000,29538.00000,-10572.00000,27620.00000,66477.00000
2021-03-31,2028.00000,3315.00000,2635.00000,865.00000,8843.00000,8766.00000,5916.00000,40472.00000,276.00000,57506.00000,66349.00000,14550.00000,16961.00000,2383.00000,24650.00000,39200.00000,28903.00000,-10746.00000,27149.00000,66349.00000
2020-12-31,3619.00000,2954.00000,2647.00000,759.00000,9979.00000,9026.00000,6036.00000,40377.00000,292.00000,57831.00000,67810.00000,15159.00000,17276.00000,2302.00000,24997.00000,40156.00000,28402.00000,-10690.00000,27654.00000,67810.00000
2020-09-30,2759.00000,3056.00000,2840.00000,791.00000,9446.00000,8533.00000,6488.00000,39391.00000,277.00000,56803.00000,66249.00000,12685.00000,18916.00000,2261.00000,26536.00000,39221.00000,27702.00000,-11255.00000,27028.00000,66249.00000
2020-06-30,1602.00000,2610.00000,2710.00000,1073.00000,7995.00000,8365.00000,6659.00000,38874.00000,285.00000,56199.00000,64194.00000,14539.00000,16004.00000,2213.00000,23558.00000,38097.00000,27040.00000,-11419.00000,26097.00000,64194.00000
