,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1672.68400,354.84400,107.23200,2134.76000,100.33400,237.18100,807.47700,71.79500,1479.25500,3614.01500,1644.65000,999.50600,16.88700,1391.87300,3036.52300,0.00200,-2087.80200,43.51600,,577.49200,3614.01500
2022-09-30,1523.10800,246.78100,96.99900,1866.88800,103.33600,239.32300,814.45600,71.06900,1504.54400,3371.43200,1497.68100,999.46300,18.52000,1393.13800,2890.81900,0.00100,-1882.77100,7.39100,,480.61300,3371.43200
2022-06-30,1458.55900,308.12700,70.00200,1896.95300,100.66200,159.06400,823.67800,58.86200,1429.87700,3326.83000,1594.05600,999.41900,14.61600,1405.40200,2999.45800,0.00200,-1869.03000,13.86400,,327.37200,3326.83000
2022-03-31,1296.42400,264.23600,64.98700,1684.61100,83.68700,150.75600,838.90200,64.37700,1439.96700,3124.57800,1417.29000,999.37500,15.52800,1404.32800,2821.61800,25.41200,-2323.20800,,2139.72700,302.96000,3124.57800
2021-12-31,987.80800,253.01900,61.98200,1354.63500,71.15500,163.10200,833.47700,33.60100,1405.97800,2760.61300,1259.80100,999.33200,14.90400,1377.18700,2636.98800,25.33500,-2290.28100,,1927.55100,123.62500,2760.61300
2021-09-30,1707.04400,186.63700,69.19700,2009.97600,66.60400,,841.57600,181.38800,1407.14800,3417.12400,2397.56200,649.28800,13.75800,1046.79800,3444.36000,25.25600,-2212.80900,,1699.30000,-27.23600,3417.12400
2021-06-30,1359.71400,175.80500,48.32200,1627.50600,66.22100,122.15900,850.34800,37.63600,1317.83800,2945.34400,2310.01100,,15.03900,340.41900,2650.43000,25.16400,-1812.70700,,1621.44100,294.91400,2945.34400
2021-03-31,1754.09800,196.31600,54.34100,2004.75500,100.70700,,847.44490,130.98300,1318.26300,3323.01800,2558.72900,,15.17600,351.62100,2910.35000,25.08800,-1599.63400,,1526.20200,412.66800,3323.01800
2020-12-31,2049.83500,160.12500,54.65300,2264.61300,103.86100,,810.61690,128.07100,1296.57700,3561.19000,3085.90400,,12.97700,306.14600,3392.05000,24.96300,-1759.47400,,1442.64900,169.14000,3561.19000
2020-09-30,2500.96800,123.06300,55.57600,2679.60700,100.39300,,806.63400,186.77400,1358.54100,4038.14800,3039.80400,,15.79000,309.90000,3349.70400,24.86400,-1137.94600,,1340.74100,688.44400,4038.14800
2020-06-30,2483.52800,113.52800,46.73000,2643.78600,97.64800,,774.83000,124.77400,1250.28600,3894.07200,3018.77900,,11.66600,299.98700,3318.76600,24.74400,-1116.39200,,1207.06200,575.30600,3894.07200
2020-03-31,2317.40600,95.49400,45.47000,2458.37000,85.03800,,764.71300,87.21200,1182.58700,3640.95700,2524.50400,,8.66200,296.29400,2820.79800,24.62900,-731.16900,,1067.10900,820.15900,3640.95700
2019-12-31,2163.73100,125.54400,45.74100,2335.01600,83.26800,,774.33700,59.89600,1168.15800,3503.17400,2295.55900,,7.20400,312.60700,2608.16600,24.47800,-572.34400,,983.76000,895.00800,3503.17400
2019-09-30,1989.02900,100.84700,47.91500,2137.79100,80.73500,,748.40800,62.75200,1142.80900,3280.60000,2287.14200,,6.56700,299.21000,2586.35200,24.35600,-696.41800,,907.51400,694.24800,3280.60000
2019-06-30,1928.64300,83.23200,30.23600,2042.11100,81.45900,,759.88200,76.72200,935.14690,2977.25800,2329.70800,,40.34500,82.08300,2411.79100,24.19900,-765.63700,,848.73900,565.46700,2977.25800
2019-03-31,1773.22800,64.76800,44.49500,1882.49100,65.24900,,614.22400,228.42800,992.65300,2875.14400,564.20400,844.93800,708.35400,1617.42200,2181.62600,24.02700,-528.12000,,740.13000,693.51800,2875.14400
2018-12-31,1644.36100,72.63000,47.74100,1764.73200,63.71600,,627.06300,188.37800,960.21200,2724.94400,512.77500,836.40300,489.98600,1392.42100,1905.19600,23.84400,-325.27600,,664.77600,819.74800,2724.94400
2018-09-30,1795.02600,53.15000,28.73400,1876.91000,57.01600,,362.01200,197.89400,676.61200,2553.52200,449.72600,827.97000,530.88000,1390.52600,1840.25200,23.71100,-370.46100,,604.29300,713.27000,2553.52200
2018-06-30,1733.53300,58.76300,29.73500,1822.03100,51.65600,99.93500,375.52000,13.46600,599.79690,2421.82800,444.88600,819.63700,219.34800,1069.62200,1514.50800,23.53100,-128.01600,,557.03900,907.32000,2421.82800
2018-03-31,763.86600,51.59800,22.69700,838.16100,35.09800,,390.02600,12.22600,534.58400,1372.74500,415.19100,,14.02900,74.84100,490.03200,23.31800,-116.71900,,522.22000,882.71300,1372.74500
2017-12-31,679.09900,48.10500,22.20400,749.40800,37.79200,,404.25100,12.09400,557.11700,1306.52500,371.60300,,10.44500,71.49800,443.10100,23.12100,-102.45300,,489.74000,863.42400,1306.52500
2017-09-30,613.54000,43.13600,20.18400,676.86000,38.94400,,418.51400,9.20200,666.68600,1343.54600,347.36100,,9.02300,66.81600,414.17700,22.90500,-37.22300,,491.87700,929.36900,1343.54600
2017-06-30,549.91900,39.25200,23.31700,612.48800,41.17300,,432.68900,9.26900,671.37000,1283.85800,326.86700,,8.30200,62.94300,389.81000,22.72600,-23.22900,,443.59200,894.04800,1283.85800
2017-03-31,503.55800,32.55100,19.33700,555.44600,45.19000,,446.74000,8.51300,680.21800,1235.66400,304.07600,,9.85600,77.98000,382.05600,22.42200,-2.52100,,384.72100,853.60800,1235.66400
2016-12-31,795.27400,33.90900,17.05300,846.23600,49.68700,,39.91600,8.40400,236.87100,1083.10700,259.11000,,12.12400,31.79500,290.90500,22.24000,14.94000,,307.55400,792.20200,1083.10700
2016-09-30,754.34400,22.40400,21.25600,798.00400,54.55700,,42.60400,5.64900,250.24300,1048.24700,237.19900,,11.71700,30.27800,267.47700,22.00000,16.63800,,295.99800,780.77000,1048.24700
2016-06-30,743.11400,21.24600,14.17800,778.53800,58.76200,,20.71500,5.54700,212.43500,990.97300,236.50000,,8.71500,22.81000,259.31000,21.62000,19.27500,,249.03400,731.66300,990.97300
2016-03-31,723.27500,19.18300,7.74700,750.20500,48.23100,,22.73300,5.69100,196.16700,946.37200,217.62400,,9.81100,22.04300,239.66700,21.31900,23.97700,,222.08200,706.70500,946.37200
2015-12-31,681.98600,25.13000,6.79200,713.90800,41.20200,,24.51200,5.81200,201.82300,915.73100,190.85600,,9.12600,20.24100,211.09700,21.21300,25.04900,,219.88500,704.63400,915.73100
2015-09-30,223.38900,15.39600,8.71700,247.50200,42.02900,,26.51500,8.94100,166.65300,414.15500,179.57500,,8.27700,18.60100,198.17600,18.63100,19.98400,,170.37500,215.97900,414.15500
2015-06-30,743.11400,21.24600,14.17800,778.53800,58.76200,,20.71500,5.54700,212.43500,990.97300,236.50000,,8.71500,22.81000,259.31000,21.62000,19.27500,,249.03400,731.66300,990.97300
2015-03-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2014-12-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2014-09-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2014-06-30,162.00100,6.16200,,171.20300,28.09700,,0.00000,,28.09700,262.03800,126.52900,,,,136.70900,0.00000,8.12700,,0.00000,125.32900,0.00000
2013-06-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
