,cash-on-hand,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1094.55300,1771.76000,11326.02000,135.80500,1480.58500,13024.75000,14796.51000,2837.88800,2045.52700,783.55600,3044.52900,5882.41700,2.25800,5581.70200,,8914.09800,14796.51000
2022-09-30,291.39800,729.60300,11773.08000,138.57100,1461.44200,13482.24000,14211.84000,2844.00500,2045.16700,979.52800,3203.83600,6047.84100,2.28200,4835.93100,0.00000,8164.00300,14211.84000
2022-06-30,732.10400,1285.89300,10729.44000,141.33700,1423.13800,12414.44000,13700.34000,2729.22500,2030.11200,1027.93800,3225.89500,5955.12000,2.32600,4423.74000,0.00000,7745.21600,13700.34000
2022-03-31,1211.87000,1722.14500,9869.88900,144.10200,1296.47500,11442.09000,13164.24000,2550.40700,2030.10800,998.93600,3200.56900,5750.97600,2.39600,4100.97600,-0.02000,7413.26400,13164.24000
2021-12-31,1833.56500,2780.70400,9047.56900,146.92300,1238.39700,10571.93000,13352.63000,2823.76900,2029.04300,844.78500,3039.34700,5863.11600,2.49300,4196.27600,-0.04500,7489.51500,13352.63000
2021-09-30,1624.65100,2226.05900,8917.44000,149.85400,1136.74000,10345.79000,12571.85000,2424.72600,2059.92300,823.54500,3005.37300,5430.09900,2.55000,3853.98200,-0.07000,7141.75200,12571.85000
2021-06-30,1721.12200,2302.27200,8378.95100,153.46400,1103.89200,9779.74800,12082.02000,2230.70400,2046.33400,730.99500,2892.84800,5123.55200,2.60000,3675.18400,-0.09500,6958.46800,12082.02000
2021-03-31,1644.05400,2139.10300,7975.21100,158.43200,1040.79100,9306.63800,11445.74000,2028.01200,2031.93700,589.63400,2732.45500,4760.46700,2.63600,3408.60400,-0.12000,6685.27400,11445.74000
2020-12-31,2632.23500,3197.21400,7721.79800,163.42500,986.79400,9008.28400,12205.50000,2330.18500,2752.30200,449.47400,3305.32400,5635.50900,2.66500,3306.05700,-0.14500,6569.98900,12205.50000
2020-09-30,2114.20800,2514.27500,7615.47100,168.46600,985.97700,8850.74700,11365.02000,1926.62200,2778.97000,419.41500,3198.38500,5125.00700,2.68200,2980.56500,-0.17000,6240.01500,11365.02000
