,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,409.20000,155.40000,107.30000,4335.30000,5007.20000,144.70000,2560.20000,266.80000,2999.20000,8006.40000,4675.70000,1214.10000,23.10000,1279.50000,5955.20000,1.50000,-367.40000,-501.30000,,2051.20000,8006.40000
2022-06-30,372.20000,151.50000,116.80000,5397.00000,6037.50000,141.40000,2614.70000,258.00000,3044.80000,9082.30000,5699.20000,1214.70000,23.40000,1288.80000,6988.00000,1.50000,-346.40000,-430.70000,,2094.30000,9082.30000
2022-03-31,356.70000,144.50000,112.60000,7364.20000,7978.00000,134.30000,2666.90000,251.60000,3081.50000,11059.50000,7628.90000,1215.70000,22.80000,1289.80000,8918.70000,1.50000,-326.60000,-357.90000,,2140.80000,11059.50000
2021-12-31,369.40000,146.30000,92.60000,3535.80000,4144.10000,128.20000,2656.10000,208.40000,3022.10000,7166.20000,3741.90000,1124.40000,19.00000,1196.80000,4938.70000,1.50000,-309.20000,-324.80000,,2227.50000,7166.20000
2021-09-30,380.70000,116.60000,86.00000,5380.30000,5963.60000,143.50000,2650.50000,212.70000,3037.90000,9001.50000,5554.80000,36.50000,44.50000,1224.90000,6779.70000,1.50000,-299.70000,-285.70000,,2221.80000,9001.50000
2021-06-30,337.20000,118.20000,84.90000,3215.40000,3755.70000,146.20000,2670.70000,200.80000,3051.30000,6807.00000,3374.00000,1118.50000,50.70000,1233.20000,4607.20000,1.50000,-278.80000,-262.70000,,2199.80000,6807.00000
2021-03-31,341.60000,122.50000,84.10000,4284.00000,4832.20000,142.20000,2622.70000,166.30000,2966.60000,7798.80000,4420.50000,1115.40000,39.10000,1219.00000,5639.50000,1.50000,-253.00000,-274.50000,,2159.30000,7798.80000
2020-12-31,188.20000,101.10000,73.90000,3759.40000,4122.60000,136.40000,2226.80000,187.60000,2578.70000,6701.30000,3863.90000,660.60000,20.60000,739.20000,4603.10000,1.50000,-233.80000,-276.00000,,2098.20000,6701.30000
2020-09-30,554.60000,91.40000,78.70000,2646.60000,3371.30000,132.20000,2208.60000,168.40000,2546.70000,5918.00000,2741.40000,957.20000,40.80000,1140.30000,3881.70000,1.50000,-216.50000,-314.20000,,2036.30000,5918.00000
2020-06-30,526.90000,92.90000,70.40000,2659.80000,3350.00000,129.60000,2200.00000,136.70000,2503.90000,5853.90000,2744.50000,958.60000,19.50000,1123.70000,3868.20000,1.50000,-215.70000,-328.50000,,1985.70000,5853.90000
2020-03-31,255.30000,82.80000,68.90000,3649.50000,4056.50000,124.60000,2116.00000,138.20000,2413.60000,6470.10000,3752.70000,665.00000,20.10000,831.80000,4584.50000,1.40000,-221.20000,-367.60000,,1885.60000,6470.10000
2019-12-31,281.30000,80.40000,57.90000,3204.10000,3623.70000,128.30000,2151.40000,150.30000,2462.00000,6085.70000,3371.70000,666.30000,18.10000,831.70000,4203.40000,1.40000,-229.80000,-338.40000,,1882.30000,6085.70000
2019-09-30,270.90000,69.50000,59.90000,2604.00000,3004.30000,108.80000,2142.90000,143.40000,2431.90000,5436.20000,2743.20000,659.30000,19.70000,839.90000,3583.10000,1.40000,-228.30000,-348.30000,,1853.10000,5436.20000
2019-06-30,237.90000,67.80000,59.40000,3986.70000,4351.80000,106.30000,2132.70000,99.00000,2377.50000,6729.30000,4093.30000,660.70000,41.00000,878.90000,4972.20000,1.40000,-291.00000,-338.60000,,1757.10000,6729.30000
2019-03-31,206.30000,68.80000,55.30000,4559.70000,4890.10000,103.90000,2129.20000,96.00000,2369.00000,7259.10000,4683.70000,662.10000,42.70000,888.60000,5572.30000,1.40000,-297.30000,-369.00000,,1686.80000,7259.10000
2018-12-31,217.80000,63.90000,48.90000,2603.50000,2934.10000,104.40000,2114.90000,94.40000,2313.70000,5247.80000,2769.60000,663.50000,45.90000,862.70000,3632.30000,1.40000,-335.60000,-375.90000,,1615.50000,5247.80000
2018-09-30,188.00000,62.60000,38.70000,3429.00000,3718.30000,100.60000,2142.10000,1.80000,2244.50000,5962.80000,3596.30000,665.00000,38.40000,828.00000,4424.30000,1.40000,-419.10000,-341.10000,,1538.50000,5962.80000
2018-06-30,171.80000,63.90000,42.00000,3706.60000,3984.30000,100.10000,2139.20000,1.80000,2241.10000,6225.40000,3863.60000,666.40000,40.20000,848.00010,4711.60000,1.40000,-423.50000,-348.70000,,1513.80000,6225.40000
2018-03-31,62.20000,81.10000,49.20000,4295.70000,4488.20000,103.40000,2282.40000,5.50000,2391.30000,6879.50000,4454.40000,1120.50000,53.80000,1321.60000,5776.00000,0.70000,-355.60000,-337.70000,,1103.50000,6879.50000
2017-12-31,94.20000,66.60000,36.40000,4105.00000,4458.40000,102.00000,2167.50000,2.00000,2271.50000,6729.90000,4283.20000,1119.80000,45.50000,1317.70000,5600.90000,0.70000,-348.20000,-312.10000,,1129.00000,6729.90000
