,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4280.00000,1725.00000,280.00000,6654.00000,1053.00000,2117.00000,1056.00000,359.00000,6645.00000,13299.00000,6005.00000,1486.00000,56.00000,2262.00000,8267.00000,,338.00000,-102.00000,5032.00000,13299.00000
2022-09-30,3956.00000,898.00000,292.00000,5476.00000,914.00000,1517.00000,1028.00000,336.00000,5630.00000,11106.00000,4432.00000,1485.00000,52.00000,2151.00000,6583.00000,0.00000,188.00000,-172.00000,4523.00000,11106.00000
2022-06-30,3834.00000,853.00000,322.00000,5332.00000,876.00000,1608.00000,1060.00000,340.00000,5770.00000,11102.00000,4743.00000,1485.00000,50.00000,2165.00000,6908.00000,0.00000,108.00000,-100.00000,4194.00000,11102.00000
2022-03-31,4014.00000,824.00000,282.00000,5442.00000,798.00000,1484.00000,1040.00000,305.00000,5551.00000,10993.00000,4852.00000,1484.00000,55.00000,2144.00000,6996.00000,0.00000,88.00000,-16.00000,3997.00000,10993.00000
2021-12-31,3304.00000,1390.00000,223.00000,5220.00000,766.00000,1630.00000,1064.00000,212.00000,5578.00000,10798.00000,4949.00000,1484.00000,51.00000,2154.00000,7103.00000,,-4.00000,34.00000,3695.00000,10798.00000
2021-09-30,3031.00000,776.00000,213.00000,4288.00000,740.00000,1384.00000,1072.00000,170.00000,5190.00000,9478.00000,3792.00000,1484.00000,47.00000,2152.00000,5944.00000,0.00000,-30.00000,48.00000,3534.00000,9478.00000
2021-06-30,2984.00000,781.00000,205.00000,4225.00000,732.00000,1350.00000,1103.00000,152.00000,4962.00000,9187.00000,3908.00000,1483.00000,45.00000,2004.00000,5912.00000,0.00000,-93.00000,70.00000,3275.00000,9187.00000
2021-03-31,3456.00000,645.00000,182.00000,4524.00000,693.00000,1348.00000,582.00000,106.00000,4298.00000,8822.00000,3664.00000,1611.00000,40.00000,2121.00000,5785.00000,0.00000,-152.00000,56.00000,3037.00000,8822.00000
2020-12-31,3092.00000,1009.00000,192.00000,4522.00000,660.00000,1468.00000,394.00000,100.00000,4193.00000,8715.00000,3737.00000,1640.00000,36.00000,2144.00000,5881.00000,,-234.00000,94.00000,2834.00000,8715.00000
2020-09-30,2951.61100,631.05500,181.47400,3966.88100,564.00700,1259.95100,387.77500,73.79100,3738.57800,7705.45900,2835.94700,1705.53300,22.85300,2195.79600,5031.74300,0.19500,-250.38900,51.57500,2673.71600,7705.45900
2020-06-30,2342.67100,631.99200,170.58200,3337.12200,547.25300,776.80700,375.27300,71.79500,3184.18700,6521.30900,2848.87100,696.12300,29.61100,1193.63200,4042.50300,0.19100,-263.24700,29.77200,2478.80600,6521.30900
2020-03-31,1858.70500,615.23400,149.09200,2805.86100,470.96900,1077.93800,378.65400,73.67000,3391.55500,6197.41600,2721.06100,701.28800,27.55700,1210.26000,3931.32100,0.19000,-304.01300,-14.38000,2266.09500,6197.41600
2019-12-31,1691.09500,835.27900,125.48800,2826.90100,468.08500,1013.33200,300.60600,77.99700,3195.52900,6022.43000,2752.78500,694.98100,23.46400,1141.70400,3894.48900,0.18900,-352.24400,25.25500,2127.94100,6022.43000
2019-09-30,1471.07300,539.41600,128.48300,2297.21300,400.85800,1001.51300,266.84900,91.86500,2459.59500,4756.80800,2192.56100,686.51600,18.48900,1134.77400,3327.33500,0.18900,-950.96800,19.63100,1429.47300,4756.80800
2019-06-30,1653.38400,503.37600,133.48200,2442.28700,364.00700,746.71600,274.07100,90.24000,2160.41600,4602.70300,2224.97900,678.14500,18.66200,1116.77800,3341.75700,0.18800,-991.56600,13.54200,1260.94600,4602.70300
2019-03-31,1662.11300,422.55900,,2374.48600,350.65100,674.63300,244.43600,78.00400,2024.40900,4398.89500,2097.84100,669.87500,18.56200,1106.10300,3203.94400,0.18500,-980.48700,10.32300,1194.95100,4398.89500
2018-12-31,1497.92200,574.81000,132.07100,2344.69300,347.21600,581.85600,249.42700,52.81600,1534.44700,3879.14000,2012.57300,661.70700,55.06400,755.36800,2767.94100,0.18000,-978.78000,-4.03500,1111.19900,3879.14000
2018-09-30,1626.04000,424.69800,115.26200,2292.18500,297.37100,457.56100,227.13900,59.50500,1289.25700,3581.44200,1818.95700,653.63800,47.41900,742.30100,2561.25800,0.17900,-985.79500,-1.41800,1020.18400,3581.44200
