,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,187.53200,3802.16000,79.97700,363.69700,4433.36600,158.70600,1526.42500,120.19500,2362.16400,6795.53000,3358.87800,1419.38000,28.34500,1759.09100,5117.96900,12.05900,5567.59200,-137.65000,1677.56100,6795.53000
2022-06-30,238.92500,4302.32100,108.25800,518.75200,5168.25600,155.82900,1548.64400,112.08300,2289.18300,7457.43900,3485.75000,1594.05500,27.37900,1919.27400,5405.02400,12.51200,5411.34600,-87.86000,2052.41500,7457.43900
2022-03-31,242.80900,4391.51200,140.30600,504.60400,5279.23100,139.92600,1572.62700,102.89700,2242.10700,7521.33800,3541.20300,1593.75600,29.33100,1884.63300,5425.83600,12.80100,5134.66700,-54.26400,2095.50200,7521.33800
2021-12-31,257.41300,3963.48700,129.59300,453.66000,4804.15300,139.83100,1574.36000,92.30900,2223.95900,7028.11200,3326.34200,1393.64900,28.70500,1679.83600,5006.17800,12.91900,4936.86100,-61.13400,2021.93400,7028.11200
2021-09-30,202.64900,3721.57100,89.47200,416.97100,4430.66300,177.41800,1582.22400,88.80800,2171.94300,6602.60600,3251.69300,1093.95000,40.00200,1400.11300,4651.80600,13.03800,4779.96400,-65.48000,1950.80000,6602.60600
2021-06-30,172.80300,3166.76900,90.23000,292.76000,3722.56200,174.19400,1597.35100,87.08700,2184.00200,5906.56400,2586.37900,1095.79800,40.50700,1414.01500,4000.39400,13.21300,4601.22700,-53.44600,1906.17000,5906.56400
2021-03-31,217.61100,2874.46300,77.54700,240.48800,3410.10900,174.11900,1589.52900,84.83100,2186.51400,5596.62300,2300.90700,1093.51700,39.21700,1427.52900,3728.43600,13.32400,4476.53200,-53.28400,1868.18700,5596.62300
2020-12-31,243.79600,2449.57700,51.15200,197.17600,2941.70100,178.94900,1601.09700,84.08600,2202.55700,5144.25800,1839.73200,1093.30100,40.53800,1424.59300,3264.32500,13.43000,4372.83300,-45.99800,1879.93300,5144.25800
2020-09-30,252.56900,2346.38400,65.77300,187.97300,2852.69900,183.24400,1592.18100,90.26400,2222.13900,5074.83800,1760.97900,1093.08700,23.25900,1440.50000,3201.47900,13.59000,4293.59800,-70.85500,1873.35900,5074.83800
2020-06-30,362.23600,2018.19000,69.08400,154.41600,2603.92600,188.25200,1592.34400,87.18000,2221.76300,4825.68900,1673.38000,1092.87300,22.73900,1447.98100,3121.36100,13.47200,4227.25700,-84.09100,1704.32800,4825.68900
2020-03-31,294.57200,2092.61300,95.89600,123.55800,2606.63900,211.79900,1583.01200,86.35700,2241.68100,4848.32000,1804.72500,1092.66000,21.84100,1456.47700,3261.20200,13.45900,4153.10900,-108.34400,1587.11800,4848.32000
2019-12-31,447.85800,1974.38100,85.00500,132.87400,2640.11800,208.42300,1382.69100,85.48300,2000.94200,4641.06000,1556.03800,1092.44800,22.62400,1414.29200,2970.33000,13.49000,4144.83400,-76.14900,1670.73000,4641.06000
2019-09-30,384.42400,2074.44900,73.72400,150.56900,2683.16600,209.52100,1384.57400,83.89200,1953.38300,4636.54900,1434.14000,1253.09100,22.40600,1529.31300,2963.45300,13.51500,4115.64900,-90.90200,1673.09600,4636.54900
