,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2023-01-31,104.20000,533.90000,1241.50000,148.20000,2027.80000,2274.30000,,11494.50000,138.00000,13989.70000,16017.50000,1740.70000,4313.30000,248.60000,5941.80000,7682.50000,26.60000,3076.20000,-237.20000,,8335.00000,16017.50000
2022-10-31,27.10000,609.50000,1358.40000,255.90000,2250.90000,2198.60000,,11544.90000,138.20000,13968.40000,16219.30000,2059.70000,4312.40000,243.70000,5942.30000,8002.00000,26.60000,2976.00000,-247.30000,,8217.30000,16219.30000
2022-07-31,151.60000,605.00000,1312.80000,218.30000,2287.70000,2138.80000,,11613.70000,138.40000,13989.00000,16276.70000,2177.20000,4311.50000,248.50000,5955.20000,8132.40000,26.60000,2893.40000,-233.40000,,8144.30000,16276.70000
2022-04-30,169.90000,524.70000,1089.30000,226.20000,2010.10000,2131.70000,,11668.00000,138.70000,14044.90000,16055.00000,1952.80000,4310.60000,249.50000,5962.10100,7914.90000,26.60000,2893.00000,-237.40000,,8140.10000,16055.00000
2022-01-31,284.30000,563.20000,1042.10000,98.60000,1988.20000,1995.50000,,11727.80000,141.50000,13978.20000,15966.40000,1664.60000,4309.70000,306.70000,6034.90000,7699.50000,27.10000,2955.50000,-269.30000,,8266.90000,15966.40000
2021-10-31,155.30000,659.10000,1100.20000,94.20000,2008.80000,2015.20000,,11952.70000,140.30000,14232.00000,16240.80000,1890.50000,4308.80000,309.40000,6063.90000,7954.40000,27.10000,2992.80000,-270.50000,,8286.40000,16240.80000
2021-07-31,168.80000,566.00000,1105.50000,112.60000,1952.90000,1988.40000,,12006.20000,130.70000,14258.80000,16211.70000,2763.20000,3517.50000,308.00000,5278.20000,8041.40000,27.10000,2893.80000,-281.60000,,8170.30000,16211.70000
2021-04-30,334.30000,533.70000,959.90000,113.80000,1941.70000,2001.50000,,12064.80000,134.20000,14342.50000,16284.20000,2867.50000,3516.80000,96.80000,5291.89900,8159.40000,27.10000,2847.50000,-277.40000,,8124.80000,16284.20000
2021-01-31,501.50000,604.90000,897.90000,74.40000,2078.70000,1937.80000,,12116.30000,148.70000,14350.70000,16429.40000,2532.40000,3915.30000,347.00000,5685.40000,8217.80000,27.40000,2896.10000,-303.50000,,8211.60000,16429.40000
2020-10-31,405.60000,577.00000,993.80000,90.70000,2067.10000,1956.30000,,12624.60000,151.90000,14862.60000,16929.70000,2692.80000,3914.50000,344.60000,5721.90000,8414.70000,28.50000,3010.90000,-327.50000,,8515.00000,16929.70000
2020-07-31,396.60000,497.60000,995.00000,95.60000,1984.80000,1948.60000,,12682.30000,148.30000,14917.50000,16902.30000,2073.10000,4672.80000,344.80000,6484.00000,8557.10000,28.50000,2882.30000,-360.90000,,8345.20000,16902.30000
2020-04-30,391.10000,551.40000,895.30000,134.90000,1972.70000,1969.40000,,12733.50000,146.40000,14997.70000,16970.40000,1587.10000,5373.30000,98.20000,7192.40000,8779.50000,29.00000,2746.80000,-379.00000,,8190.90000,16970.40000
2020-01-31,74.40000,477.30000,958.80000,92.20000,1602.70000,1911.70000,,12804.20000,149.60000,15033.50000,16636.20000,2077.40000,4583.30000,307.40000,6388.40000,8465.80000,29.00000,2620.50000,-266.30000,,8170.40000,16636.20000
2019-10-31,48.80000,522.40000,1013.30000,74.70000,1659.20000,1915.50000,,12916.30000,146.80000,15131.80000,16791.00000,2310.10000,4584.50000,307.30000,6385.60000,8695.70000,29.00000,2533.00000,-248.40000,,8095.30000,16791.00000
2019-07-31,48.80000,473.70000,1013.30000,77.70000,1613.50000,1909.20000,,12974.40000,145.30000,15178.10000,16791.60000,2290.80000,4685.30000,307.70000,6493.10000,8783.90000,29.00000,2421.90000,-216.70000,,8007.70000,16791.60000
2019-04-30,101.30000,503.80000,910.30000,109.80000,1625.20000,1912.40000,,13029.70000,144.00000,15086.10000,16711.30000,2341.50000,4686.30000,110.30000,6399.30000,8740.80000,28.90000,2367.60000,-181.80000,,7970.50000,16711.30000
2019-01-31,206.50000,502.60000,924.70000,92.40000,1726.20000,1847.90000,,13197.90000,155.60000,15201.40000,16927.60000,1816.40000,5285.80000,354.20000,7089.60000,8906.00000,28.90000,2392.60000,-153.30000,,8021.60000,16927.60000
