,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1345.00000,3162.30000,41636.30000,46143.60000,655.10000,,3680.60000,990.90000,8309.40000,54453.00000,46813.70000,2988.10000,931.60000,4652.60000,51466.30000,63.90000,21333.00000,-2450.90000,2986.70000,54453.00000
2022-09-30,1207.70000,2939.20000,33821.90000,37968.80000,645.10000,,3642.10000,1135.00000,8395.90000,46364.70000,39166.20000,2987.60000,902.10000,4622.00000,43788.20000,63.90000,21039.00000,-2724.10000,2576.50000,46364.70000
2022-06-30,1436.30000,3170.60000,50198.00000,54804.90000,652.60000,,3633.60000,937.40000,8263.30000,63068.20000,55158.70000,2987.10000,924.20000,4684.20000,59842.90000,63.90000,20696.30000,-1993.70000,3225.30000,63068.20000
2022-03-31,1634.20000,3250.70000,59018.90000,63903.80000,650.50000,,3651.40000,910.00000,8164.30000,72068.10000,63106.50000,2986.60000,954.20000,4768.70000,67875.20000,63.90000,20504.50000,-1262.30000,4192.90000,72068.10000
2021-12-31,1745.00000,2736.00000,46626.30000,51107.30000,644.50000,,3553.20000,868.00000,7995.30000,59102.60000,49084.00000,2986.10000,843.60000,4969.00000,54053.00000,63.90000,20011.80000,-328.40000,5049.60000,59102.60000
2021-09-30,1602.10000,2769.70000,47676.10000,52047.90000,648.70000,,3537.40000,817.50000,7939.29900,59987.20000,49669.90000,2985.50000,813.60000,4966.60000,54636.50000,63.90000,19754.80000,-122.90000,5350.70000,59987.20000
2021-06-30,2575.20000,2727.40000,35439.20000,40741.80000,684.50000,,3548.50000,825.80000,8030.70000,48772.50000,38094.80000,2985.00000,834.10000,5007.60000,43102.40000,63.90000,19451.10000,10.60000,5670.10000,48772.50000
2021-03-31,1891.50000,2765.40000,42095.50000,46752.40000,701.40000,,3546.60000,475.10000,7655.30000,54407.70000,44615.20000,1994.30000,806.50000,4118.60000,48733.80000,63.90000,19307.50000,-257.70000,5673.90000,54407.70000
2020-12-31,1602.20000,2509.80000,37550.30000,41662.30000,692.70000,,3553.80000,483.50000,7663.60000,49325.90000,39176.50000,1994.10000,812.50000,4249.40000,43425.90000,63.90000,18893.60000,40.30000,5900.00000,49325.90000
2020-09-30,1613.10000,2489.10000,30713.20000,34815.40000,701.50000,,3542.20000,438.00000,7574.70000,42390.10000,32329.60000,1993.90000,813.90000,4251.60000,36581.20000,63.90000,18644.70000,15.90000,5808.90000,42390.10000
