,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2017-03-31,845.06900,400.79200,152.60000,1398.46100,824.72400,739.06500,1371.39800,109.01500,3051.53400,4449.99500,381.87600,645.71900,119.44700,809.57300,1191.44900,1.74300,-879.79900,-45.91300,3258.54600,4449.99500
2016-12-31,837.01800,368.59600,104.30300,1309.91700,801.01700,779.31100,1377.96600,95.95300,3063.22900,4373.14600,374.58800,640.08700,118.69100,774.18790,1148.77600,1.73300,-960.72900,-56.22200,3224.37000,4373.14600
2016-09-30,911.21900,357.99700,117.74800,1386.96400,797.92300,767.69100,1290.08600,89.81500,2966.67100,4353.63500,431.53600,634.50400,105.56700,753.16800,1184.70400,1.79400,-1052.36800,-33.46200,3168.93100,4353.63500
2016-06-30,868.70610,364.40100,132.47700,1365.58400,786.83500,731.23200,1292.80500,90.81100,2904.13800,4269.72200,376.54200,628.97000,99.75400,742.70690,1119.24900,1.79100,-1128.36800,-31.61600,3150.47300,4269.72200
2016-03-31,837.87000,365.10300,127.85500,1330.82800,770.19700,685.36200,1301.75500,92.12000,2852.92400,4183.75200,333.23300,623.48500,97.50800,736.93700,1070.17000,1.78300,-1202.00300,-28.79200,3113.58200,4183.75200
2015-12-31,749.56100,380.39900,123.22800,1253.18800,753.18000,774.67400,1306.33900,89.60300,2928.49600,4181.68400,332.44000,618.04700,93.26800,728.36600,1060.80600,1.77200,-1276.86100,-41.45300,3120.87800,4181.68400
2015-09-30,667.85300,365.95700,115.60100,1210.98500,734.54000,837.02000,1294.47800,105.89800,2973.82400,4184.80900,332.00600,619.36500,93.33400,767.14000,1099.14600,1.81100,-1365.28100,-33.51900,3085.66300,4184.80900
2015-06-30,643.50300,342.93000,119.36500,1151.47600,704.57100,881.45200,1301.67700,90.03900,2979.62900,4131.10500,348.24200,614.48400,79.74600,737.55100,1085.79300,1.80500,-1453.32100,-24.37900,3045.31200,4131.10500
2015-03-31,713.28500,356.62900,130.04100,1241.57900,666.09300,801.85400,1194.68100,80.81400,2745.33400,3986.91300,269.33100,609.64700,77.49100,735.90000,1005.23100,1.79600,-1520.52100,-23.91300,2981.68200,3986.91300
2014-12-31,758.29200,329.57800,128.98100,1262.55500,601.59100,869.99200,1183.70600,81.74700,2738.99100,4001.54600,334.01100,604.85100,74.22100,722.20000,1056.21100,1.78300,-1598.26700,-17.61100,2945.33500,4001.54600
2014-09-30,710.91200,326.74700,90.17300,1152.67600,559.19400,850.84700,1189.86200,99.18200,2701.61500,3854.29100,301.60100,600.09800,75.46600,704.31000,1005.91100,1.85100,-1695.37400,-9.54500,2848.38000,3854.29100
2014-06-30,756.77300,325.38500,88.04700,1199.66700,536.63700,735.62900,1198.26500,96.14200,2568.99000,3768.65700,283.29200,595.38500,72.79500,712.62100,995.91300,1.84400,-1786.52900,2.49700,2772.74400,3768.65700
2014-03-31,698.13000,301.95400,89.19800,1127.30000,503.60100,721.27100,1208.40100,88.44300,2524.19200,3651.49200,244.18600,590.71400,71.82100,695.16100,939.34700,1.83200,-1859.41500,-1.63700,2712.14500,3651.49200
2013-12-31,673.89600,271.98800,62.09600,1029.71400,450.28700,573.02600,834.79700,67.53600,1927.97100,2957.68500,263.16600,,57.15200,65.08800,328.25400,1.80800,-1932.21500,-2.09100,2629.43100,2957.68500
2013-09-30,566.31500,256.45300,67.45200,910.64200,424.60500,620.20400,831.07400,77.92800,1974.48300,2885.12500,285.42400,,53.92800,56.57100,341.99500,2.05900,-2012.56400,-5.43400,2543.13000,2885.12500
2013-06-30,530.94200,237.28600,70.73400,859.38400,405.65300,587.47000,797.94800,60.28800,1865.88600,2725.27000,226.57400,,47.92800,50.82300,277.39700,2.04500,-2092.32000,-10.95500,2447.87300,2725.27000
2013-03-31,513.22600,232.32800,65.67700,831.65300,369.55500,569.20800,803.76400,58.77500,1815.01400,2646.66700,211.90900,,47.22000,49.98100,261.89000,2.03100,-2154.21500,-5.58300,2384.77700,2646.66700
2012-12-31,437.58100,218.77700,51.60400,728.38400,345.09100,657.65900,808.25500,39.81100,1872.24300,2600.62700,202.94400,,49.36400,51.92900,254.87300,2.01500,-2225.70200,-1.64000,2345.75400,2600.62700
2012-09-30,465.22900,236.23200,45.78400,753.68900,331.21800,593.10500,803.97600,15.36500,1785.76500,2539.45400,212.92000,,64.49900,66.59600,279.51600,2.00000,-2293.99400,0.48300,2259.93800,2539.45400
2012-06-30,496.56000,206.31600,47.28500,756.60500,315.86600,521.88500,793.72400,14.31400,1688.97100,2445.57600,165.85200,,63.24900,65.09100,230.94300,1.99300,-2342.22500,-4.10800,2214.63300,2445.57600
2012-03-31,404.54200,215.85500,52.70000,679.54100,303.51800,574.17800,799.14700,14.46000,1734.57700,2414.11800,148.53800,,62.16500,64.39200,212.93000,1.98200,-2386.46400,-0.30700,2201.18800,2414.11800
2011-12-31,849.22600,210.93600,55.41400,1122.02000,293.04300,380.72900,498.30000,7.92400,1223.48100,2345.50100,148.39200,,38.38900,40.85900,189.25100,1.95900,-2429.69100,-1.25900,2156.25000,2345.50100
2011-09-30,687.56600,182.66500,47.08500,924.47900,285.47600,503.42900,502.61600,9.21000,1377.47800,2301.95700,138.87800,,38.01300,41.06800,179.94600,1.94700,-2489.77200,-9.29900,2122.01100,2301.95700
2011-06-30,497.27600,178.26000,47.34800,750.95300,274.37700,788.19700,506.80100,9.54000,1653.19600,2404.14900,138.70800,,33.69300,37.12600,175.83400,1.94400,-2532.05700,0.29800,2228.31500,2404.14900
2011-03-31,563.56900,169.65600,55.45500,816.81400,266.96800,693.66800,511.09300,11.42500,1557.98500,2374.79900,134.09500,,26.57400,30.51600,164.61100,1.93700,-2579.97800,-2.45800,2210.18800,2374.79900
2010-12-31,606.87100,175.36600,48.02900,858.46700,255.92900,636.53100,515.37000,11.15300,1494.20900,2352.67600,145.15100,,26.27800,29.92000,175.07100,1.92400,-2630.59500,-5.74100,2177.60500,2352.67600
2010-09-30,607.59600,158.11500,76.43900,855.80800,239.50800,582.60900,519.67300,12.18500,1406.94400,2262.75200,201.16500,,25.42300,27.44000,228.60500,1.87700,-2683.10500,-5.38900,2034.14700,2262.75200
2010-06-30,504.18800,164.57400,73.46000,778.16700,227.88800,608.08700,523.80300,11.62200,1424.83100,2202.99800,199.83400,,27.08800,30.07600,229.91000,1.86300,-2722.81400,-13.11800,1973.08800,2202.99800
2010-03-31,605.12200,148.69600,44.68900,854.42500,190.21100,491.25900,513.51200,12.21600,1262.25800,2116.68300,309.25900,,23.33400,26.97500,336.23400,1.75800,-2760.93700,-12.46200,1780.44900,2116.68300
2009-12-31,566.74100,154.26900,31.64900,761.17300,182.40400,494.74300,517.62000,4.41600,1326.33700,2087.51000,327.29300,,18.81800,21.49500,348.78800,1.74600,-2801.81500,-10.68200,1738.72200,2087.51000
2009-09-30,582.07000,152.13200,37.82800,776.57200,179.82600,391.20600,522.29000,4.53100,1252.09900,2028.67100,110.30500,199.75500,17.21100,219.92000,330.22500,1.73900,-2841.89500,-9.52700,1698.44600,2028.67100
2009-06-30,620.02600,144.53700,33.16100,802.26600,174.74200,306.75200,526.39300,5.06800,1186.70400,1988.97000,89.92800,199.85500,14.80200,218.15100,308.07900,1.73500,-2874.64000,-12.50000,1680.89100,1988.97000
2009-03-31,454.00400,149.28000,30.67000,638.49600,174.65100,394.47500,530.32500,5.31500,1300.81600,1939.31200,90.96900,199.85500,13.25700,217.00100,307.97000,1.72700,-2910.64700,-19.42800,1631.34200,1939.31200
