,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,6937.00000,126441.00000,1156.00000,41329.00000,6283.00000,7697.00000,56465.00000,182906.00000,149941.00000,9686.00000,5510.00000,15196.00000,165137.00000,14.00000,3419.00000,-3098.00000,17769.00000,182906.00000
2022-09-30,4624.00000,122906.00000,1171.00000,41297.00000,6286.00000,7742.00000,56496.00000,179402.00000,146739.00000,10168.00000,5324.00000,15492.00000,162231.00000,14.00000,3029.00000,-3276.00000,17171.00000,179402.00000
2022-06-30,4138.00000,121423.00000,1175.00000,42495.00000,6274.00000,7415.00000,57359.00000,178782.00000,148483.00000,7866.00000,4454.00000,12320.00000,160803.00000,14.00000,2691.00000,-2098.00000,17979.00000,178782.00000
2022-03-31,4696.00000,118764.00000,1173.00000,43398.00000,6014.00000,7507.00000,58092.00000,176856.00000,147617.00000,6508.00000,4250.00000,10758.00000,158375.00000,14.00000,2408.00000,-1314.00000,18481.00000,176856.00000
2021-12-31,5960.00000,118192.00000,1164.00000,41555.00000,5960.00000,7193.00000,55872.00000,174064.00000,143597.00000,7108.00000,4041.00000,11149.00000,154746.00000,14.00000,2202.00000,-229.00000,19318.00000,174064.00000
2021-09-30,10265.00000,120060.00000,1126.00000,38758.00000,5930.00000,8004.00000,53818.00000,173878.00000,142333.00000,7779.00000,4267.00000,12046.00000,154379.00000,15.00000,2051.00000,-125.00000,19499.00000,173878.00000
2021-06-30,14019.00000,125097.00000,1128.00000,35022.00000,5935.00000,7990.00000,50075.00000,175172.00000,143196.00000,7342.00000,4103.00000,11445.00000,154641.00000,15.00000,1939.00000,-19.00000,20531.00000,175172.00000
2021-03-31,8692.00000,88756.00000,747.00000,27601.00000,2470.00000,6194.00000,37012.00000,125768.00000,102403.00000,7210.00000,2555.00000,9765.00000,112168.00000,10.00000,2223.00000,-56.00000,13600.00000,125768.00000
2020-12-31,6774.00000,87843.00000,757.00000,25764.00000,2418.00000,6256.00000,35195.00000,123038.00000,99131.00000,8352.00000,2562.00000,10914.00000,110045.00000,10.00000,1878.00000,192.00000,12993.00000,123038.00000
2020-09-30,6438.00000,87101.00000,752.00000,23785.00000,2409.00000,6069.00000,33015.00000,120116.00000,95376.00000,9174.00000,2649.00000,11823.00000,107199.00000,10.00000,1752.00000,257.00000,12917.00000,120116.00000
2020-06-30,6420.00000,86022.00000,751.00000,23151.00000,2401.00000,6100.00000,32403.00000,118425.00000,93837.00000,9753.00000,2521.00000,12274.00000,106111.00000,10.00000,1633.00000,290.00000,12314.00000,118425.00000
2020-03-31,1940.00000,79468.00000,743.00000,25303.00000,2407.00000,5976.00000,34429.00000,113897.00000,89656.00000,9796.00000,2676.00000,12472.00000,102128.00000,10.00000,1657.00000,227.00000,11769.00000,113897.00000
2019-12-31,1371.00000,76869.00000,763.00000,23660.00000,2465.00000,5245.00000,32133.00000,109002.00000,84953.00000,9849.00000,2405.00000,12254.00000,97207.00000,10.00000,2088.00000,-256.00000,11795.00000,109002.00000
2019-09-30,1876.00000,77049.00000,775.00000,23171.00000,2445.00000,5295.00000,31686.00000,108735.00000,84568.00000,9874.00000,2384.00000,12258.00000,96826.00000,10.00000,1946.00000,-175.00000,11909.00000,108735.00000
2019-06-30,1923.00000,76960.00000,774.00000,22839.00000,2471.00000,5203.00000,31287.00000,108247.00000,85043.00000,8973.00000,2563.00000,11536.00000,96579.00000,10.00000,1750.00000,-273.00000,11668.00000,108247.00000
2019-03-31,1649.00000,76657.00000,784.00000,23215.00000,2503.00000,5044.00000,31546.00000,108203.00000,85017.00000,9400.00000,2354.00000,11754.00000,96771.00000,11.00000,1551.00000,-455.00000,11432.00000,108203.00000
2018-12-31,2830.00000,77762.00000,790.00000,22910.00000,2524.00000,4795.00000,31019.00000,108781.00000,86791.00000,8625.00000,2263.00000,10888.00000,97679.00000,11.00000,1361.00000,-609.00000,11102.00000,108781.00000
2018-09-30,1425.00000,77024.00000,827.00000,22757.00000,2550.00000,2494.00000,28628.00000,105652.00000,85333.00000,9385.00000,,9385.00000,94718.00000,11.00000,1196.00000,-790.00000,10934.00000,105652.00000
2018-06-30,1508.00000,76121.00000,840.00000,23349.00000,2560.00000,2488.00000,29237.00000,105358.00000,84160.00000,9726.00000,,9726.00000,93886.00000,11.00000,990.00000,-730.00000,11472.00000,105358.00000
2018-03-31,1200.00000,74349.00000,847.00000,23998.00000,2572.00000,2480.00000,29897.00000,104246.00000,84320.00000,8618.00000,,8618.00000,92938.00000,11.00000,780.00000,-677.00000,11308.00000,104246.00000
2017-12-31,1653.00000,71567.00000,864.00000,24560.00000,2577.00000,4617.00000,32618.00000,104185.00000,84165.00000,9206.00000,,9206.00000,93371.00000,11.00000,588.00000,-528.00000,10814.00000,104185.00000
2017-09-30,1332.31600,71951.13000,853.29000,24141.46000,2582.43900,2459.80700,30037.00000,101988.10000,82088.56000,9200.70700,,9200.70700,91289.27000,10.84400,201.21500,-369.96300,10698.85000,101988.10000
2017-06-30,1687.39100,71843.27000,855.34700,23667.88000,2591.36600,2448.91300,29563.51000,101406.80000,82216.13000,8536.47100,,8536.47100,90752.59000,10.93200,33.55700,-350.35700,10654.18000,101406.80000
2017-03-31,1469.65300,70431.63000,852.58200,23707.12000,2608.63000,2445.54500,29613.88000,100045.50000,80329.22000,9279.14000,,9279.14000,89608.36000,10.90000,-126.24400,-390.86000,10437.15000,100045.50000
2016-12-31,1576.00000,70475.00000,816.00000,23370.00000,2621.00000,2432.00000,29239.00000,99714.00000,81097.00000,8309.00000,,8309.00000,89406.00000,11.00000,-227.00000,-401.00000,10308.00000,99714.00000
2016-09-30,1749.12300,73128.47000,828.44000,21771.76000,2614.06000,2422.69200,27636.95000,100765.40000,81380.07000,8998.57100,,8998.57100,90378.65000,10.87700,-359.38000,-172.17500,10386.76000,100765.40000
2016-06-30,947.36500,55384.14000,596.64200,15311.60000,884.00200,1777.62800,18569.88000,73954.02000,58516.89000,7929.82000,,7929.82000,66446.71000,8.01500,-390.83800,-134.04200,7507.30400,73954.02000
2016-03-31,928.84000,54104.42000,611.60300,15265.53000,896.78300,1766.63700,18540.55000,72644.97000,57551.89000,7935.41200,,7935.41200,65487.30000,7.98800,-487.71700,-167.28600,7157.67000,72644.97000
2015-12-31,935.99100,52783.98000,620.54000,14935.03000,921.08400,1757.66800,18234.32000,71018.30000,57382.33000,7041.36400,,7041.36400,64423.70000,7.97000,-594.06700,-226.15800,6594.60600,71018.30000
2015-09-30,1128.77200,52853.12000,620.51500,14252.56000,735.66200,1748.32800,17357.06000,70210.18000,57268.10000,6359.44500,,6359.44500,63627.54000,7.98700,-708.34100,-139.73900,6582.63700,70210.18000
2015-06-30,1510.52400,52194.48000,615.43600,13559.03000,741.07400,1735.62700,16651.17000,68845.65000,56494.81000,5854.58400,,5854.58400,62349.39000,8.05000,-804.88400,-185.65000,6496.25800,68845.65000
2015-03-31,1021.53200,51659.91000,607.26300,13259.06000,751.03400,1725.38800,16342.75000,68002.66000,56381.87000,5158.83600,,5158.83600,61540.71000,8.10200,-943.52500,-160.83200,6461.95400,68002.66000
2014-12-31,1327.31500,50601.38000,616.40700,12764.58000,597.21200,1718.43600,15696.63000,66298.01000,55633.88000,4335.96200,,4335.96200,59969.84000,8.13100,-1052.32400,-222.29200,6328.17000,66298.01000
2014-09-30,1019.22000,49187.56000,613.21400,12218.30000,607.86500,1703.69200,15143.07000,64330.63000,52821.83000,5224.58800,,5224.58800,58046.42000,8.16100,-1159.16800,-182.01600,6284.21000,64330.63000
2014-06-30,1338.62800,48780.90000,622.28900,12113.03000,586.90800,1693.99100,15016.22000,63797.11000,51086.97000,6469.35200,,6469.35200,57556.32000,8.18200,-1264.12900,-159.72700,6240.79100,63797.11000
2014-03-31,1084.93400,46749.17000,628.96600,11489.51000,596.20500,1681.89800,14396.58000,61145.75000,51812.87000,3156.65200,,3156.65200,54969.52000,8.29000,-1379.83200,-201.74700,6176.23400,61145.75000
2013-12-31,1093.74800,45502.46000,634.65700,11145.42000,537.46100,1647.17000,13964.71000,59467.18000,50918.75000,2458.27200,,2458.27200,53377.02000,8.32200,-1479.32400,-214.00900,6090.15300,59467.18000
