,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,4710.00000,655.00000,5365.00000,488.00000,110502.00000,3590.00000,122735.00000,128100.00000,86540.00000,7518.00000,8002.00000,17408.00000,103948.00000,135.00000,44892.00000,-3511.00000,24152.00000,128100.00000
2022-06-30,5173.00000,687.00000,5860.00000,512.00000,116956.00000,3843.00000,129769.00000,135629.00000,90618.00000,7416.00000,8933.00000,18624.00000,109242.00000,135.00000,43547.00000,-548.00000,26387.00000,135629.00000
2022-03-31,4275.00000,730.00000,5005.00000,538.00000,129007.00000,3414.00000,142041.00000,147046.00000,99643.00000,7768.00000,6605.00000,17876.00000,117519.00000,135.00000,42413.00000,3113.00000,29527.00000,147046.00000
2021-12-31,5051.00000,693.00000,5744.00000,538.00000,138664.00000,3071.00000,151798.00000,157542.00000,105072.00000,7956.00000,6922.00000,19217.00000,124289.00000,135.00000,41381.00000,7393.00000,33253.00000,157542.00000
2021-09-30,6208.00000,787.00000,6995.00000,542.00000,140497.00000,2849.00000,153602.00000,160597.00000,107443.00000,8066.00000,6959.00000,19602.00000,127045.00000,135.00000,40830.00000,7662.00000,33552.00000,160597.00000
2021-06-30,5469.00000,788.00000,6257.00000,563.00000,142001.00000,2861.00000,155235.00000,161492.00000,108286.00000,8121.00000,6899.00000,19471.00000,127757.00000,135.00000,40162.00000,8019.00000,33735.00000,161492.00000
2021-03-31,4990.00000,777.00000,5767.00000,578.00000,139005.00000,2972.00000,152390.00000,158157.00000,107905.00000,8088.00000,5711.00000,18149.00000,126054.00000,135.00000,39277.00000,6807.00000,32103.00000,158157.00000
2020-12-31,5141.00000,796.00000,5937.00000,601.00000,145392.00000,2715.00000,159149.00000,165086.00000,114391.00000,7899.00000,4576.00000,17136.00000,131527.00000,135.00000,37984.00000,8934.00000,33559.00000,165086.00000
2020-09-30,5563.00000,824.00000,6387.00000,584.00000,141303.00000,2362.00000,154568.00000,160955.00000,111587.00000,7825.00000,4786.00000,16889.00000,128476.00000,135.00000,37460.00000,7917.00000,32479.00000,160955.00000
2020-06-30,5528.00000,894.00000,6422.00000,584.00000,137487.00000,2372.00000,150665.00000,157087.00000,109103.00000,7771.00000,5565.00000,18564.00000,127667.00000,135.00000,35204.00000,6750.00000,29420.00000,157087.00000
